run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.674813,0,1,4,,,4,262105,
vcomp_run1,vcomp,2026/04/14-17:10:24.682499,0,1,8,,,8,524156,
vcomp_run1,vcomp,2026/04/14-17:10:24.688401,0,1,8,,,5,524125,
vcomp_run1,vcomp,2026/04/14-17:10:24.694378,0,1,6,,,7,393140,
vcomp_run1,vcomp,2026/04/14-17:10:24.694731,1,2,2,,,2,130948,
vcomp_run1,vcomp,2026/04/14-17:10:24.695022,1,2,3,,,3,196047,
vcomp_run1,vcomp,2026/04/14-17:10:24.695349,1,2,3,,,3,196280,
vcomp_run1,vcomp,2026/04/14-17:10:24.700380,0,1,8,,,5,458579,
vcomp_run1,vcomp,2026/04/14-17:10:24.701002,1,2,3,,,5,300275,
vcomp_run1,vcomp,2026/04/14-17:10:24.701227,1,2,3,,,6,348944,
vcomp_run1,vcomp,2026/04/14-17:10:24.701464,1,2,5,,,5,311280,
vcomp_run1,vcomp,2026/04/14-17:10:24.706452,0,1,6,,,7,480476,
vcomp_run1,vcomp,2026/04/14-17:10:24.707079,1,2,3,,,3,196086,
vcomp_run1,vcomp,2026/04/14-17:10:24.707313,1,2,4,,,5,327024,
vcomp_run1,vcomp,2026/04/14-17:10:24.707513,1,2,6,,,6,368392,
vcomp_run1,vcomp,2026/04/14-17:10:24.712685,0,1,8,,,7,488910,
vcomp_run1,vcomp,2026/04/14-17:10:24.713351,1,2,5,,,6,363268,
vcomp_run1,vcomp,2026/04/14-17:10:24.713644,1,2,4,,,4,251148,
vcomp_run1,vcomp,2026/04/14-17:10:24.713669,1,2,4,,,3,185909,
vcomp_run1,vcomp,2026/04/14-17:10:24.718679,0,1,8,,,10,508772,
vcomp_run1,vcomp,2026/04/14-17:10:24.719223,1,2,2,,,2,105087,
vcomp_run1,vcomp,2026/04/14-17:10:24.719523,1,2,3,,,3,191736,
vcomp_run1,vcomp,2026/04/14-17:10:24.719544,1,2,3,,,3,191949,
vcomp_run1,vcomp,2026/04/14-17:10:24.719824,1,2,3,,,2,128019,
vcomp_run1,vcomp,2026/04/14-17:10:24.719846,1,2,5,,,6,333012,
vcomp_run1,vcomp,2026/04/14-17:10:24.720490,1,2,4,,,4,240167,
vcomp_run1,vcomp,2026/04/14-17:10:24.724530,0,1,8,,,7,480384,
vcomp_run1,vcomp,2026/04/14-17:10:24.725077,1,2,3,,,3,168451,
vcomp_run1,vcomp,2026/04/14-17:10:24.725289,1,2,4,,,4,261838,
vcomp_run1,vcomp,2026/04/14-17:10:24.725523,1,2,5,,,5,293710,
vcomp_run1,vcomp,2026/04/14-17:10:24.726127,1,2,8,,,9,534516,
vcomp_run1,vcomp,2026/04/14-17:10:24.730762,0,1,7,,,7,456826,
vcomp_run1,vcomp,2026/04/14-17:10:24.731346,1,2,6,,,6,341119,
vcomp_run1,vcomp,2026/04/14-17:10:24.731597,1,2,6,,,6,393198,
vcomp_run1,vcomp,2026/04/14-17:10:24.731841,1,2,7,,,7,395178,
vcomp_run1,vcomp,2026/04/14-17:10:24.736552,0,1,8,,,7,494848,
vcomp_run1,vcomp,2026/04/14-17:10:24.736941,1,2,3,,,3,179650,
vcomp_run1,vcomp,2026/04/14-17:10:24.737389,1,2,7,,,6,371561,
vcomp_run1,vcomp,2026/04/14-17:10:24.737728,1,2,6,,,7,400462,
vcomp_run1,vcomp,2026/04/14-17:10:24.737748,1,2,6,,,7,395709,
vcomp_run1,vcomp,2026/04/14-17:10:24.742605,0,1,7,,,8,489071,
vcomp_run1,vcomp,2026/04/14-17:10:24.742904,1,2,2,,,2,91854,
vcomp_run1,vcomp,2026/04/14-17:10:24.743196,1,2,5,,,6,346855,
vcomp_run1,vcomp,2026/04/14-17:10:24.743439,1,2,7,,,3,372876,
vcomp_run1,vcomp,2026/04/14-17:10:24.743461,1,2,6,,,6,389075,
vcomp_run1,vcomp,2026/04/14-17:10:24.748678,0,1,8,,,9,514349,
vcomp_run1,vcomp,2026/04/14-17:10:24.749152,1,2,5,,,5,306129,
vcomp_run1,vcomp,2026/04/14-17:10:24.749515,1,2,5,,,6,365252,
