metric,mode,mean,std,min,max,n
ops_per_s,baseline,2051.6000,236.8172,1513.0000,2469.0000,30
ops_per_s,vcomp,2121.5333,75.6406,1981.0000,2238.0000,30
filter_per_get,baseline,2.6153,0.2624,2.2858,3.3189,30
filter_per_get,vcomp,3.1272,0.1683,2.8734,3.4466,30
index_per_get,baseline,0.6512,0.0026,0.6482,0.6579,30
index_per_get,vcomp,0.6569,0.0020,0.6537,0.6618,30
data_per_get,baseline,0.6517,0.0027,0.6486,0.6586,30
data_per_get,vcomp,0.6577,0.0021,0.6544,0.6627,30
l1_hit,baseline,883.8667,95.4563,512.0000,997.0000,30
l1_hit,vcomp,879.6333,88.0041,623.0000,1051.0000,30
l2_hit,baseline,9736.6667,108.4490,9501.0000,9939.0000,30
l2_hit,vcomp,9861.7000,134.8706,9551.0000,10098.0000,30
l3_hit,baseline,97622.3000,263.0403,97141.0000,98141.0000,30
l3_hit,vcomp,98636.8667,526.0566,96831.0000,99277.0000,30
l4_hit,baseline,524027.1667,280.7209,523487.0000,524600.0000,30
l4_hit,vcomp,523778.4333,703.0360,522742.0000,525627.0000,30
sst_per_get,baseline,3.9240,0.2669,3.5888,4.6394,30
sst_per_get,vcomp,4.4471,0.1714,4.1893,4.7733,30
get_p50,baseline,495.0115,62.1521,409.3325,668.1930,30
get_p50,vcomp,472.1567,20.5982,443.0977,516.7112,30
get_p99,baseline,929.0075,120.9294,803.9441,1266.6120,30
get_p99,vcomp,858.7878,5.4035,847.9486,866.2551,30
