mode,run_id,elapsed,ops_per_s,micros_per_op,found,total_ops,get_p50,get_p95,get_p99,get_p100,sst_p50,sst_p95,sst_p99,get_count,get_sum,sst_count,sst_sum,filter_per_get,index_per_get,data_per_get,sst_per_get,bytes_per_sst_read,bloom_fpr,bloom_useful,bloom_pos,bloom_tp,filter_miss,filter_hit,index_miss,index_hit,data_miss,data_hit,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,non_last_read_bytes,non_last_read_count,compact_read,compact_write
baseline,baseline_run1,535.383,1867,535.383,632270,1000000,536.50512,842.691455,964.030892,1675.0,130.348671,207.390428,242.454045,1000000,535003820,3866498,494413278,2.559288,0.650323,0.650864,3.866498,103804.19523351622,2.7760051543617603,1908965,650323,632270,2558732,556,650320,3,650864,0,0,851,9778,97562,524079,0,0,401358713262,3866498,0,0
baseline,baseline_run2,426.413,2345,426.413,632270,1000000,422.281881,764.692591,851.943437,1558.0,95.934294,163.458504,221.25323,1000000,426008966,3806858,385915739,2.500864,0.649631,0.650136,3.806858,105569.63573293251,2.6724402006677583,1851233,649631,632270,2500487,377,649631,0,650136,0,0,803,9758,97637,524072,0,0,401888612347,3806858,0,0
baseline,baseline_run3,536.401,1864,536.401,632270,1000000,540.742968,842.767535,933.48396,1733.0,131.236804,207.074018,242.01535,1000000,536005643,3848198,494869572,2.54144,0.650079,0.650623,3.848198,106694.3292741174,2.739513197626753,1891361,650079,632270,2540916,524,650079,0,650623,0,0,958,9790,97258,524264,0,0,410580904524,3848198,0,0
baseline,baseline_run4,428.925,2331,428.925,632270,1000000,425.78492,686.252764,838.031586,1729.0,94.057176,154.019739,169.007911,1000000,428542081,3994373,385476220,2.684656,0.651646,0.652271,3.994373,104914.75621305271,2.9733935296157754,2033010,651646,632270,2683843,813,651645,1,652271,0,0,980,9794,97778,523718,0,0,419068669519,3994373,0,0
baseline,baseline_run5,515.684,1939,515.684,632270,1000000,513.769672,838.743635,959.40113,1678.0,130.622742,209.723816,242.855246,1000000,515274458,3698565,475214334,2.393574,0.649153,0.649577,3.698565,107515.25654490323,2.6007736234755163,1744421,649153,632270,2393217,357,649153,0,649577,0,0,997,9625,97311,524337,0,0,397652164823,3698565,0,0
baseline,baseline_run6,504.134,1983,504.134,632270,1000000,502.647983,833.989933,869.486192,1829.0,130.692714,212.059251,243.483242,1000000,503758570,3588826,464322500,2.285764,0.648227,0.648601,3.588826,109554.5347787828,2.461637667051819,1637537,648227,632270,2285405,359,648226,1,648601,0,0,512,9825,97422,524511,0,0,393172162832,3588826,0,0
baseline,baseline_run7,430.332,2323,430.332,632270,1000000,424.339085,778.831593,855.099214,1534.0,96.249366,165.876934,227.833054,1000000,429943956,3814458,389296410,2.507984,0.649942,0.650483,3.814458,104063.32661678278,2.7190118502881777,1858042,649942,632270,2507453,531,649940,2,650483,0,0,822,9846,97281,524321,0,0,396945188720,3814458,0,0
baseline,baseline_run8,623.756,1603,623.756,632270,1000000,637.034226,997.497737,1240.779208,1816.0,133.759679,201.069269,240.945917,1000000,623353795,4436165,578466282,3.119704,0.656736,0.657219,4.436165,99831.64736298131,3.7253934609949857,2462968,656736,632270,3115558,4146,656736,0,657219,0,0,910,9808,97626,523926,0,0,442869659924,4436165,0,0
baseline,baseline_run9,544.86,1835,544.86,632270,1000000,547.18306,850.268453,1105.035455,1743.0,131.026691,206.777683,241.868541,1000000,544456281,3942732,503175213,2.634093,0.651071,0.651666,3.942732,102900.7531315849,2.887703491631477,1983022,651071,632270,2633367,726,651071,0,651666,0,0,874,9768,98141,523487,0,0,405710092196,3942732,0,0
baseline,baseline_run10,529.313,1889,529.313,632270,1000000,530.916602,845.802489,1066.230727,1835.0,131.871378,209.820293,242.855259,1000000,528917727,3760174,488438318,2.455157,0.649163,0.64968,3.760174,107774.68813544267,2.6022740051420024,1805994,649163,632270,2454717,440,649161,2,649680,0,0,964,9832,97875,523599,0,0,405251580185,3760174,0,0
baseline,baseline_run11,492.316,2031,492.316,632270,1000000,489.419407,827.501237,866.800091,1728.0,107.804399,168.553901,230.736092,1000000,491915982,3991584,449850717,2.67916,0.653008,0.65372,3.991584,103560.11115837723,3.175765074853598,2026152,653008,632270,2678272,888,653008,0,653720,0,0,939,9939,97550,523842,0,0,413368882738,3991584,0,0
baseline,baseline_run12,660.916,1513,660.916,632270,1000000,668.193033,1122.713902,1266.612036,1833.0,133.440104,211.556966,249.466702,1000000,660525944,4639358,612000227,3.318896,0.65789,0.658569,4.639358,103244.86512551953,3.8942680387298756,2661006,657890,632270,3316307,2589,657890,0,658569,0,0,838,9831,97663,523938,0,0,478989890979,4639358,0,0
baseline,baseline_run13,518.759,1927,518.759,632270,1000000,515.09044,838.730603,940.120951,1709.0,126.137117,203.923298,241.744156,1000000,518340084,3821124,477710727,2.513873,0.65031,0.650827,3.821124,106176.06847906532,2.77406160139011,1863563,650310,632270,2513379,494,650310,0,650827,0,0,972,9740,97344,524214,0,0,405711923491,3821124,0,0
baseline,baseline_run14,431.955,2315,431.955,632270,1000000,428.359771,773.684171,853.269231,1693.0,97.129633,166.160771,227.961315,1000000,431592264,3808187,391580704,2.501026,0.650235,0.650818,3.808187,103071.23957725815,2.7628472782916913,1850791,650235,632270,2500541,485,650234,1,650818,0,0,852,9821,97513,524084,0,0,392514554632,3808187,0,0
baseline,baseline_run15,540.534,1850,540.534,632270,1000000,547.090982,845.938257,1016.122408,1759.0,120.621214,169.905694,234.593697,1000000,540155509,4143233,496808444,2.82949,0.654118,0.654846,4.143233,102859.45773361044,3.340070140249929,2175372,654118,632270,2827691,1799,654118,0,654846,0,0,771,9724,97988,523787,0,0,426170699644,4143233,0,0
baseline,baseline_run16,517.114,1933,517.114,632270,1000000,518.779303,838.887236,928.450606,1671.0,129.539108,205.621559,242.18864,1000000,516752842,3748343,477160177,2.44387,0.648938,0.649375,3.748343,105390.99061478632,2.5685042330700347,1794932,648938,632270,2443449,421,648937,1,649375,0,0,958,9514,97479,524319,0,0,395041581934,3748343,0,0
baseline,baseline_run17,516.907,1934,516.907,632270,1000000,518.518897,835.848352,868.140001,1787.0,97.082047,165.979475,228.363067,1000000,516530782,4579948,468565687,3.26003,0.657597,0.658235,4.579948,104624.12299309949,3.8514470108592325,2602433,657597,632270,3257504,2526,657597,0,658235,0,0,830,9691,97964,523785,0,0,479173042854,4579948,0,0
baseline,baseline_run18,554.481,1803,554.481,632270,1000000,556.512222,855.881199,1154.785871,1734.0,127.741838,199.53421,240.361694,1000000,554078983,4066124,510565724,2.754091,0.652702,0.653405,4.066124,104399.53525593416,3.1303719001933517,2101389,652702,632270,2753477,614,652702,0,653405,0,0,845,9622,97407,524396,0,0,424501455893,4066124,0,0
baseline,baseline_run19,492.757,2029,492.757,632270,1000000,499.398227,832.74621,886.342341,1576.0,122.478263,177.495142,237.20736,1000000,492336256,3719754,451905526,2.414653,0.649194,0.649677,3.719754,106518.05546576467,2.6069248945615686,1765459,649194,632270,2414280,373,649193,1,649677,0,0,972,9689,97764,523845,0,0,396220962891,3719754,0,0
baseline,baseline_run20,483.063,2070,483.063,632270,1000000,479.555827,828.054964,869.765379,1665.0,110.749728,194.916022,239.680359,1000000,482680436,3781971,441405361,2.475877,0.649739,0.650225,3.781971,107744.95892379926,2.6886180450919506,1826138,649739,632270,2475432,445,649738,1,650225,0,0,831,9689,97672,524078,0,0,407488310046,3781971,0,0
baseline,baseline_run21,432.667,2311,432.667,632270,1000000,437.70511,780.19484,856.447921,1623.0,101.282561,165.948339,220.823824,1000000,432290501,3657420,392788101,2.352118,0.649287,0.649743,3.65742,108926.54796523233,2.6208748981575214,1702831,649287,632270,2351800,318,649285,2,649743,0,0,945,9584,97141,524600,0,0,398390135059,3657420,0,0
baseline,baseline_run22,484.496,2064,484.496,632270,1000000,481.614169,825.108569,866.727696,1762.0,107.887862,168.20652,228.975112,1000000,484090243,3930797,442086977,2.621636,0.651233,0.651854,3.930797,105037.98595017754,2.911861038982977,1970403,651233,632270,2621106,530,651233,0,651854,0,0,965,9647,97404,524254,0,0,412883000059,3930797,0,0
baseline,baseline_run23,456.659,2189,456.659,632270,1000000,447.629857,796.336789,859.298144,1650.0,95.402024,161.586847,216.692521,1000000,456254584,4117950,412913027,2.803681,0.653961,0.65467,4.11795,103954.35525200645,3.3168644613363774,2149720,653961,632270,2802713,968,653961,0,654670,0,0,861,9501,97987,523921,0,0,428078837210,4117950,0,0
baseline,baseline_run24,440.001,2272,440.001,632270,1000000,443.552466,794.348942,858.525272,1574.0,101.056532,167.896408,230.253631,1000000,439613062,3697076,398960642,2.392883,0.648744,0.649178,3.697076,108920.16408832277,2.5393683795148725,1744139,648744,632270,2392578,305,648744,0,649178,0,0,855,9859,97335,524221,0,0,402686124567,3697076,0,0
baseline,baseline_run25,485.303,2060,485.303,632270,1000000,497.969598,829.361045,866.638505,1602.0,117.154651,169.459526,233.216328,1000000,484921515,3780699,444764857,2.474984,0.649599,0.650092,3.780699,104698.88903877299,2.667645732213253,1825385,649599,632270,2474406,578,649599,0,650092,0,0,851,9771,97510,524138,0,0,395834985090,3780699,0,0
baseline,baseline_run26,503.695,1985,503.695,632270,1000000,503.980983,833.27708,868.876828,1761.0,118.269254,169.584817,233.372423,1000000,503268711,3924964,461487925,2.615559,0.651389,0.652051,3.924964,103668.23138021138,2.935112505737736,1964170,651389,632270,2614901,658,651388,1,652051,0,0,969,9814,97769,523718,0,0,406894076111,3924964,0,0
baseline,baseline_run27,404.891,2469,404.891,632270,1000000,409.33252,576.751331,803.944086,1593.0,94.310695,155.101607,168.472715,1000000,404511397,3761677,363958734,2.456082,0.649392,0.649876,3.761677,106522.98365064304,2.6366201000320277,1806690,649392,632270,2455769,313,649392,0,649876,0,0,937,9527,98049,523757,0,0,400705057570,3761677,0,0
