panel	config_id	config_label	system	system_label	metric	value	unit	point_type	source
c	A_cache_zero	Cache, 0%	baseline	Baseline	throughput	59153.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	A_cache_zero	Cache, 0%	flush_only	Flush-only	throughput	39.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	A_cache_zero	Cache, 0%	last_comp	Last-comp	throughput	156517.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	A_cache_zero	Cache, 0%	fillseq	Fillseq	throughput	120833.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	A_cache_zero	Cache, 0%	fillseq_ow	Fillseq+OW	throughput	68606.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	A_cache_zero	Cache, 0%	f2load	F2Load	throughput	76548.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	baseline	Baseline	throughput	752969.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	flush_only	Flush-only	throughput	1579.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	last_comp	Last-comp	throughput	910711.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	fillseq	Fillseq	throughput	569202.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	fillseq_ow	Fillseq+OW	throughput	538646.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	B_cache_5pct	Cache, 5%	f2load	F2Load	throughput	832889.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	baseline	Baseline	throughput	669385.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	flush_only	Flush-only	throughput	3755.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	last_comp	Last-comp	throughput	713364.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	fillseq	Fillseq	throughput	452421.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	fillseq_ow	Fillseq+OW	throughput	420139.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	C_pinned_zero	Pinned, 0%	f2load	F2Load	throughput	694457.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	baseline	Baseline	filter_probes_per_op	3.618606635	checks/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	baseline	Baseline	bloom_positive_per_op	0.660687518	positives/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
b	D_pinned_5pct	Pinned, 5%	baseline	Baseline	successful_lookup_pct	63.214418500	percent	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	D_pinned_5pct	Pinned, 5%	baseline	Baseline	throughput	813716.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	flush_only	Flush-only	filter_probes_per_op	10253.243996632	checks/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	flush_only	Flush-only	bloom_positive_per_op	99.757193700	positives/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
b	D_pinned_5pct	Pinned, 5%	flush_only	Flush-only	successful_lookup_pct	63.314255400	percent	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	D_pinned_5pct	Pinned, 5%	flush_only	Flush-only	throughput	3883.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	last_comp	Last-comp	filter_probes_per_op	0.999994131	checks/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	last_comp	Last-comp	bloom_positive_per_op	0.635706963	positives/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
b	D_pinned_5pct	Pinned, 5%	last_comp	Last-comp	successful_lookup_pct	63.214061100	percent	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	D_pinned_5pct	Pinned, 5%	last_comp	Last-comp	throughput	949618.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	fillseq	Fillseq	filter_probes_per_op	1.000000000	checks/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	fillseq	Fillseq	bloom_positive_per_op	1.000000000	positives/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
b	D_pinned_5pct	Pinned, 5%	fillseq	Fillseq	successful_lookup_pct	100.000000000	percent	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
c	D_pinned_5pct	Pinned, 5%	fillseq	Fillseq	throughput	589071.000000	ops/sec	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
a	D_pinned_5pct	Pinned, 5%	fillseq_ow	Fillseq+OW	filter_probes_per_op	3.387641458	checks/op	single_run	vcomp/experiments/results/paper_figure4_uniform_read_cache_5m_single.tsv
