config_id	config_label	metadata_placement	cache_fraction	cache_size_bytes	system	system_label	status	measured_seconds	operations	throughput_ops_sec	avg_latency_us	p50_latency_us	p99_latency_us	bloom_useful	bloom_full_positive	bloom_full_true_positive	filter_probes	filter_probes_per_op	bloom_positive_per_op	bloom_true_positive_per_op	filter_cache_hit	filter_cache_miss	index_cache_hit	index_cache_miss	data_cache_hit	data_cache_miss	cache_counter_valid	disk_read_ios	disk_read_mib	disk_read_ios_per_op	disk_read_kib_per_op	peak_rss_gib	result_dir	source_db_dir	throughput_vs_baseline	latency_vs_baseline	filter_probes_vs_baseline
A_cache_zero	Cache, 0%	cache	0%	1	baseline	Baseline	ok	300.020	17747154	59153.000000	811.421000	803.500000	1598.660000	52500715	11723126	11218166	64223841	3.618824799	0.660563716	0.632110703	76322	64147519	5323	11717803	0	11738166	true	97799960	9601908.000000	5.510740483	554.024256058	0.266674042	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_baseline_260905_5m/A_cache_zero/baseline/figure4_baseline/workloadc	/work/vcomp/exp/paper_clean_vector_wb16_1000gib_260903_run1/baseline_bg48	1.000000000	1.000000000	1.000000000
A_cache_zero	Cache, 0%	cache	0%	1	flush_only	Flush-only	ok	301.647	11873	39.000000	1215525.437000	1339062.500000	2027225.000000	120829567	1185624	7518	122015191	10276.694264297	99.858839383	0.633201381	16426	122031239	58	1218040	0	1254086	true	125707734	10295971.960000	10587.697633286	887987.474693843	0.260154724	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/A_cache_zero/flush_only/figure4_flush_only/workloadc	/work/vcomp/exp/paper_lastcomp_flushonly_wb16_1tib_260902_run1/flushonly_1000gib	0.000659307	1498.020678538	2839.787730850
A_cache_zero	Cache, 0%	cache	0%	1	last_comp	Last-comp	ok	300.020	46958426	156517.000000	306.664000	331.000000	578.370000	17107418	29850738	29683995	46958156	0.999994250	0.635684382	0.632133517	0	0	0	0	0	0	false	109721905	13751488.540000	2.336575442	299.872152124	0.222198486	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/A_cache_zero/last_comp/figure4_last_comp/workloadc	/work/vcomp/exp/paper_lastcomp_from_nocomp_wb16_1000gib_260903_run1/lastcomp_1000gib	2.645968928	0.377934512	0.276331214
A_cache_zero	Cache, 0%	cache	0%	1	fillseq	Fillseq	ok	300.018	36252224	120833.000000	397.228000	410.240000	577.510000	0	36252224	36252224	36252224	1.000000000	1.000000000	1.000000000	734	36251490	28419	36223805	0	36252224	true	145155297	16265788.570000	4.004038401	459.452294449	0.267086029	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/A_cache_zero/fillseq/figure4_fillseq/workloadc	/work/vcomp/exp/paper_clean_fillseq_wb16_1000gib_260903_run1/fillseq_1000gib	2.042719727	0.489546117	0.276332803
A_cache_zero	Cache, 0%	cache	0%	1	fillseq_ow	Fillseq+OW	ok	300.019	20583377	68606.000000	699.616000	713.500000	1236.740000	48681917	21045882	20583377	69727799	3.387578190	1.022469831	1.000000000	142521	69585278	9530	21036352	0	21062728	true	135289705	13622248.930000	6.572765246	677.691658872	0.289115906	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/A_cache_zero/fillseq_ow/figure4_fillseq_ow/workloadc	/work/vcomp/exp/paper_clean_fillseq_overwrite_wb16_1000gib_260903_run1/fillseq_overwrite_1000gib	1.159805927	0.862210862	0.936098976
A_cache_zero	Cache, 0%	cache	0%	1	f2load	F2Load	ok	300.023	22966356	76548.000000	627.022000	631.170000	1243.920000	67196527	14818492	14184374	82015019	3.571094126	0.645226086	0.617615350	186314	81828705	8051	14810441	0	14838268	true	124183140	12324724.090000	5.407176480	549.521981988	0.268035889	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/A_cache_zero/f2load/figure4_f2load/workloadc	/work/vcomp/exp/motivation_speedup_1kb/vcomp_1000gb_1kb_none_260904_figure4_db_rebuild2	1.294067926	0.772745591	0.986810449
B_cache_5pct	Cache, 5%	cache	5%	53687091200	baseline	Baseline	ok	300.023	225908132	752969.000000	63.745000	83.880000	169.380000	668224352	149251597	142804095	817475949	3.618621170	0.660673857	0.632133486	817462364	13585	149237935	13662	8231594	141213306	true	141837795	1126721.630000	0.627856084	5.107221856	50.700675964	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_baseline_260905_5m/B_cache_5pct/baseline/figure4_baseline/workloadc	/work/vcomp/exp/paper_clean_vector_wb16_1000gib_260903_run1/baseline_bg48	1.000000000	1.000000000	1.000000000
B_cache_5pct	Cache, 5%	cache	5%	53687091200	flush_only	Flush-only	ok	300.064	473965	1579.000000	30384.854000	33024.700000	71515.740000	4811741481	47287541	299716	4859029022	10251.873075016	99.770111717	0.632358929	4859045259	16237	47303778	16237	2204657	47805376	true	48070189	388609.270000	101.421389765	839.589194308	50.521419525	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/B_cache_5pct/flush_only/figure4_flush_only/workloadc	/work/vcomp/exp/paper_lastcomp_flushonly_wb16_1tib_260902_run1/flushonly_1000gib	0.002097032	476.662546082	2833.088238141
B_cache_5pct	Cache, 5%	cache	5%	53687091200	last_comp	Last-comp	ok	300.023	273233964	910711.000000	52.704000	79.390000	145.300000	99534787	173697578	172722943	273232365	0.999994148	0.635710054	0.632143019	0	0	0	0	0	0	false	164835249	1299459.520000	0.603275107	4.869989547	50.791618347	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/B_cache_5pct/last_comp/figure4_last_comp/workloadc	/work/vcomp/exp/paper_lastcomp_from_nocomp_wb16_1000gib_260903_run1/lastcomp_1000gib	1.209493352	0.826794258	0.276346736
B_cache_5pct	Cache, 5%	cache	5%	53687091200	fillseq	Fillseq	ok	300.027	170776276	569202.000000	84.324000	92.580000	147.860000	0	170776276	170776276	170776276	1.000000000	1.000000000	1.000000000	170760028	16248	170759949	16327	5631192	165145084	true	165909853	1319068.590000	0.971504104	7.909331833	50.825023651	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_figure4_uniform_read_cache_260904_1115_uniform_cache_5m/B_cache_5pct/fillseq/figure4_fillseq/workloadc	/work/vcomp/exp/paper_clean_fillseq_wb16_1000gib_260903_run1/fillseq_1000gib	0.755943472	1.322833163	0.276348353
