workload	system	metric	value	unit	source_result_dir
workloada	baseline	throughput	350652	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	baseline	latency_p50	13.786645	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	baseline	latency_p95	160.964352	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	baseline	latency_p99	248.494836	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	baseline	disk_read	966757.51	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	baseline	disk_write	665913.51	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada
workloada	vcomp	throughput	468750	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloada	vcomp	latency_p50	13.518563	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloada	vcomp	latency_p95	164.227407	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloada	vcomp	latency_p99	290.156941	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloada	vcomp	disk_read	1143051.90	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloada	vcomp	disk_write	800933.13	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada
workloadb	baseline	throughput	1548558	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
workloadb	baseline	latency_p50	7.538673	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
workloadb	baseline	latency_p95	105.466545	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
workloadb	baseline	latency_p99	167.487307	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
workloadb	baseline	disk_read	1201013.88	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
workloadb	baseline	disk_write	303369.36	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb
