system	case_id	size_gb	kv_label	distribution	unique_ratio	workload	status	elapsed_sec	threads	duration_sec	cache_pct	avg_latency_us	throughput_ops_sec	p50_us	p95_us	p99_us	filter_hit	filter_miss	filter_bytes_insert	index_hit	index_miss	index_bytes_insert	data_hit	data_miss	data_bytes_insert	rocksdb_bytes_read	rocksdb_bytes_written	disk_read_ios	disk_write_ios	disk_read_mb	disk_write_mb	disk_read_lat_ms	disk_write_lat_ms	disk_read_mb_s	disk_write_mb_s	read_amp_bytes_per_op	write_amp_bytes_per_op	result_dir	run_db_dir	source_db_dir
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloada	ok	324	48	300	5	136.877	350652	13.786645	160.964352	248.494836	0	0	0	0	0	0	13964796	177424516	122373748864	44997605000	54227858320	25671780	1081311	966757.51	665913.51	0.000	0.000	2983.82	2055.29	427.752	515.495	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloada	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_ab_260610_baseline_motivation_10tb_1kb_basecopy_workloada	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloada	ok	322	48	300	5	102.394	468750	13.518563	164.227407	290.156941	0	0	0	0	0	0	19265573	211349268	162220415584	60227649000	72427085928	33781256	1382694	1143051.90	800933.13	0.000	0.000	3549.85	2487.37	428.286	515.037	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloada	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_ab_260610_vcomp_motivation_10tb_1kb_w512_workloada	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloadb	ok	346	48	300	5	30.995	1548558	7.538673	105.466545	167.487307	0	0	0	0	0	0	150607043	160340119	539568846048	371326969000	24124385980	105130167	409186	1201013.88	303369.36	0.000	0.000	3471.14	876.79	799.296	51.929	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/baseline/motivation_10tb_1kb_basecopy/workloadb	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_ab_260610_baseline_motivation_10tb_1kb_basecopy_workloadb	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloadb	ok	338	48	300	5	28.713	1671459	7.127531	105.119763	163.446747	0	0	0	0	0	0	167833628	164679157	573238041824	399926363000	26035395420	111736538	472972	1243252.43	309671.91	0.000	0.000	3678.26	916.19	797.559	51.921	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_ab_260610/vcomp/motivation_10tb_1kb_w512/workloadb	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_ab_260610_vcomp_motivation_10tb_1kb_w512_workloadb	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloadc	ok	351	48	300	5	23.598	2033885	6.702108	101.874445	109.835844	0	0	0	0	0	0	309554286	112358463	584257116336	393375796000	0	113143430	0	993856.91	0.00	0.000	0.000	2831.50	0.00	644.703	0.000	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/baseline/motivation_10tb_1kb_basecopy/workloadc	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_c_260610_baseline_motivation_10tb_1kb_basecopy_workloadc	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloadc	ok	342	48	300	5	22.542	2129210	5.922814	101.497158	109.607548	0	0	0	0	0	0	295763902	114356155	594646811504	390120319000	0	115266706	0	992901.17	0.00	0.000	0.000	2903.22	0.00	610.743	0.000	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_c_260610/vcomp/motivation_10tb_1kb_w512/workloadc	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_c_260610_vcomp_motivation_10tb_1kb_w512_workloadc	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloadd	ok	346	48	300	5	21.185	2265668	3.663920	100.177948	109.607808	0	0	0	0	0	0	174933077	104026810	540930433888	544400420000	35249068492	104619495	50342	873920.43	35390.45	0.000	0.000	2525.78	102.28	800.942	51.860	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloadd	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_de_260610_baseline_motivation_10tb_1kb_basecopy_workloadd	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloadd	ok	338	48	300	5	18.785	2555104	3.351141	99.363235	109.229951	0	0	0	0	0	0	207237233	112093515	581479915152	612774995000	39744898652	112562672	57553	927851.62	40500.59	0.000	0.000	2745.12	119.82	799.413	51.850	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloadd	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_de_260610_vcomp_motivation_10tb_1kb_w512_workloadd	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloade	ok	352	48	300	5	446.558	107420	0.000000	0.000000	0.000000	0	0	0	0	0	0	453219420	239521312	1245471303168	0	1679192136	121579840	5237	1701421.07	2358.11	0.000	0.000	4833.58	6.70	0.000	52.107	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/baseline/motivation_10tb_1kb_basecopy/workloade	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_de_260610_baseline_motivation_10tb_1kb_basecopy_workloade	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloade	ok	344	48	300	5	341.289	140567	0.000000	0.000000	0.000000	0	0	0	0	0	0	551448796	248754038	1293499291616	0	2196190280	119901893	5585	1751767.68	2827.71	0.000	0.000	5092.35	8.22	0.000	52.079	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_de_260610/vcomp/motivation_10tb_1kb_w512/workloade	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_de_260610_vcomp_motivation_10tb_1kb_w512_workloade	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	workloadf	ok	332	48	300	5	139.813	343059	12.637018	152.896263	265.303996	0	0	0	0	0	0	27907632	188479100	229738199344	88022160000	53121893780	46318442	1005819	1118962.97	656427.98	0.000	0.000	3370.37	1977.19	855.267	516.159	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_fmix_260610_baseline_motivation_10tb_1kb_basecopy_workloadf	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	workloadf	ok	330	48	300	5	104.819	457785	12.500205	155.998239	293.149217	0	0	0	0	0	0	38249442	224364181	302234836464	117656301000	70843407748	60699330	1247691	1336008.83	781809.73	0.000	0.000	4048.51	2369.12	856.707	515.842	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_fmix_260610_vcomp_motivation_10tb_1kb_w512_workloadf	/work/vcomp/vcomp_10tb_w512
baseline	motivation_10tb_1kb_basecopy	10240	1024B	fillrandom	0.632	mixgraph	ok	352	48	300	5	74.351	645471	12.848601	109.396836	165.204058	0	0	0	0	0	0	830392804	317911006	1633027314256	69274782665	2000803293	51142282	51177	2019252.16	28220.56	0.000	0.000	5736.51	80.17	357.748	10.333	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_fmix_260610_baseline_motivation_10tb_1kb_basecopy_mixgraph	/work/vcomp/baseline_10tb_copy
vcomp	motivation_10tb_1kb_w512	10240	1024B	fillrandom	0.632	mixgraph	ok	341	48	300	5	59.115	811864	11.154118	114.260061	163.836489	0	0	0	0	0	0	937565410	298244955	1526232564960	82731142662	2495922210	50378982	62839	1796303.78	30369.55	0.000	0.000	5267.75	89.06	339.676	10.248	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph	/work/vcomp/exp/q3_read_tmp/read10tb_realistic_fmix_260610_vcomp_motivation_10tb_1kb_w512_mixgraph	/work/vcomp/vcomp_10tb_w512
