workload	metric	baseline_n	baseline_mean	baseline_min	baseline_max	f2load_n	f2load_mean	f2load_min	f2load_max	mean_difference_pct
A	throughput_ops_sec	10	699783.2	689211.0	724412.0	10	695124.0	681749.0	706600.0	-0.6658062096946527
A	filter_checks_per_lookup	10	4.46563	4.4292	4.5009	10	4.44089	4.4029	4.489	-0.554009176756709
A	positive_lookup_pct	10	86.78280000000001	86.755	86.847	10	86.7512	86.707	86.777	-0.036412745382741196
A	compaction_write_per_op	10	3744.45	3653.4	3796.7	10	3819.23	3744.4	3881.0	1.9970890250904816
B	throughput_ops_sec	10	1041011.8	1019138.0	1065193.0	10	1044604.3	1026435.0	1059288.0	0.34509695279150154
B	filter_checks_per_lookup	10	3.93315	3.8781	3.9947	10	3.9397	3.8928	3.9779	0.16653318586883348
B	positive_lookup_pct	10	83.5181	83.484	83.556	10	83.5008	83.483	83.524	-0.020714072757888058
B	compaction_write_per_op	10	513.05	506.5	522.0	10	535.89	525.1	544.5	4.45180781600234
C	throughput_ops_sec	10	1600855.7	1511066.0	1642937.0	10	1426763.7	1143040.0	1644652.0	-10.874933949387188
C	filter_checks_per_lookup	10	3.60975	3.3177	4.0253	10	3.97412	3.2485	4.2468	10.094050834545332
C	positive_lookup_pct	10	60.2924	60.292	60.293	10	62.0086	61.064	63.4	2.8464615772468838
D	throughput_ops_sec	10	2669989.9	2624828.0	2703271.0	10	2648489.6	2611562.0	2699250.0	-0.8052577277539497
D	filter_checks_per_lookup	10	1.02395	0.9414	1.1172	10	1.05219	0.9258	1.12	2.75794716538893
D	positive_lookup_pct	10	92.0736	92.043	92.096	10	91.9913	91.942	92.043	-0.08938501372814933
E	throughput_ops_sec	10	106575.4	105414.0	107067.0	10	105840.3	103732.0	106925.0	-0.6897464142757048
F	throughput_ops_sec	10	604600.2	599723.0	610443.0	10	599845.6	594417.0	606675.0	-0.786403974064176
F	filter_checks_per_lookup	10	7.06064	6.9531	7.244	10	7.03444	6.7742	7.3708	-0.37107117768361286
F	positive_lookup_pct	10	86.52	86.506	86.537	10	86.4834	86.464	86.506	-0.042302357836332405
F	compaction_write_per_op	10	4180.82	4137.0	4221.9	10	4246.87	4169.8	4342.2	1.5798336211556574
