workload	metric	baseline_n	baseline_mean	baseline_min	baseline_max	f2load_n	f2load_mean	f2load_min	f2load_max	mean_difference_pct
A	throughput_ops_sec	10	699783.2	689211.0	724412.0	10	695066.3	681749.0	706421.0	-0.6740516205590352
A	filter_checks_per_lookup	10	4.46563	4.4292	4.5009	10	4.43908	4.3795	4.4777	-0.5945409718225769
A	positive_lookup_pct	10	86.78280000000001	86.755	86.847	10	86.7518	86.707	86.788	-0.03572136414128346
A	compaction_write_per_op	10	3744.45	3653.4	3796.7	10	3823.56	3761.2	3884.7	2.1127268357168605
B	throughput_ops_sec	10	1041011.8	1019138.0	1065193.0	10	1043892.8	1031087.0	1057056.0	0.27674998496654
B	filter_checks_per_lookup	10	3.93315	3.8781	3.9947	10	3.94392	3.8928	4.0422	0.2738263224133286
B	positive_lookup_pct	10	83.5181	83.484	83.556	10	83.5007	83.483	83.538	-0.02083380728250539
B	compaction_write_per_op	10	513.05	506.5	522.0	10	532.79	518.6	544.1	3.8475782087515897
C	throughput_ops_sec	10	1600855.7	1511066.0	1642937.0	10	1470053.3	1143040.0	1644652.0	-8.170780164633197
C	filter_checks_per_lookup	10	3.60975	3.3177	4.0253	10	3.87247	3.2447	4.2468	7.278066348085033
C	positive_lookup_pct	10	60.2924	60.292	60.293	10	63.5537	61.686	66.938	5.409139460363166
D	throughput_ops_sec	10	2669989.9	2624828.0	2703271.0	10	2657207.1	2611562.0	2731411.0	-0.47875836534062577
D	filter_checks_per_lookup	10	1.02395	0.9414	1.1172	10	1.03223	0.8591	1.12	0.8086332340446312
D	positive_lookup_pct	10	92.0736	92.043	92.096	10	91.993	91.942	92.039	-0.08753866472039906
E	throughput_ops_sec	10	106575.4	105414.0	107067.0	10	106034.8	103732.0	107058.0	-0.507246512797499
F	throughput_ops_sec	10	604600.2	599723.0	610443.0	10	598978.6	594417.0	606675.0	-0.9298045220626716
F	filter_checks_per_lookup	10	7.06064	6.9531	7.244	10	7.01123	6.7965	7.3708	-0.6997949194407327
F	positive_lookup_pct	10	86.52	86.506	86.537	10	86.4822	86.464	86.496	-0.04368932038834039
F	compaction_write_per_op	10	4180.82	4137.0	4221.9	10	4243.56	4169.8	4295.3	1.5006625494520476
