system	arm	workload	operations	get_requests	successful_gets	bloom_useful	bloom_full_positive	bloom_full_true_positive	throughput_ops_sec	avg_latency_us	filter_checks_per_get	positive_lookup_pct	bloom_false_positive_pct	data_cache_misses_per_op	data_cache_hit_pct	compaction_read_bytes	compaction_write_bytes	compaction_read_bytes_per_op	compaction_write_bytes_per_op	flush_write_bytes_per_op	device_read_ios	device_write_ios	device_read_bytes	device_write_bytes	device_read_bytes_per_op	device_write_bytes_per_op	source_run	source_db	measured_seconds	process_elapsed_seconds	measurement_binary_sha256
baseline	b01	A	207205522	103598329	89880451	865954474	61266065	52764394	690630.0	69.5	8.950149562740535	86.75859144407629	0.9722238271880405	1.0780244408737332	13.592769952286337	823008531342	768070057984	3971.9430418558054	3706.803035799403	354.90725987987906	49751674	1729119	1336626221056	868929048576	6450.726834664184	4193.561253526825	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.024	304.8362064361572	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b01	B	318395530	302477684	252720364	1070363651	164638718	153552843	1061213.0	45.228	4.082953666757115	83.55008563210237	1.0250940735998806	0.35176476566740744	45.56538879896755	169055341630	161749479424	530.960160244712	508.01429097952473	35.37272479610502	83570174	373390	885724135424	173832224768	2781.835961779991	545.9631445454024	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.03	304.9702694416046	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b01	C	479123996	479123996	288874141	1435623920	300904006	288874141	1596912.0	30.056	3.6243810380977037	60.29214637790757	0.8309904705564667	0.23457918396556368	62.749046868084115	0	0	0.0	0.0	0.0	112882303	47	937891037184	1900544	1957.512136762192	0.003966705938059508	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.032	304.61002111434937	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b01	D	798227074	758311520	698165723	485374585	325437310	320683884	2660567.0	18.041	1.0692332552194381	92.06845796039073	0.9698335727235144	0.15179052170310123	62.785499437858604	0	0	0.0	0.0	52.00212893931483	121690101	86313	1010460938240	41554337792	1265.8815657259954	52.058291613396214	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.021	304.7847535610199	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b01	E	31627456	0	0	0	0	0	105414.0	455.321				8.999353188571348	55.62286273869073	0	0	0.0	0.0	50.71044133299877	142372644	3421	2042167046144	1649868800	64569.43758435709	52.16571323346399	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.03	304.6965079307556	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b01	F	180228954	180228954	155913719	1156277584	104165549	92815160	600723.0	79.902	6.993566266827471	86.50869659932665	0.9720895064578929	1.332089520976746	19.180565724423705	804153790266	755598147584	4461.8457379828105	4192.434849197427	354.82787489295424	80967664	1818184	1561062502400	833386184704	8661.552252031603	4624.041621547668	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01	300.02	304.8589916229248	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	A	209244517	104618774	90784590	879449322	61966539	53399981	697434.0	68.822	8.99853654373736	86.77657606654806	0.9646852261245599	1.0913419681147487	13.522264608355295	843366012575	787058012160	4030.5286115334625	3761.4271735493076	354.8263723297466	50387984	1813537	1358629797888	887677677568	6493.024607607758	4242.298389916712	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.02	304.6515049934387	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	B	309303353	293838766	245361520	1069705388	160957765	150031265	1030912.0	46.558	4.188225977643808	83.5020931172846	1.0111213745711713	0.35296879242043006	45.77278919165863	165868506061	158792966144	536.2648172165143	513.3890874568049	35.63751049281383	81380400	367473	865062436864	170504470528	2796.8091146557986	551.2532239765277	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.029	304.9078712463379	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	C	492920647	492920647	297194587	1357369208	307635162	297194587	1642937.0	29.215	3.3778345056826153	60.29258234743817	0.7633060627114991	0.23428292708542192	62.496827995677904	0	0	0.0	0.0	0.0	115985523	42	963361243136	1888256	1954.3941788585698	0.0038307504696592676	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.024	304.52192282676697	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	D	802696614	762558061	702144171	476925157	327519939	322766658	2675412.0	17.94	1.054929633744964	92.07747015082698	0.9868162294613653	0.1516778106155061	62.84339317639479	0	0	0.0	0.0	51.98715483556282	122280199	89885	1015282495488	41788125184	1264.8396390121063	52.05967541804032	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.027	304.8279330730438	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	E	32122695	0	0	0	0	0	107067.0	448.298				9.007758066376436	55.92317945911868	0	0	0.0	0.0	51.900087461528365	144922914	3671	2076494131200	1675915264	64642.58777789348	52.17231194331609	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.023	304.5214433670044	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b02	F	181167125	181167125	156741555	1170279137	104906931	93389375	603846.0	79.488	7.038727738269292	86.51765876397276	0.9745801514101885	1.3319995998170198	19.27089800911313	808775059261	759764254720	4464.2484626336045	4193.720327128887	354.931257677131	81430130	1895101	1561784184832	839273148416	8620.682062664515	4632.590755171503	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02	300.022	304.83475732803345	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	A	206781828	103386319	89692479	862547308	61031203	52654545	689211.0	69.641	8.93327589117473	86.75468849993585	0.9618127789584792	1.0833214512447389	13.530584047949343	826374298476	771168337920	3996.3584153826127	3729.381567900638	354.7511549854371	49677419	1752237	1333659389952	868719702016	6449.5966732241095	4201.141417591105	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.027	304.57432985305786	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	B	305770547	290482278	242505036	1062189565	159282739	148332473	1019138.0	47.096	4.2049804635586066	83.48359069257918	1.020395076548044	0.3551902597080418	45.65731464402872	166700461118	159619518464	545.1815511779819	522.0238509891536	35.63139409892216	80485528	368595	858491863040	170938023936	2807.634258639044	559.0401875298996	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.028	305.0104122161865	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	C	475682943	475682943	286799456	1475716042	299275437	286799456	1585459.0	30.273	3.7314591685916305	60.29214631730026	0.8383313985818885	0.23457872442569377	62.754159288796764	0	0	0.0	0.0	0.0	112076014	39	931229761536	1875968	1957.6690214347248	0.003943736111639387	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.028	304.4891369342804	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	D	802390319	762266913	701860809	495699113	326858971	322556947	2674435.0	17.947	1.079094566446176	92.07546556595722	0.860402843443934	0.15173748750076832	62.7736799070448	330850594	266645504	0.41233123850787634	0.33231395953569576	51.94543782749702	122207768	88272	1015068921856	42056962048	1265.0562922058386	52.41459306290559	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.022	304.8782434463501	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	E	32016641	0	0	0	0	0	106714.0	449.784				9.003630049760686	55.60889045913054	0	0	0.0	0.0	50.72613919742549	144256915	3711	2068123967488	1670074368	64595.282418539784	52.162697767076814	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.022	304.68252205848694	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	b03	F	180586211	180586211	156228983	1194630635	105079707	93082683	601894.0	79.743	7.1971737753554175	86.51213297786065	0.9942606495480641	1.3276508802767892	19.407614943292785	801969840644	753117962240	4440.925119382454	4170.406799442732	355.12091691208917	81238665	1833522	1554833010688	830781878272	8609.92100159851	4600.472393055526	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03	300.03	304.7914490699768	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	A	208699627	104345755	90542546	874992406	61815450	53209827	695604.0	69.001	8.977920146344237	86.77166215338612	0.9739296283559274	1.0931194764425718	13.521773770355313	842822952757	786608640000	4038.4497321454246	3769.0946136669427	354.87763494182	50323502	1855037	1351620321280	885037101056	6476.390689859738	4240.722006925293	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.026	304.6407718658447	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	B	311167813	295610290	246870839	1053743951	160949624	150002339	1037150.0	46.279	4.109104507153658	83.5122617010389	1.0282121830107749	0.35153391330998623	45.58412571723021	164677832029	157620260864	529.2251484538988	506.5442320154109	35.384778855645976	81638479	359970	865905405952	169088524288	2782.760201332263	543.3997901576022	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.022	304.9788818359375	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	C	478276874	478276874	288362994	1446082827	299543831	288362994	1594123.0	30.109	3.6498245114816066	60.29206296100363	0.7672487331022891	0.23457198978012891	62.5811548424027	0	0	0.0	0.0	0.0	112679706	40	936223543296	1875968	1957.4928126171537	0.003922347288738029	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.025	304.37564873695374	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	D	797763397	757871564	697742867	513248039	327619353	322670354	2658994.0	18.051	1.1095117325183084	92.06610989827294	0.9550419313666552	0.1518597073462873	63.04000156347953	0	0	0.0	0.0	51.94775845425257	121675427	89557	1010317668352	41531703296	1266.4377334825253	52.06017655382602	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.024	304.839067697525	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	E	31813670	0	0	0	0	0	106037.0	452.657				9.002694282049195	55.917517556886374	0	0	0.0	0.0	50.65064759897239	143335051	3469	2055211495424	1659576320	64601.52178054277	52.16550998360139	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.023	304.5908513069153	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n01	F	182303027	182303027	157744693	1175401425	105424988	93894278	607633.0	78.993	7.025809906052739	86.52883915087159	0.9714717177153519	1.3369825011188652	19.163450145655293	817472785209	768153071616	4484.142686281342	4213.605688598906	354.7957129916444	81971717	1875891	1577032294400	845358026752	8650.609484394354	4637.103621718799	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01	300.021	304.74315667152405	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	A	211829248	105910964	91929738	881090946	62713469	54073142	706024.0	67.982	8.911300391902769	86.79907587282464	0.9711164777727218	1.0945339805011252	13.473674471376523	856485327472	799531118592	4043.281726006033	3774.4132415179984	354.8247735364665	51044778	1786522	1378200031232	897214164992	6506.183844980652	4235.553746534567	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.031	304.6751534938812	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	B	308668054	293234915	244847516	1057087109	160823644	149699066	1028822.0	46.654	4.153361999883268	83.49875934794463	1.0414207348023519	0.35421986688651624	45.72235296981745	166846066047	159722872832	540.535581459946	517.4583853501082	35.63471612452645	81175526	371215	864779132928	171320012800	2801.6476655792826	555.0299442390627	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.021	304.91923570632935	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	C	486042790	486042790	293047840	1437199835	306326322	293047840	1619969.0	29.628	3.5871865458594705	60.29260098683904	0.915455394566922	0.23453989308225312	62.83797877028169	0	0	0.0	0.0	0.0	114492913	43	951131893760	1888256	1956.8892149598598	0.0038849583593247006	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.032	304.37467527389526	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	D	805314184	765045243	704482144	477608407	329784625	325034876	2684119.0	17.882	1.0553533132680364	92.08372321060233	0.9846934152389454	0.1519293121006298	62.925086304268284	321847110	258379776	0.3996540932650455	0.3208434436316845	51.94732692302859	122805891	94761	1019984900096	42180980736	1266.567658140242	52.37829107453049	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.029	304.88743329048157	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	E	32120692	0	0	0	0	0	107057.0	448.326				9.00611895285444	55.658776581701645	0	0	0.0	0.0	51.37016674485095	144821713	3371	2075956977664	1675567104	64629.895821173464	52.16472621449127	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.031	304.6403317451477	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n02	F	181121530	181121530	156701395	1154405841	104943657	93500337	603694.0	79.508	6.953063492782995	86.5172655067567	0.9815437865207676	1.3371019226703749	19.202838932986406	812050585143	762968023040	4483.456964740746	4212.464542674745	355.11154696517855	81536863	1783737	1578009448448	840369750016	8712.43439942231	4639.811457069736	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02	300.022	304.8391807079315	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	A	208730594	104361188	90556348	877603387	61850130	53284246	695695.0	68.992	9.001943490716108	86.772055527003	0.9666193898073001	1.0655401862172633	13.74903772717543	817877424970	762578894848	3918.3399486229605	3653.4121818673116	354.99015404037993	50124927	1720101	1328376033280	861148430336	6364.0696259408915	4125.645473590709	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.031	304.8862645626068	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	B	317259774	301398656	251801030	1075565850	164580086	153442087	1057433.0	45.39	4.114636582851915	83.5441781133888	1.0249341630886226	0.3520738213726396	45.67734017632692	168702503733	161457844224	531.7487988029645	508.91369614352686	35.480213369249896	83269476	387134	883516145664	173383458816	2784.835072296307	546.5031277996183	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.028	305.0225706100464	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	C	488270131	488270131	294391382	1386444444	304778817	294391382	1627399.0	29.493	3.4637041130005146	60.29272800223776	0.7436424637900177	0.23413834421094254	62.529241243746256	0	0	0.0	0.0	0.0	114819644	37	953729630208	1871872	1953.2827622585007	0.0038336811554831726	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.031	304.70342111587524	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	D	808139703	767729093	706999881	444441632	331004978	326796684	2693518.0	17.819	1.010052396177723	92.08976023525527	0.9379905704029916	0.15186008253822916	62.96060477510527	760907900	803868672	0.9415549034100605	0.994714984322457	51.99541194797603	123088008	94518	1022658863104	42877325312	1265.4481141164772	53.05682316167555	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.031	304.8768081665039	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	E	32042260	0	0	0	0	0	106797.0	449.423				9.00673922501097	55.847410213828475	713824412	686055424	22.277592529365908	21.410956156026447	50.43950670146238	144331253	5149	2070324314112	2358001664	64612.306189138966	73.59036672194783	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.028	304.71721029281616	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n03	F	182141082	182141082	157601722	1165425942	105309767	93885007	607068.0	79.063	6.976656199945052	86.52727889252354	0.9707909406506858	1.339586974672743	19.113696448703653	818544193283	768973639680	4494.011918096545	4221.857206711883	354.89337941892757	81955663	1886813	1577504456704	846083854336	8660.893189950415	4645.211530784692	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03	300.034	304.7907452583313	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	A	217344971	108668343	94375117	898334916	64324946	55541536	724412.0	66.257	8.858696428268903	86.84692744417755	0.9682761055805194	1.100033540688641	13.378407267550546	883388260458	825187807232	4064.4522686379523	3796.6731111160607	354.9420306992058	52506219	1901805	1417820471296	928467005440	6523.364514820083	4271.858700793219	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.029	304.5283453464508	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	B	319588943	303611736	253686352	1073991221	165390133	154173358	1065193.0	45.06	4.082125975525531	83.55617452152772	1.0336060037655674	0.3529137958943717	45.541785861895	171490409159	164115251200	536.5968157383968	513.5198034682946	35.42955056489548	83855089	403668	890774892544	176916049920	2787.251912354177	553.5737508916258	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.029	305.000497341156	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	C	490623562	490623562	295809675	1320094141	307667006	295809675	1635289.0	29.352	3.3177394505158317	60.29259454930132	0.890222447984201	0.23424448783403518	62.8928884236896	0	0	0.0	0.0	0.0	115425879	45	958838108160	1900544	1954.325438940089	0.0038737316085117003	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.023	304.56580090522766	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	D	811072452	770515555	709616861	433171800	330344264	326204930	2703271.0	17.755	0.9909158342689136	92.09637059176566	0.9465421019900216	0.1516546958248805	62.77918505736876	0	0	0.0	0.0	51.96454888594835	123537715	90618	1025658380288	42224730112	1264.570603722095	52.060367736420176	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.034	304.8252627849579	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	E	32007520	0	0	0	0	0	106682.0	449.913				9.016811299344655	55.344641305843886	0	0	0.0	0.0	50.34939026828695	144683798	3986	2071456247808	1669701632	64717.79906122061	52.16591700950276	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.026	304.6471915245056	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	n04	F	183151960	183151960	158494869	1198206241	106070558	94363512	610443.0	78.626	7.121282234708271	86.53735892315868	0.9675938041004422	1.3221516657533996	19.347467949671447	809446549171	760139616256	4419.535281910169	4150.322039993457	354.82886910956347	82207654	1839208	1573464100864	839510945792	8591.030643974544	4583.685294943062	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04	300.031	304.6774163246155	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	A	206999313	103495270	89789074	857023046	61009339	52753273	689933.0	69.568	8.870283492182782	86.75669332521187	0.9541506186272066	1.089281151382372	13.454101187322307	832602032181	777033170944	4022.245388712957	3753.795892762214	354.78023169091387	49694446	1748460	1347557326848	877928976384	6509.960382564168	4241.216860386392	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.028	304.84807872772217	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	B	309701640	294217346	245684014	1068385524	161333907	150256109	1032260.0	46.498	4.179629269716817	83.50425878697172	1.026231996421644	0.3528153548040624	45.81062645503069	165559559083	158416789504	534.5775988884011	511.51420930157167	35.634808769498285	81523193	375205	865438670848	170050289664	2794.42714881329	549.0777822939523	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.023	305.00527596473694	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	C	479933669	479933669	289361997	1446493761	303360422	289361997	1599628.0	30.005	3.6460333917518923	60.292081112567246	0.9584731184587112	0.23456245992193558	62.933873014962074	0	0	0.0	0.0	0.0	113066040	40	939369246720	1875968	1957.289741053779	0.003908806823052875	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.028	304.46877670288086	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	D	799877256	759879302	699639729	514898370	328294092	323563270	2666014.0	18.004	1.1096399912206056	92.07248140047378	0.9104226769461404	0.15177559192906967	63.03998777549419	153954580	124084224	0.19247275609496764	0.15512908145496765	51.966172079782204	121892194	82420	1012266991616	41785057280	1265.5279094671496	52.239336681427034	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.027	304.81994581222534	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	E	31974851	0	0	0	0	0	106573.0	450.374				8.99446236668937	56.228659497064484	0	0	0.0	0.0	50.73222915096618	143820263	3847	2063464460288	1667989504	64533.98204382563	52.16566932555839	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.028	304.64517307281494	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r01	F	181378015	181378015	156927941	1208667828	105223171	93431307	604523.0	79.396	7.243937469488791	86.51982490821725	0.9661821752323796	1.3184440352376776	19.48386756603715	799385836077	750352744448	4407.291788241259	4136.955321999747	354.994674597139	81224433	1802531	1557361627136	828699312128	8586.2756141421	4568.907164013235	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01	300.035	304.7981903553009	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
baseline	r02	A	211231939	105611847	91664767	881707484	62514719	53874110	704052.0	68.174	8.940495122673122	86.79401942473366	0.9704753756349092	1.083115716700399	13.555460263683605	843515768787	787251613696	3993.3154653615143	3726.953496819437	354.7980365507131	50812435	1793900	1362761912320	890275127296	6451.495539791452	4214.680466934501	ycsb_band_r02_260910	/work/vcomp/exp/physcopy_band_260910/r02	300.023	304.4745283126831	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266
