system	arm	level	files	rounded_size_mib
baseline	b01	0	0	0
baseline	b01	1	3	204
baseline	b01	2	53	2517
baseline	b01	3	441	25568
baseline	b01	4	4110	255921
baseline	b01	5	8853	501652
baseline	b01	6	0	0
baseline	b02	0	0	0
baseline	b02	1	3	210
baseline	b02	2	45	2512
baseline	b02	3	444	25577
baseline	b02	4	4135	255927
baseline	b02	5	8869	501388
baseline	b02	6	0	0
baseline	b03	0	0	0
baseline	b03	1	4	227
baseline	b03	2	48	2541
baseline	b03	3	445	25570
baseline	b03	4	4136	255996
baseline	b03	5	8887	501488
baseline	b03	6	0	0
baseline	n01	0	0	0
baseline	n01	1	4	253
baseline	n01	2	48	2512
baseline	n01	3	444	25579
baseline	n01	4	4115	255934
baseline	n01	5	8872	501334
baseline	n01	6	0	0
baseline	n02	0	0	0
baseline	n02	1	4	246
baseline	n02	2	47	2553
baseline	n02	3	450	25556
baseline	n02	4	4100	255976
baseline	n02	5	8879	501461
baseline	n02	6	0	0
baseline	n03	0	0	0
baseline	n03	1	4	215
baseline	n03	2	45	2531
baseline	n03	3	449	25573
baseline	n03	4	4122	255924
baseline	n03	5	8929	501309
baseline	n03	6	0	0
baseline	n04	0	0	0
baseline	n04	1	4	220
baseline	n04	2	47	2504
baseline	n04	3	437	25565
baseline	n04	4	4129	255990
baseline	n04	5	8892	501413
baseline	n04	6	0	0
baseline	r01	0	0	0
baseline	r01	1	4	208
baseline	r01	2	46	2518
baseline	r01	3	442	25590
baseline	r01	4	4104	255976
baseline	r01	5	8901	501490
baseline	r01	6	0	0
baseline	r02	0	0	0
baseline	r02	1	5	242
baseline	r02	2	46	2542
baseline	r02	3	448	25599
baseline	r02	4	4163	255892
baseline	r02	5	8860	501570
baseline	r02	6	0	0
baseline	run3	0	0	0
baseline	run3	1	4	241
baseline	run3	2	43	2542
baseline	run3	3	444	25563
baseline	run3	4	4132	255980
baseline	run3	5	8838	501506
baseline	run3	6	0	0
f2load	f01	0	0	0
f2load	f01	1	3	136
f2load	f01	2	45	2524
f2load	f01	3	445	25567
f2load	f01	4	4092	255813
f2load	f01	5	8689	501433
f2load	f01	6	0	0
f2load	f02	0	0	0
f2load	f02	1	4	250
f2load	f02	2	47	2535
f2load	f02	3	440	25461
f2load	f02	4	4118	255831
f2load	f02	5	8673	501539
f2load	f02	6	0	0
f2load	f03	0	0	0
f2load	f03	1	4	213
f2load	f03	2	41	2483
f2load	f03	3	447	25547
f2load	f03	4	4082	255837
f2load	f03	5	8641	501112
f2load	f03	6	0	0
f2load	f04	0	0	0
f2load	f04	1	1	62
f2load	f04	2	44	2522
f2load	f04	3	438	25530
f2load	f04	4	4097	255842
f2load	f04	5	8642	501208
f2load	f04	6	0	0
f2load	f05	0	0	0
f2load	f05	1	4	205
f2load	f05	2	43	2479
f2load	f05	3	454	25551
f2load	f05	4	4032	255827
f2load	f05	5	8674	500335
f2load	f05	6	0	0
f2load	f06	0	0	0
f2load	f06	1	3	223
f2load	f06	2	47	2548
f2load	f06	3	440	25582
f2load	f06	4	4063	255847
f2load	f06	5	8614	499784
f2load	f06	6	0	0
f2load	f07	0	0	0
f2load	f07	1	3	187
f2load	f07	2	45	2499
f2load	f07	3	440	25579
f2load	f07	4	4049	255817
f2load	f07	5	8657	500700
f2load	f07	6	0	0
f2load	f08	0	0	0
f2load	f08	1	5	255
f2load	f08	2	41	2520
f2load	f08	3	439	25528
f2load	f08	4	4074	255832
f2load	f08	5	8640	501670
f2load	f08	6	0	0
f2load	f09	0	0	0
f2load	f09	1	3	185
f2load	f09	2	43	2538
f2load	f09	3	435	25540
f2load	f09	4	4065	255808
f2load	f09	5	8560	499750
f2load	f09	6	0	0
f2load	f10	0	0	0
f2load	f10	1	2	139
f2load	f10	2	42	2486
f2load	f10	3	432	25527
f2load	f10	4	4072	255845
f2load	f10	5	8645	501378
f2load	f10	6	0	0
