system	arm	workload	operation	count	mean_us	p50_us	p99_us
baseline	b01	A	read	103598329	76.7146	46.32	397.89
baseline	b01	A	write	103607193	62.287	14.79	845.03
baseline	b01	B	read	302477684	47.284	25.06	217.32
baseline	b01	B	write	15917846	6.1836	5.11	14.81
baseline	b01	C	read	479123996	30.0566	11.38	136.84
baseline	b01	D	read	758311520	18.7185	4.3	109.82
baseline	b01	D	write	39915554	5.1693	3.64	18.23
baseline	b01	E	seek	30044500	478.6705	395.96	1603.11
baseline	b01	E	write	1582956	12.3109	11.56	29.88
baseline	b01	F	read	90109729	72.2377	43.36	363.55
baseline	b01	F	update	90119225	87.5662	57.11	506.5
baseline	b02	A	read	104618774	75.1724	47.34	360.8
baseline	b02	A	write	104625743	62.4732	14.91	939.51
baseline	b02	B	read	293838766	48.6871	26.27	222.78
baseline	b02	B	write	15464587	6.1198	5.09	14.76
baseline	b02	C	read	492920647	29.2153	10.63	115.5
baseline	b02	D	read	762558061	18.6176	4.34	109.34
baseline	b02	D	write	40138553	5.075	3.57	17.69
baseline	b02	E	seek	30514923	471.2609	392.32	1471.23
baseline	b02	E	write	1607772	12.5661	11.83	30.51
baseline	b02	F	read	90579112	71.5076	43.26	359.15
baseline	b02	F	update	90588013	87.4703	57.34	508.61
baseline	b03	A	read	103386319	77.2578	46.71	419.65
baseline	b03	A	write	103395509	62.0273	14.6	865.16
baseline	b03	B	read	290482278	49.2489	27.26	222.63
baseline	b03	B	write	15288269	6.2066	5.16	14.79
baseline	b03	C	read	475682943	30.2739	11.83	122.59
baseline	b03	D	read	762266913	18.6248	4.32	109.38
baseline	b03	D	write	40123406	5.0746	3.56	17.96
baseline	b03	E	seek	30414311	472.8253	393.67	1480.55
baseline	b03	E	write	1602330	12.5391	11.77	30.51
baseline	b03	F	read	90288789	72.127	43.16	369.33
baseline	b03	F	update	90297422	87.3624	56.56	518.39
baseline	n01	A	read	104345755	76.0432	46.75	375.43
baseline	n01	A	write	104353872	61.9626	14.71	872.23
baseline	n01	B	read	295610290	48.3924	26.52	219.55
baseline	n01	B	write	15557523	6.1324	5.09	14.78
baseline	n01	C	read	478276874	30.1099	11.58	125.51
baseline	n01	D	read	757871564	18.7335	4.46	109.6
baseline	n01	D	write	39891833	5.0951	3.6	17.99
baseline	n01	E	seek	30221495	475.8445	395.61	1527.59
baseline	n01	E	write	1592175	12.6413	11.9	30.58
baseline	n01	F	read	91147033	71.0375	42.52	357.63
baseline	n01	F	update	91155994	86.9485	56.2	506.67
baseline	n02	A	read	105910964	75.4141	46.57	369.47
baseline	n02	A	write	105918284	60.5526	14.96	867.48
baseline	n02	B	read	293234915	48.7829	26.63	221.06
baseline	n02	B	write	15433139	6.2108	5.13	14.85
baseline	n02	C	read	486042790	29.6286	11.12	116.26
baseline	n02	D	read	765045243	18.5567	4.36	109.38
baseline	n02	D	write	40268941	5.07	3.55	17.89
baseline	n02	E	seek	30513021	471.3004	391.94	1493.57
baseline	n02	E	write	1607671	12.457	11.74	30.27
baseline	n02	F	read	90556347	71.1543	43.33	350.4
baseline	n02	F	update	90565183	87.8631	58.41	502.64
baseline	n03	A	read	104361188	75.1518	46.62	367.65
baseline	n03	A	write	104369406	62.8347	14.73	884.57
baseline	n03	B	read	301398656	47.4549	25.47	216.11
baseline	n03	B	write	15861118	6.1791	5.13	14.8
baseline	n03	C	read	488270131	29.4936	10.93	118.94
baseline	n03	D	read	767729093	18.4933	4.34	109.32
baseline	n03	D	write	40410610	5.0242	3.52	17.58
baseline	n03	E	seek	30438572	472.4453	393.61	1491.38
baseline	n03	E	write	1603688	12.628	11.87	30.44
baseline	n03	F	read	91066582	71.2502	42.33	363.54
baseline	n03	F	update	91074500	86.8777	55.76	515.5
baseline	n04	A	read	108668343	76.1788	46.88	376.5
baseline	n04	A	write	108676628	56.3382	14.75	829.18
baseline	n04	B	read	303611736	47.1103	25.34	212.31
baseline	n04	B	write	15977207	6.1025	5.09	14.78
baseline	n04	C	read	490623562	29.3519	10.77	117.65
baseline	n04	D	read	770515555	18.4234	4.22	109.25
baseline	n04	D	write	40556897	5.0683	3.53	18.25
baseline	n04	E	seek	30405626	472.9716	394.02	1510.42
baseline	n04	E	write	1601894	12.3696	11.66	30.38
baseline	n04	F	read	91571461	71.0717	41.94	365.05
baseline	n04	F	update	91580499	86.1832	54.67	507.92
baseline	r01	A	read	103495270	76.3032	47.03	374.26
baseline	r01	A	write	103504043	62.8358	14.77	885.81
baseline	r01	B	read	294217346	48.6106	26.79	219.31
baseline	r01	B	write	15484294	6.3742	5.24	14.93
baseline	r01	C	read	479933669	30.0058	11.49	122.33
baseline	r01	D	read	759879302	18.678	4.45	109.45
baseline	r01	D	write	39997954	5.1973	3.65	18.47
baseline	r01	E	seek	30374604	473.4393	393.68	1499.28
baseline	r01	E	write	1600247	12.6741	11.93	30.75
baseline	r01	F	read	90684861	71.6148	42.66	364.53
baseline	r01	F	update	90693154	87.1804	55.98	515.74
baseline	r02	A	read	105611847	75.4834	45.97	376.92
baseline	r02	A	write	105620092	60.8675	14.88	873.05
baseline	r02	B	read	293979609	48.6594	26.45	221.06
baseline	r02	B	write	15471764	6.1999	5.12	14.86
baseline	r02	C	read	478767704	30.0787	11.55	122.28
baseline	r02	D	read	757810635	18.7388	4.48	109.51
baseline	r02	D	write	39889065	5.0234	3.52	17.87
baseline	r02	E	seek	30455157	472.1892	393.91	1480.3
baseline	r02	E	write	1604556	12.656	11.88	30.51
baseline	r02	F	read	89962952	72.3828	44.15	366.17
baseline	r02	F	update	89971675	87.6836	57.9	513.39
baseline	run3	A	read	105730710	75.9999	46.87	371.61
baseline	run3	A	write	105737975	60.1979	14.73	866.05
baseline	run3	B	read	298298353	47.9556	25.7	218.96
baseline	run3	B	write	15698652	6.0954	5.06	14.74
baseline	run3	C	read	453369970	31.7645	13.25	138.88
baseline	run3	D	read	748164895	18.9808	4.44	109.88
baseline	run3	D	write	39381139	5.0877	3.59	17.84
