system	arm	final_sst_count	final_sst_bytes	average_sst_bytes	source_run	source_db
baseline	b01	13460	824035727459	61221079.30601783	ycsb_band_b01_260910	/work/vcomp/exp/physcopy_band_260910/b01
baseline	b02	13496	823776558752	61038571.33609959	ycsb_band_b02_260910	/work/vcomp/exp/physcopy_band_260910/b02
baseline	b03	13520	823994280207	60946322.50051775	ycsb_band_b03_260910	/work/vcomp/exp/physcopy_band_260910/b03
baseline	n01	13483	823774028552	61097235.670993105	ycsb_band_n01_260910	/work/vcomp/exp/physcopy_band_260910/n01
baseline	n02	13480	823962193053	61124791.76951039	ycsb_band_n02_260910	/work/vcomp/exp/physcopy_band_260910/n02
baseline	n03	13549	823709822862	60794879.538120896	ycsb_band_n03_260910	/work/vcomp/exp/physcopy_band_260910/n03
baseline	n04	13509	823856475799	60985748.449108005	ycsb_band_n04_260910	/work/vcomp/exp/physcopy_band_260910/n04
baseline	r01	13497	823952554783	61047088.59620656	ycsb_band_r01_260910	/work/vcomp/exp/physcopy_band_260910/r01
baseline	r02	13522	824017818100	60939048.81674308	ycsb_band_r02_260910	/work/vcomp/exp/physcopy_band_260910/r02
baseline	run3	13461	824004110212	61214182.46876161	ycsb_band_run3_260910	/work/vcomp/exp/physcopy_band_260910/run3
f2load	f01	13274	823628626956	62048261.7866506	ycsb_f2band_f01_260911	/work/vcomp/exp/f2band_260911/f01
f2load	f02	13282	823778912302	62022203.90769462	ycsb_f2band_f02_260911	/work/vcomp/exp/f2band_260911/f02
f2load	f03	13215	823334513039	62303027.85009459	ycsb_f2band_f03_260911	/work/vcomp/exp/f2band_260911/f03
f2load	f04	13222	823305368588	62267839.10058992	ycsb_f2band_f04_260911	/work/vcomp/exp/f2band_260911/f04
f2load	f05	13207	822501569240	62277698.88998259	ycsb_f2band_f05_260911	/work/vcomp/exp/f2band_260911/f05
f2load	f06	13167	822066616787	62433858.64562923	ycsb_f2band_f06_260912	/work/vcomp/exp/f2band_260912/f06
f2load	f07	13194	822904000111	62369561.93049871	ycsb_f2band_f07_260912	/work/vcomp/exp/f2band_260912/f07
f2load	f08	13199	823975811671	62427139.303810894	ycsb_f2band_f08_260912	/work/vcomp/exp/f2band_260912/f08
f2load	f09	13106	821896740394	62711486.372195944	ycsb_f2band_f09_260912	/work/vcomp/exp/f2band_260912/f09
f2load	f10	13193	823524572722	62421327.4253013	ycsb_f2band_f10_260912	/work/vcomp/exp/f2band_260912/f10
