system	arm	approximate_start_sec	approximate_end_sec	nvme_read_iops	nvme_read_MiB_s	nvme_read_await_us	nvme_member_mean_util_pct
baseline	b01	0	30	349480.00000000006	3043.3333333333335	70.0	98.07096774193549
baseline	b01	30	60	364534.60000000003	2850.238541666667	70.0	100.00172043010753
baseline	b01	60	90	380363.6333333333	2973.917708333334	70.0	100.0
baseline	b01	90	120	379539.60000000003	2967.677734375	70.00000000000001	100.00172043010753
baseline	b01	120	150	377562.1333333333	2952.007682291667	70.00000000000001	100.00043010752688
baseline	b01	150	180	378347.6333333333	2958.1899739583337	70.00000000000001	100.00043010752688
baseline	b01	180	210	376811.26666666666	2946.1815104166667	70.0	100.0
baseline	b01	210	240	378173.73333333334	2956.955338541667	70.0	100.0
baseline	b01	240	270	384000.86666666664	3002.492578125	70.0	100.0
baseline	b01	270	300	384839.0333333334	3008.9476562500004	69.99999999999999	100.0
baseline	b02	0	30	357275.46666666673	3104.1023437500007	70.0	97.99913978494624
baseline	b02	30	60	381652.93333333335	2984.115494791666	70.0	100.00043010752688
baseline	b02	60	90	392796.06666666665	3071.1710937500006	70.00000000000001	100.00172043010753
baseline	b02	90	120	391823.26666666666	3063.6265625	69.99999999999999	100.00086021505376
baseline	b02	120	150	387971.0333333334	3033.406510416667	70.0	100.00086021505376
baseline	b02	150	180	389476.26666666666	3045.214322916667	70.0	100.00086021505376
baseline	b02	180	210	387519.4333333333	3030.053255208333	69.99999999999999	100.00086021505376
baseline	b02	210	240	388468.5333333334	3037.3313802083335	70.0	100.00172043010753
baseline	b02	240	270	387618.3666666667	3030.623307291667	69.99999999999999	100.00086021505376
baseline	b02	270	300	392201.10000000003	3066.592838541667	70.0	100.00043010752688
baseline	b03	0	30	347963.86666666664	3031.2654947916667	69.99999999999999	98.07182795698925
baseline	b03	30	60	362602.1000000001	2835.196875	69.99999999999999	100.0
baseline	b03	60	90	374562.5	2928.532942708334	70.0	100.00086021505376
baseline	b03	90	120	376050.1666666667	2940.21640625	70.0	100.0
baseline	b03	120	150	373844.76666666666	2923.122786458333	70.0	100.0
baseline	b03	150	180	374888.0666666667	2931.1744791666665	69.99999999999999	100.0
baseline	b03	180	210	374378.6666666667	2927.17578125	70.0	100.0
baseline	b03	210	240	379620.60000000003	2968.244401041666	70.0	100.00086021505376
baseline	b03	240	270	381287.80000000005	2981.243619791667	69.99999999999999	100.0
baseline	b03	270	300	381311.0	2981.4401041666665	70.0	99.99956989247312
baseline	n01	0	30	349786.8666666667	3045.7782552083336	69.99999999999999	98.08086021505376
baseline	n01	30	60	368159.7333333334	2878.6374999999994	69.99999999999999	100.0
baseline	n01	60	90	380714.8	2976.700911458334	70.0	100.0
baseline	n01	90	120	381416.0333333334	2982.2453125000006	70.0	100.0
baseline	n01	120	150	380128.2	2972.1523437500005	69.99999999999999	100.0
baseline	n01	150	180	380236.3	2973.090234375	70.00000000000001	100.00086021505376
baseline	n01	180	210	376303.8666666667	2942.2136718750003	69.99999999999999	100.0
baseline	n01	210	240	376849.3	2946.56875	70.00000000000001	100.0
baseline	n01	240	270	375902.06666666665	2939.1002604166665	70.0	100.0
baseline	n01	270	300	377443.69999999995	2951.3118489583335	70.0	100.00086021505376
baseline	n02	0	30	353862.9666666666	3077.5869791666664	70.0	98.06193548387097
baseline	n02	30	60	375318.69999999995	2934.549348958333	70.00000000000001	100.00086021505376
baseline	n02	60	90	384508.7333333332	3006.462369791667	70.00000000000001	100.00043010752688
baseline	n02	90	120	384436.8	3005.736848958333	70.0	100.00129032258064
baseline	n02	120	150	382406.5	2990.0437500000003	70.0	100.00129032258064
baseline	n02	150	180	383255.5333333334	2996.6203125000006	70.0	100.0
baseline	n02	180	210	381984.0333333334	2986.6398437499997	70.0	100.0
baseline	n02	210	240	383338.66666666657	2997.2686197916664	70.0	100.0
baseline	n02	240	270	388893.3333333333	3040.547005208333	70.00000000000001	100.0
baseline	n02	270	300	389340.8666666667	3044.2830729166667	70.00000000000001	100.0
baseline	n03	0	30	352740.36666666664	3068.82421875	70.0	97.85591397849463
baseline	n03	30	60	367362.23333333334	2872.5110677083326	70.0	100.0
baseline	n03	60	90	386325.8666666667	3020.5980468750004	70.0	100.0
baseline	n03	90	120	385385.06666666665	3013.3665364583335	70.0	100.00086021505376
baseline	n03	120	150	382948.0333333334	2994.2484375	70.0	100.0
baseline	n03	150	180	384124.60000000003	3003.44921875	70.0	100.0
baseline	n03	180	210	385929.53333333327	3017.458984375	70.00000000000001	100.00129032258064
baseline	n03	210	240	390737.6333333333	3055.093359375	70.0	100.0
baseline	n03	240	270	391035.9000000001	3057.4537760416665	70.0	100.00086021505376
baseline	n03	270	300	390903.7	3056.572005208334	69.99999999999999	100.00043010752688
baseline	n04	0	30	356083.06666666665	3094.958984375	70.00000000000001	98.0309677419355
baseline	n04	30	60	377851.60000000003	2954.39453125	70.0	100.0
baseline	n04	60	90	390357.93333333335	3052.1399739583335	70.0	100.0
baseline	n04	90	120	388501.73333333334	3037.6882812499994	70.00000000000001	100.0
baseline	n04	120	150	385810.9666666666	3016.590364583333	70.00000000000001	100.0
baseline	n04	150	180	387337.2666666666	3028.5324218749997	70.0	100.0
baseline	n04	180	210	385503.76666666666	3014.2807291666663	69.99999999999999	100.0
baseline	n04	210	240	386472.76666666666	3021.743880208334	69.99999999999999	100.0
baseline	n04	240	270	387069.2333333332	3026.394270833334	70.00000000000003	100.0
baseline	n04	270	300	393094.23333333334	3073.650130208334	70.0	100.0
baseline	r01	0	30	350829.8	3053.7610677083335	70.0	97.98795698924732
baseline	r01	30	60	369926.7	2892.3687499999996	69.99999999999999	100.00086021505376
baseline	r01	60	90	384307.3	3004.7389322916665	70.00000000000001	100.00172043010753
baseline	r01	90	120	384465.89999999997	3006.05859375	70.0	100.00043010752688
baseline	r01	120	150	382392.1666666667	2989.861588541667	70.0	100.00086021505376
baseline	r01	150	180	378282.5	2957.6391927083337	70.0	100.00129032258064
baseline	r01	180	210	377830.36666666664	2954.1608072916665	70.00000000000001	100.00086021505376
baseline	r01	210	240	377286.89999999997	2949.8748697916667	70.0	100.00086021505376
baseline	r01	240	270	377330.03333333327	2950.2205729166667	70.0	100.0
baseline	r01	270	300	377205.4000000001	2949.3191406249994	69.99999999999999	100.0
baseline	r02	0	30	349598.6666666667	3044.448177083333	70.0	98.05290322580645
baseline	r02	30	60	367726.73333333334	2875.2542968750004	70.00000000000001	100.00043010752688
baseline	r02	60	90	379379.3666666667	2966.3109375	69.99999999999999	100.00043010752688
baseline	r02	90	120	379385.56666666665	2966.3274739583335	70.0	100.00129032258064
baseline	r02	120	150	377143.73333333334	2948.831901041667	70.0	100.00172043010753
baseline	r02	150	180	378175.39999999997	2956.877994791667	70.0	100.00043010752688
baseline	r02	180	210	376343.23333333334	2942.6703125000004	70.00000000000001	99.99956989247312
baseline	r02	210	240	377837.6333333333	2954.2166666666667	69.99999999999999	100.0021505376344
baseline	r02	240	270	381309.26333333325	2981.3881608072916	70.00000000000003	99.96709677419356
baseline	r02	270	300	384473.89999999997	3006.1613281250006	70.00000000000001	100.00086021505376
baseline	run3	0	30	336242.6666666667	2939.9096354166672	70.0	98.06537634408602
baseline	run3	30	60	344408.9	2692.8527343749997	69.99999999999999	100.0
baseline	run3	60	90	363580.4666666666	2842.838932291667	70.00000000000001	100.0
baseline	run3	90	120	361336.43333333335	2825.3035156250003	70.0	100.0
baseline	run3	120	150	359562.9666666666	2811.431640625	70.00000000000001	100.00086021505376
baseline	run3	150	180	356269.7	2785.6832031249996	69.99999999999999	100.0
baseline	run3	180	210	356891.89999999997	2790.4979166666667	70.0	100.0
baseline	run3	210	240	356682.63333333336	2788.869140625	69.99999999999999	100.00086021505376
baseline	run3	240	270	355932.2666666666	2783.043359375	70.0	100.00043010752688
baseline	run3	270	300	357835.30000000005	2797.9031250000003	69.99999999999999	100.00086021505376
f2load	f01	0	30	283983.8333333333	2529.009765625	70.0	98.70666666666666
f2load	f01	30	60	254492.33333333334	1989.8839843750002	70.00000000000001	100.00430107526881
f2load	f01	60	90	269713.8666666667	2108.9191406249997	70.0	100.0021505376344
f2load	f01	90	120	269726.10000000003	2109.044401041667	70.0	100.00043010752688
f2load	f01	120	150	269557.5	2107.8187500000004	70.0	100.00129032258064
f2load	f01	150	180	269539.9	2107.5076822916667	69.99999999999999	100.0
f2load	f01	180	210	269507.86666666664	2107.282161458333	70.0	100.00172043010753
f2load	f01	210	240	268690.8333333333	2100.9753906250003	70.00000000000001	100.00086021505376
f2load	f01	240	270	269948.0333333333	2110.8390624999997	70.00000000000001	100.00043010752688
f2load	f01	270	300	272878.5999999999	2133.6503906250005	70.00000000000001	100.00043010752688
f2load	f02	0	30	338288.3666666667	2953.7901041666664	69.99999999999999	98.72516129032259
f2load	f02	30	60	346045.9666666667	2705.7341145833334	70.0	100.0
f2load	f02	60	90	364188.5	2847.6281249999997	70.0	100.0
f2load	f02	90	120	362825.0333333334	2837.0149739583335	70.0	100.0
f2load	f02	120	150	361340.0333333334	2825.3910156250004	70.0	100.0
f2load	f02	150	180	356823.43333333335	2790.1397135416664	69.99999999999999	100.0
f2load	f02	180	210	357550.4666666666	2795.6800781250004	70.0	100.0
f2load	f02	210	240	357348.5	2794.150130208334	69.99999999999999	100.0
f2load	f02	240	270	356231.60000000003	2785.381119791667	70.0	100.0
f2load	f02	270	300	356850.3333333333	2790.1720052083333	70.0	100.0
f2load	f03	0	30	344224.46666666673	2999.9289062500006	70.0	98.58193548387099
f2load	f03	30	60	356590.86666666664	2788.287369791666	70.00000000000001	100.00086021505376
f2load	f03	60	90	368807.83333333326	2883.7434895833335	70.00000000000001	100.0
f2load	f03	90	120	368050.39999999997	2877.8177083333335	70.00000000000001	100.0
f2load	f03	120	150	366037.56666666665	2862.1028645833335	69.99999999999999	100.0
f2load	f03	150	180	364882.5333333334	2853.04453125	70.0	100.0
f2load	f03	180	210	365092.3666666667	2854.7563802083337	70.0	100.0
f2load	f03	210	240	364153.86666666664	2847.3671875	70.0	100.0
f2load	f03	240	270	367664.5666666667	2874.8243489583333	69.99999999999999	100.00043010752688
f2load	f03	270	300	371779.3333333333	2906.977213541666	70.0	100.0
f2load	f04	0	30	359428.4000000001	3118.9236979166667	69.99999999999999	98.6821505376344
f2load	f04	30	60	381100.9666666666	2979.6846354166664	70.0	100.0
f2load	f04	60	90	391933.80000000005	3064.4791666666665	70.0	100.0
f2load	f04	90	120	390190.2666666666	3050.890625	70.00000000000003	100.0
f2load	f04	120	150	387630.39999999997	3030.90234375	70.0	100.0
f2load	f04	150	180	388760.0333333334	3039.76328125	69.99999999999999	100.0
f2load	f04	180	210	387390.0666666667	3028.9624999999996	69.99999999999999	100.0
f2load	f04	210	240	387744.1666666667	3031.7136718749994	70.0	100.0
f2load	f04	240	270	390790.2333333332	3055.620963541667	70.00000000000001	99.99956989247312
f2load	f04	270	300	394655.86666666664	3085.8686197916663	70.0	100.00086021505376
f2load	f05	0	30	343583.23333333334	2994.8643229166664	70.00000000000001	98.78279569892472
f2load	f05	30	60	357020.8	2791.4884114583333	70.00000000000001	100.00129032258064
f2load	f05	60	90	368385.7	2880.359635416667	69.99999999999999	100.0021505376344
f2load	f05	90	120	368945.1000000001	2884.8371093750006	70.0	100.00086021505376
f2load	f05	120	150	368225.0666666666	2879.1184895833335	70.00000000000001	99.99870967741936
f2load	f05	150	180	365032.89999999997	2854.14609375	70.0	100.00258064516129
f2load	f05	180	210	364990.0333333334	2853.8817708333336	70.0	100.00129032258064
f2load	f05	210	240	362828.0999999999	2837.0087239583336	70.00000000000001	100.00086021505376
f2load	f05	240	270	364690.4333333333	2851.4621093749997	70.00000000000003	100.00043010752688
f2load	f05	270	300	366474.8333333333	2865.4753906249994	69.99999999999999	100.00172043010753
f2load	f06	0	30	329616.3666666667	2885.2803385416664	69.99999999999999	98.69247311827957
f2load	f06	30	60	329681.7	2577.964583333334	69.99999999999999	100.00129032258064
f2load	f06	60	90	345444.5333333333	2701.0329427083334	70.00000000000001	100.00043010752688
f2load	f06	90	120	344144.8666666667	2690.66328125	69.99999999999999	100.00129032258064
f2load	f06	120	150	343269.5333333333	2684.000260416666	70.00000000000001	100.0
f2load	f06	150	180	342700.66666666674	2679.637890625	69.99999999999999	100.00043010752688
f2load	f06	180	210	342088.8333333334	2674.7596354166667	70.0	100.00086021505376
f2load	f06	210	240	343609.22000000003	2686.7892952473953	69.99999999999999	99.96408602150537
f2load	f06	240	270	342269.56666666665	2676.2524739583337	70.0	100.00129032258064
f2load	f06	270	300	345112.5	2698.363671875	70.0	100.0
f2load	f07	0	30	337335.2	2946.04140625	70.0	98.75483870967741
f2load	f07	30	60	344807.23333333334	2696.1106770833335	69.99999999999999	100.0
f2load	f07	60	90	357382.5333333334	2794.3561197916665	69.99999999999999	100.00086021505376
