system	arm	workload	throughput_ops_s	operations	measured_sec	process_elapsed_sec	nvme_read_await_us	nvme_read_iops	nvme_read_MiB_s	nvme_write_MiB_s	nvme_member_max_read_await_us	nvme_member_mean_util_pct	queue_timing_counters_usable	nvme_aqu_sz	device_read_p99_us	process_user_cpu_seconds	process_kernel_cpu_seconds	process_user_cpu_us_per_ycsb_op	process_kernel_cpu_us_per_ycsb_op	voluntary_context_switches	voluntary_context_switches_per_ycsb_op	involuntary_context_switches	involuntary_context_switches_per_ycsb_op	engine_sst_read_count	engine_sst_read_mean_us	engine_sst_read_p50_us	engine_sst_read_p95_us	engine_sst_read_p99_us	engine_get_block_read_count	engine_get_block_read_mean_us	engine_get_block_read_p50_us	engine_get_block_read_p95_us	engine_get_block_read_p99_us	engine_get_count	engine_get_mean_us	engine_get_p50_us	engine_get_p95_us	engine_get_p99_us	ycsb_read_p99_us	filter_checks_per_engine_get	data_cache_misses_per_ycsb_op	get_found_fraction	host_cpu_user_pct	host_cpu_system_pct	host_cpu_iowait_pct	host_cpu_snapshot_rows	qps_mean_20_to_280_sec	iostat_sample_count	mean_member_util_ge99_intervals	longest_mean_member_util_ge99_sec	start_utc	end_utc	binary_sha256	source_result	raw_dir
baseline	b01	C	1596912.0	479123996	300.032	304.61002111434937	68.41994965649847	370576.45571556827	2928.081914334577	0.005950231031038847	69.7446496743292	98.5329242263014	False			5421.27	1242.24	11.31496240067258	2.5927317570627375	186540271	0.38933610622165543	43454	9.069468522298767e-05	112433110	73.76885700306609	69.487848	106.079021	128.266924	112419650	78.61060913283399	73.099783	107.895695	146.021179	479123996	29.170931689257326	10.338809	104.437631	134.014153	136.84	3.6243810380977037	0.23457918396556368	0.6029214637790756	36.87238985017661	8.520574319480573	51.04610814433842	48	1611745.0076628353	60	58	275	2026-09-10T19:52:28.375935+00:00	2026-09-10T19:57:32.985957+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b01_260910/full/workloadc/baseline/raw
baseline	b02	C	1642937.0	492920647	300.024	304.52192282676697	67.66666514059906	380873.6524561481	3008.5822057626892	0.005913469983651746	67.70882590043163	98.55350625406098	False			5387.95	1178.14	10.93066405879322	2.390121020838472	179728633	0.3646198107014982	41536	8.426508455832648e-05	115523571	72.98729135545854	69.205653	104.805653	109.180086	115510075	77.80006299883365	72.643285	106.450375	109.720621	492920647	28.335852821356863	9.689814	103.809681	109.996322	115.5	3.3778345056826153	0.23428292708542192	0.6029258234743816	36.70949174753443	8.10030897321479	51.73239643466374	48	1659473.9578544062	60	58	275	2026-09-10T20:34:16.343111+00:00	2026-09-10T20:39:20.865034+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b02_260910/full/workloadc/baseline/raw
baseline	b03	C	1585459.0	475682943	300.028	304.4891369342804	67.67972877288919	368075.30517645285	2908.5272277008926	0.005875620122323587	67.71980759147587	98.57983974337735	False			5497.62	1286.41	11.557320019355833	2.704343342409904	192481140	0.4046416690623275	48604	0.00010217730258198474	111625878	73.05917520308329	69.268274	104.846338	109.188155	111612358	77.83844848972727	72.731378	106.462292	109.713381	475682943	29.370373757547156	10.845755	103.933119	116.495782	122.59	3.7314591685916305	0.23457872442569377	0.6029214631730027	37.402828529755865	8.824690289148343	50.09895751546609	48	1600692.6666666667	60	58	275	2026-09-10T21:16:16.793473+00:00	2026-09-10T21:21:21.282610+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b03_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b03_260910/full/workloadc/baseline/raw
baseline	n01	C	1594123.0	478276874	300.025	304.37564873695374	67.82372024322069	370196.28694862756	2925.1636062448392	0.005877810880811087	69.17320097948145	98.60837166613402	False			5469.07	1262.72	11.434945524880218	2.6401443779612896	191381496	0.40014791934096317	47814	9.997138184858171e-05	112231014	73.18835897713622	69.289092	105.114401	109.483759	112217531	78.03037366772934	72.788465	106.781708	113.776727	478276874	29.21240759593992	10.584616	104.011957	120.381305	125.51	3.6498245114816066	0.23457198978012891	0.6029206296100363	37.21888872455323	8.665151790712173	50.43178210696081	48	1611273.766283525	60	58	275	2026-09-10T15:14:24.471478+00:00	2026-09-10T15:19:28.847127+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloadc/baseline/raw
baseline	n02	C	1619969.0	486042790	300.032	304.37467527389526	67.70088115227198	376154.1228650944	2971.712898333483	0.0059163307472264075	67.74762631246861	98.60576195173236	False			5446.49	1205.83	11.205782931169496	2.4809132545716808	183662696	0.37787351191857	44356	9.125945474882983e-05	114037048	72.97737320418886	69.188626	104.798084	109.182066	114023568	77.7400126612421	72.590565	106.412796	109.69142	486042790	28.736881067611353	10.012098	103.821462	110.192849	116.26	3.5871865458594705	0.23453989308225312	0.6029260098683904	37.11343338635357	8.28931664668103	51.02760561708274	48	1636323.7739463602	60	58	275	2026-09-10T15:56:19.247705+00:00	2026-09-10T16:01:23.622380+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloadc/baseline/raw
baseline	n03	C	1627399.0	488270131	300.031	304.70342111587524	67.7118389997117	376820.7674843789	2976.942173874694	0.005858668220601059	67.75511368360944	98.49641148916999	False			5414.77	1218.12	11.08970149148853	2.4947665701058415	181278777	0.371267389690073	44236	9.059739105769712e-05	114363647	73.05176972888945	69.259116	104.837904	109.184063	114350098	77.89243460027467	72.80246	106.536682	109.779485	488270131	28.599596930904628	9.874039	103.872282	113.531214	118.94	3.4637041130005146	0.23413834421094254	0.6029272800223776	36.851449321418436	8.362958160845512	51.25088097669419	48	1642623.6781609196	60	58	275	2026-09-10T16:38:15.926148+00:00	2026-09-10T16:43:20.629570+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n03_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n03_260910/full/workloadc/baseline/raw
baseline	n04	C	1635289.0	490623562	300.023	304.56580090522766	67.69905222130878	378981.60481884493	2993.8306628112928	0.005951094950952813	67.94996193083365	98.54490019039348	False			5399.82	1197.38	11.006034805968001	2.4405268982984554	180543042	0.36798689664235895	43628	8.892357273293777e-05	114966605	73.09319664610432	69.289703	104.902695	109.23991	114953096	77.92385329056296	72.777285	106.536513	109.785014	490623562	28.45601294419692	9.770091	103.845411	111.958387	117.65	3.3177394505158317	0.23424448783403518	0.6029259454930133	36.78976008858094	8.233211355647105	51.440146429716414	48	1650843.490421456	60	58	275	2026-09-10T21:59:07.112666+00:00	2026-09-10T22:04:11.678469+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n04_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n04_260910/full/workloadc/baseline/raw
baseline	r01	C	1599628.0	479933669	300.028	304.46877670288086	67.7115358588845	371351.9107751918	2934.1164546669825	0.005876013032843351	68.68426966014684	98.57189574948313	False			5490.95	1242.32	11.441060202008874	2.5885243737713264	186229655	0.38803206990672706	43621	9.088964333527515e-05	112615088	73.09216121200384	69.279615	104.924132	109.270714	112601591	77.89750482300023	72.701731	106.549983	109.817282	479933669	29.1031650709215	10.47292	103.934858	116.626349	122.33	3.6460333917518923	0.23456245992193558	0.6029208111256724	37.39996761344311	8.534635584057611	50.57549780188619	48	1617401.8735632184	60	58	275	2026-09-10T17:46:23.775950+00:00	2026-09-10T17:51:28.244729+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_r01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r01_260910/full/workloadc/baseline/raw
baseline	r02	C	1595775.0	478767704	300.022	304.579621553421	67.6760731545223	370429.17521719786	2926.9687404009014	0.00589952469845341	67.71574151932207	98.54635956976317	False			5491.21	1261.98	11.469466202757904	2.635892081810096	186283892	0.38909034682924226	43825	9.153708496594833e-05	112377664	73.13100232266797	69.350412	104.89507	109.194669	112364142	77.96042980508854	72.867457	106.505878	109.73082	478767704	29.18313723391835	10.53664	103.931884	116.414798	122.28	3.6740854287030187	0.23463754146624727	0.6029200102436316	37.359259144092064	8.662541377740967	50.41886570573253	48	1611005.103448276	60	58	275	2026-09-10T18:28:46.615294+00:00	2026-09-10T18:33:51.194917+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_r02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloadc/baseline/raw
baseline	run3	C	1511066.0	453369970	300.033	304.50946068763733	67.62033848420768	350447.89005576033	2770.763846818484	0.005862399959491554	67.66476371857168	98.56109898523313	False			5487.21	1570.09	12.103161574640685	3.4631539446690747	220379324	0.48609157770198147	61502	0.00013565521333492822	106291096	72.97092944643265	69.181137	104.791547	109.179261	106277635	77.84892071600953	72.775416	106.52291	109.770389	453369970	30.85506432638227	12.398939	104.436741	134.043602	138.88	4.025320327237377	0.23435728881646042	0.6029204603030942	37.232648413496214	10.724944485145873	47.86438189676225	48	1526202.2567049807	60	58	275	2026-09-10T19:10:28.561091+00:00	2026-09-10T19:15:33.070554+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_run3_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_run3_260910/full/workloadc/baseline/raw
