system	arm	workload	throughput_ops_s	operations	measured_sec	process_elapsed_sec	nvme_read_await_us	nvme_read_iops	nvme_read_MiB_s	nvme_write_MiB_s	nvme_member_max_read_await_us	nvme_member_mean_util_pct	queue_timing_counters_usable	nvme_aqu_sz	device_read_p99_us	process_user_cpu_seconds	process_kernel_cpu_seconds	process_user_cpu_us_per_ycsb_op	process_kernel_cpu_us_per_ycsb_op	voluntary_context_switches	voluntary_context_switches_per_ycsb_op	involuntary_context_switches	involuntary_context_switches_per_ycsb_op	engine_sst_read_count	engine_sst_read_mean_us	engine_sst_read_p50_us	engine_sst_read_p95_us	engine_sst_read_p99_us	engine_get_block_read_count	engine_get_block_read_mean_us	engine_get_block_read_p50_us	engine_get_block_read_p95_us	engine_get_block_read_p99_us	engine_get_count	engine_get_mean_us	engine_get_p50_us	engine_get_p95_us	engine_get_p99_us	ycsb_read_p99_us	filter_checks_per_engine_get	data_cache_misses_per_ycsb_op	get_found_fraction	host_cpu_user_pct	host_cpu_system_pct	host_cpu_iowait_pct	host_cpu_snapshot_rows	qps_mean_20_to_280_sec	iostat_sample_count	mean_member_util_ge99_intervals	longest_mean_member_util_ge99_sec	start_utc	end_utc	binary_sha256	source_result	raw_dir
baseline	b01	A	690630.0	207205522	300.024	304.8362064361572	90.99516090404687	161768.61199172467	3819.4922990966857	2634.85248976885	93.28463069083777	91.04747781247633	False			5534.7	2189.09	26.71116071896964	10.564824618911459	137042068	0.6613823158631844	81947806	0.3954904541588424	47463954	95.48152136671968	75.283574	189.63783	546.050494	47069883	97.03993430363955	87.090332	168.237012	475.263136	103598329	75.71739801903561	45.444573	220.593876	395.12578	397.89	8.950149562740535	1.0780244408737332	0.8675859144407628	37.56834418506278	14.930915208038753	21.61283522529507	48	674885.4980842912	60	21	10	2026-09-10T19:42:15.012748+00:00	2026-09-10T19:47:19.848954+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b01_260910/full/workloada/baseline/raw
baseline	b02	A	697434.0	209244517	300.02	304.6515049934387	85.79736672678077	163805.01058438813	3899.344607375515	2698.6374768367104	88.87307372084095	92.40993510620584	False			5650.25	2295.7	27.003097051283785	10.97137470034639	140684367	0.6723443415246096	90660274	0.43327431131684085	47999458	90.59767687376804	74.610549	157.454341	489.658206	47595766	92.1801923305531	85.835806	152.457559	362.772882	104618774	74.20020233653283	46.497943	213.838245	359.796665	360.8	8.99853654373736	1.0913419681147487	0.8677657606654806	38.426295922991635	15.684788493852652	20.94447740369226	48	681523.2183908046	60	22	10	2026-09-10T20:24:03.227789+00:00	2026-09-10T20:29:07.879295+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b02_260910/full/workloada/baseline/raw
baseline	b03	A	689211.0	206781828	300.027	304.57432985305786	91.83095755353976	161611.96520976542	3830.3396782908076	2646.332350899722	93.98416134697896	91.10025790218914	False			5500.6	2174.27	26.600983525496254	10.5148021034034	138316703	0.6689016357859067	79791244	0.38587164438840343	47352132	96.34790724945606	75.349058	199.375994	557.573425	46956354	97.5004448386261	86.750309	172.772463	496.981954	103386319	76.27093551904096	45.846704	221.406296	417.092781	419.65	8.93327589117473	1.0833214512447389	0.8675468849993586	37.33498650718401	14.830666561940722	21.76466958029207	48	686271.9233716475	60	15	10	2026-09-10T21:06:03.569184+00:00	2026-09-10T21:11:08.143515+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_b03_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_b03_260910/full/workloada/baseline/raw
baseline	n01	A	695604.0	208699627	300.026	304.6407718658447	88.97072967247381	163552.1591375871	3894.695678419381	2696.3696417759284	92.69364510289473	91.86074753179021	False			5592.35	2238.5	26.796166722425433	10.725941546603723	139102289	0.6665191069076516	86563346	0.4147747997652147	47897061	93.42961471059779	74.893436	171.292095	528.3385	47493734	94.81005584863047	86.291825	162.068541	431.1223	104345755	75.05081182267548	45.887947	216.889476	374.72673	375.43	8.977920146344237	1.0931194764425718	0.8677166215338612	38.0271689657587	15.292346474336533	21.51004831594426	48	687786.3218390804	60	20	10	2026-09-10T15:04:11.195071+00:00	2026-09-10T15:09:15.835844+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n01_260910/full/workloada/baseline/raw
baseline	n02	A	706024.0	211829248	300.031	304.6751534938812	87.54910072425119	165964.27513087474	3956.5897001934536	2740.330671518042	88.97177163089124	92.63331992810083	False			5699.62	2289.05	26.9066715470755	10.806109267781567	141063710	0.6659312221133882	91681765	0.43280975533652466	48635725	92.28509888564425	74.898167	166.558473	510.486023	48226084	93.7700621306926	86.264829	159.050385	389.846202	105910964	74.43500833398136	45.711681	215.178738	368.640613	369.47	8.911300391902769	1.0945339805011252	0.8679907587282465	38.73266785368795	15.624097466597503	21.42085044933896	48	700574.5593869732	60	27	10	2026-09-10T15:46:06.072459+00:00	2026-09-10T15:51:10.747613+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n02_260910/full/workloada/baseline/raw
baseline	n03	A	695695.0	208730594	300.031	304.8862645626068	87.07443431159925	162889.62400863421	3813.1767609074077	2620.0683097014885	89.9118551855487	91.43746060992854	False			5547.63	2217.89	26.57794381594104	10.62561054178766	138571066	0.6638752055676131	86283444	0.41337229174943085	47821434	91.81782380260701	74.742251	163.939423	506.519278	47429522	93.23029167361206	85.708757	156.936288	383.26158	104361188	74.17130540905686	45.757662	214.596357	366.783523	367.65	9.001943490716108	1.0655401862172633	0.8677205552700301	37.624141261366326	15.110996480240427	21.105381125061502	48	673186.9157088123	60	19	10	2026-09-10T16:28:02.411891+00:00	2026-09-10T16:33:07.298157+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n03_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n03_260910/full/workloada/baseline/raw
baseline	n04	A	724412.0	217344971	300.029	304.5283453464508	89.2385343072755	170719.69750748167	4076.6174235157077	2827.723687413508	92.79670886422814	93.53976440193908	False			5802.78	2326.59	26.69847833746289	10.704595506835997	144965965	0.6669855959078068	88310883	0.40631666145153184	49982351	93.70152666488217	75.005493	176.471502	529.17543	49560172	94.90520406184224	86.116975	163.365279	434.871575	108668343	75.19893132998264	46.025183	218.174437	375.817763	376.5	8.858696428268903	1.100033540688641	0.8684692744417756	39.487786216178115	15.904954733503098	22.356368553232407	48	722366.0268199234	60	23	10	2026-09-10T21:48:54.012785+00:00	2026-09-10T21:53:58.541131+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_n04_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_n04_260910/full/workloada/baseline/raw
baseline	r01	A	689933.0	206999313	300.028	304.84807872772217	88.51685945539417	161543.49145163782	3846.5431501368535	2662.4915370138756	90.8184877613016	91.41733848646267	False			5556.32	2254.04	26.842214688896092	10.88911826485144	140239123	0.6774859344581496	85255786	0.4118650673975908	47368011	93.12371731209065	74.96891	168.908658	523.357217	46969401	94.72221097731266	86.653003	161.282267	420.207512	103495270	75.28467800509144	46.150542	218.323193	373.515542	374.26	8.870283492182782	1.089281151382372	0.8675669332521186	37.724871061778224	15.37658369772396	21.131292745823522	48	679247.0842911877	60	24	10	2026-09-10T17:36:10.363968+00:00	2026-09-10T17:41:15.212047+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_r01_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r01_260910/full/workloada/baseline/raw
baseline	r02	A	704052.0	211231939	300.023	304.4745283126831	89.23370424706114	165374.19494181886	3913.502334487777	2702.660347107669	92.63349556283487	92.10970198372385	False			5639.63	2195.47	26.698756005833	10.393646010132965	137883860	0.6527604710384257	83530969	0.3954466800591174	48453446	93.91383830574198	75.124415	177.80292	530.612688	48049784	95.16632359887403	86.203871	163.968413	442.021806	105611847	74.49821468419164	45.095053	215.485333	376.238294	376.92	8.940495122673122	1.083115716700399	0.8679401942473367	38.31896104333288	14.992650214742772	21.773247903768308	48	688827.5785440613	60	25	10	2026-09-10T18:18:33.650603+00:00	2026-09-10T18:23:38.125132+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_r02_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_r02_260910/full/workloada/baseline/raw
baseline	run3	A	704837.0	211468685	300.025	304.6007134914398	87.97986973554833	165539.92740866332	3948.7808773305856	2734.7935494237126	90.38051625129806	92.42661509398269	False			5636.85	2320.78	26.65571973457914	10.97457999514207	140653649	0.6651275530464476	87884018	0.41558880455515196	48509927	92.61604353682083	74.909379	166.863055	516.95761	48101056	93.8747500886467	86.02724	159.063172	402.14536	105730710	75.01976073933486	46.015537	218.410325	370.856899	371.61	8.872128334331624	1.093911337274358	0.867959186124826	38.33311953544874	15.851325652030976	21.58938048382812	48	702624.6551724138	60	21	10	2026-09-10T19:00:15.485089+00:00	2026-09-10T19:05:20.085803+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_band_run3_260910/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_band_run3_260910/full/workloada/baseline/raw
