system	arm	workload	window_sec	start_sec_exclusive	end_sec_inclusive	sample_count	mean_nominal_qps	min_nominal_qps	max_nominal_qps
baseline	b01	A	30	0	30	30	755532.7333333333	16211	1218185
baseline	b01	A	30	30	60	30	679747.3	16224	1090371
baseline	b01	A	30	60	90	30	692875.0666666667	75039	1061447
baseline	b01	A	30	90	120	30	682194.2333333333	15976	1209715
baseline	b01	A	30	120	150	30	706931.8	16087	1120475
baseline	b01	A	30	150	180	30	674872.3666666667	16132	1070225
baseline	b01	A	30	180	210	30	667048.6	15413	1148760
baseline	b01	A	30	210	240	30	652678.3	13589	1129833
baseline	b01	A	30	240	270	30	699880.3666666667	16159	1062433
baseline	b01	A	30	270	300	30	695088.9	46474	1121725
baseline	b01	A	60	0	60	60	717640.0166666667	16211	1218185
baseline	b01	A	60	60	120	60	687534.65	15976	1209715
baseline	b01	A	60	120	180	60	690902.0833333334	16087	1120475
baseline	b01	A	60	180	240	60	659863.45	13589	1148760
baseline	b01	A	60	240	300	60	697484.6333333333	16159	1121725
baseline	b02	A	30	0	30	30	717536.7333333333	15957	1277913
baseline	b02	A	30	30	60	30	729886.0333333333	107164	1154022
baseline	b02	A	30	60	90	30	667260.5333333333	17596	1152802
baseline	b02	A	30	90	120	30	638682.5333333333	83025	1050013
baseline	b02	A	30	120	150	30	725374.8	67849	1148217
baseline	b02	A	30	150	180	30	680000.1	16016	1127655
baseline	b02	A	30	180	210	30	746758.1	142737	1185258
baseline	b02	A	30	210	240	30	626018.5666666667	16014	1178159
baseline	b02	A	30	240	270	30	720525.3333333334	15929	1223584
baseline	b02	A	30	270	300	29	718643.1724137932	79886	1162553
baseline	b02	A	60	0	60	60	723711.3833333333	15957	1277913
baseline	b02	A	60	60	120	60	652971.5333333333	17596	1152802
baseline	b02	A	60	120	180	60	702687.45	16016	1148217
baseline	b02	A	60	180	240	60	686388.3333333334	16014	1185258
baseline	b02	A	60	240	300	59	719600.2033898305	15929	1223584
baseline	b03	A	30	0	30	30	741156.5333333333	229033	1167291
baseline	b03	A	30	30	60	30	653170.7	16228	1200091
baseline	b03	A	30	60	90	30	631826.0666666667	134817	1110040
baseline	b03	A	30	90	120	30	777629.2333333333	106128	1222737
baseline	b03	A	30	120	150	30	646584.3	16007	1066539
baseline	b03	A	30	150	180	30	692290.7666666667	80308	1064709
baseline	b03	A	30	180	210	30	712488.4333333333	24904	1106135
baseline	b03	A	30	210	240	30	682016.1666666666	20043	1049133
baseline	b03	A	30	240	270	30	696963.3	16206	1117472
baseline	b03	A	30	270	300	30	658580.4666666667	16173	1118552
baseline	b03	A	60	0	60	60	697163.6166666667	16228	1200091
baseline	b03	A	60	60	120	60	704727.65	106128	1222737
baseline	b03	A	60	120	180	60	669437.5333333333	16007	1066539
baseline	b03	A	60	180	240	60	697252.3	20043	1106135
baseline	b03	A	60	240	300	60	677771.8833333333	16173	1118552
baseline	n01	A	30	0	30	30	728202	15886	1193707
baseline	n01	A	30	30	60	30	690519.5333333333	16005	1152974
baseline	n01	A	30	60	90	30	657936.5666666667	117083	1169767
baseline	n01	A	30	90	120	30	712164.2333333333	16221	1135486
baseline	n01	A	30	120	150	30	661104.5	16082	1142980
baseline	n01	A	30	150	180	30	718841.4	16063	1187830
baseline	n01	A	30	180	210	30	714032.9666666667	59092	1077650
baseline	n01	A	30	210	240	30	715956.8	16193	1159552
baseline	n01	A	30	240	270	30	614076.0666666667	12812	1146302
baseline	n01	A	30	270	300	30	743749.4666666667	134298	1079849
baseline	n01	A	60	0	60	60	709360.7666666667	15886	1193707
baseline	n01	A	60	60	120	60	685050.4	16221	1169767
baseline	n01	A	60	120	180	60	689972.95	16063	1187830
baseline	n01	A	60	180	240	60	714994.8833333333	16193	1159552
baseline	n01	A	60	240	300	60	678912.7666666667	12812	1146302
baseline	n02	A	30	0	30	30	787224.7666666667	90483	1218374
baseline	n02	A	30	30	60	30	669049.9666666667	160651	1169279
baseline	n02	A	30	60	90	30	660126.1	15983	1076067
baseline	n02	A	30	90	120	30	723092.7	16262	1063557
baseline	n02	A	30	120	150	30	727015.2333333333	24958	1189165
baseline	n02	A	30	150	180	30	717583.9	16090	1165305
baseline	n02	A	30	180	210	30	720173.8333333334	16097	1166949
baseline	n02	A	30	210	240	30	666099.3	16305	1155235
baseline	n02	A	30	240	270	30	662443.4666666667	132220	1129547
baseline	n02	A	30	270	300	30	728059.1666666666	240691	1093270
baseline	n02	A	60	0	60	60	728137.3666666667	90483	1218374
baseline	n02	A	60	60	120	60	691609.4	15983	1076067
baseline	n02	A	60	120	180	60	722299.5666666667	16090	1189165
baseline	n02	A	60	180	240	60	693136.5666666667	16097	1166949
baseline	n02	A	60	240	300	60	695251.3166666667	132220	1129547
baseline	n03	A	30	0	30	30	767424.1333333333	70475	1279757
baseline	n03	A	30	30	60	30	692516.7666666667	166936	1126132
baseline	n03	A	30	60	90	30	626892.8333333334	16167	1134595
baseline	n03	A	30	90	120	30	736885.2	146071	1154607
baseline	n03	A	30	120	150	30	671385.6333333333	194053	1207518
baseline	n03	A	30	150	180	30	703965.0666666667	16289	1178860
baseline	n03	A	30	180	210	30	678232.3666666667	43013	1206870
baseline	n03	A	30	210	240	30	655527.4666666667	16194	1178285
baseline	n03	A	30	240	270	30	758046.6	234937	1182641
baseline	n03	A	30	270	300	30	666806.1666666666	16030	1175641
