system	arm	workload	process_start_utc	process_end_utc	measured_throughput_ops_s	reporter_sample_count	reporter_last_sec	qps_mean_0_60_sec	qps_mean_60_120_sec	qps_mean_120_180_sec	qps_mean_180_240_sec	qps_mean_240_300_sec	qps_mean_60_300_sec	qps_median_60_300_sec	qps_CV_pct_60_300_sec	one_sec_samples_below_90pct_own_steady_median	steady_samples
baseline	b01	C	2026-09-10T19:52:28.375935+00:00	2026-09-10T19:57:32.985957+00:00	1596912.0	300	300	1462455.4	1630547.1833333333	1621825.5666666667	1620670.0833333333	1649858.2	1630725.2583333333	1633821.0	1.333735616767731	0	240
baseline	b02	C	2026-09-10T20:34:16.343111+00:00	2026-09-10T20:39:20.865034+00:00	1642937.0	300	300	1518620.35	1685295.6	1669361.3166666667	1666963.9666666666	1675099.45	1674180.0833333333	1676681.5	1.1507514639749366	0	240
baseline	b03	C	2026-09-10T21:16:16.793473+00:00	2026-09-10T21:21:21.282610+00:00	1585459.0	300	300	1455423.0166666666	1610950.5666666667	1606533.4166666667	1618687.8166666667	1636427.4833333334	1618149.8208333333	1623493.0	1.3669084336626551	0	240
baseline	n01	C	2026-09-10T15:14:24.471478+00:00	2026-09-10T15:19:28.847127+00:00	1594123.0	300	300	1471069.1666666667	1635533.0333333334	1631360	1616513.9166666667	1616800.8333333333	1625051.9458333333	1624793.5	1.0073771310826893	0	240
baseline	n02	C	2026-09-10T15:56:19.247705+00:00	2026-09-10T16:01:23.622380+00:00	1619969.0	300	300	1495349.7	1649903.8	1642812.9166666667	1642795.8333333333	1669803.8666666667	1651329.1041666667	1654510.0	1.2761309118137827	0	240
baseline	n03	C	2026-09-10T16:38:15.926148+00:00	2026-09-10T16:43:20.629570+00:00	1627399.0	300	300	1480268.85	1658451.15	1648472.85	1670025.2	1680559.3666666667	1664377.1416666666	1670995.5	1.4039660284823052	0	240
baseline	n04	C	2026-09-10T21:59:07.112666+00:00	2026-09-10T22:04:11.678469+00:00	1635289.0	300	300	1508489.0833333333	1673097.5	1660613.5666666667	1658730.2833333334	1676128	1667142.3375	1669888.0	1.2286958419340204	0	240
baseline	r01	C	2026-09-10T17:46:23.775950+00:00	2026-09-10T17:51:28.244729+00:00	1599628.0	300	300	1477275	1649942.35	1631909.3833333333	1620699.4166666667	1619050.2166666666	1630400.3416666666	1628701.0	1.1412984173470828	0	240
baseline	r02	C	2026-09-10T18:28:46.615294+00:00	2026-09-10T18:33:51.194917+00:00	1595775.0	299	299	1470045.7666666666	1627938.1333333333	1620140.85	1618167.7	1643290.2881355933	1627317.690376569	1631258	1.3248934953833373	0	239
baseline	run3	C	2026-09-10T19:10:28.561091+00:00	2026-09-10T19:15:33.070554+00:00	1511066.0	300	300	1390935.9333333333	1558409.3166666667	1537830.0333333334	1534414.65	1534482.05	1541284.0125	1541901.0	1.2456905842907569	0	240
f2load	f01	C	2026-09-11T02:53:49.538048+00:00	2026-09-11T02:58:53.609014+00:00	1143040.0	300	300	1077893.5666666667	1158547.1833333333	1157908.4833333334	1155749	1165576.7666666666	1159445.3583333334	1164324.5	1.289987645816035	0	240
f2load	f02	C	2026-09-11T03:25:58.511927+00:00	2026-09-11T03:31:02.910433+00:00	1510456.0	300	300	1391519.6333333333	1559029.8333333333	1539527.2166666666	1533509.6833333333	1529310.75	1540344.3708333333	1539681.5	1.2157874530772264	0	240
f2load	f03	C	2026-09-11T03:58:09.893030+00:00	2026-09-11T04:03:14.174500+00:00	1547810.0	300	300	1430595.6333333333	1583255.4166666667	1570009.1333333333	1566830.9166666667	1589058.3333333333	1577288.45	1578450.5	1.2547417587475145	0	240
f2load	f04	C	2026-09-11T04:30:34.232232+00:00	2026-09-11T04:35:38.479557+00:00	1644652.0	300	300	1519207.8833333333	1681035.2833333334	1668343.5333333334	1666301.6833333333	1689165.4333333333	1676211.4833333334	1678471.0	1.1694286598724912	0	240
f2load	f05	C	2026-09-11T05:02:44.170211+00:00	2026-09-11T05:07:48.416266+00:00	1544004.0	300	300	1429082.0166666666	1583833.4	1574531.95	1562917.8166666667	1570365.05	1572912.0541666667	1573692.0	1.1415229082559133	0	240
f2load	f06	C	2026-09-11T21:35:02.535455+00:00	2026-09-11T21:40:06.694831+00:00	1451516.0	299	299	1342148.0666666667	1484363.0166666666	1475376.75	1476727.5333333334	1479421.06779661	1478970.2133891212	1482733	1.1193956012039197	0	239
f2load	f07	C	2026-09-11T22:07:07.385670+00:00	2026-09-11T22:12:11.595303+00:00	1497025.0	300	300	1389880.1166666667	1530859.6666666667	1519632.15	1518687.55	1526822.6166666667	1524000.4958333333	1526906.5	1.172227783575483	0	240
f2load	f08	C	2026-09-11T22:39:12.945217+00:00	2026-09-11T22:44:17.190168+00:00	1413181.0	300	300	1298291.0166666666	1447515.2333333334	1445400.3333333333	1432463.4333333333	1442837.65	1442054.1625	1444882.0	1.1744696025815884	0	240
f2load	f09	C	2026-09-11T23:11:16.573732+00:00	2026-09-11T23:16:20.587549+00:00	1311868.0	300	300	1227012.6	1335219.1166666667	1324839.3333333333	1327090.8666666667	1345812.6	1333240.4791666667	1338196.5	1.3003554380784181	0	240
f2load	f10	C	2026-09-11T23:43:22.267511+00:00	2026-09-11T23:48:26.618812+00:00	1636981.0	300	300	1507417.4333333333	1684160.85	1663650.9	1661911.1833333333	1668518.7166666666	1669560.4125	1671870.5	1.1613138833048569	0	240
