system	arm	workload	process_start_utc	process_end_utc	measured_throughput_ops_s	reporter_sample_count	reporter_last_sec	qps_mean_0_60_sec	qps_mean_60_120_sec	qps_mean_120_180_sec	qps_mean_180_240_sec	qps_mean_240_300_sec	qps_mean_60_300_sec	qps_median_60_300_sec	qps_CV_pct_60_300_sec	one_sec_samples_below_90pct_own_steady_median	steady_samples
baseline	b01	A	2026-09-10T19:42:15.012748+00:00	2026-09-10T19:47:19.848954+00:00	690630.0	300	300	717640.0166666667	687534.65	690902.0833333334	659863.45	697484.6333333333	683946.2041666667	763039.5	44.85964112120255	101	240
baseline	b02	A	2026-09-10T20:24:03.227789+00:00	2026-09-10T20:29:07.879295+00:00	697434.0	299	299	723711.3833333333	652971.5333333333	702687.45	686388.3333333334	719600.2033898305	690289.7531380753	713394	41.447488415976494	97	239
baseline	b03	A	2026-09-10T21:06:03.569184+00:00	2026-09-10T21:11:08.143515+00:00	689211.0	300	300	697163.6166666667	704727.65	669437.5333333333	697252.3	677771.8833333333	687297.3416666667	729072.5	42.342378696743765	91	240
baseline	n01	A	2026-09-10T15:04:11.195071+00:00	2026-09-10T15:09:15.835844+00:00	695604.0	300	300	709360.7666666667	685050.4	689972.95	714994.8833333333	678912.7666666667	692232.75	754404.0	42.91125582309518	105	240
baseline	n02	A	2026-09-10T15:46:06.072459+00:00	2026-09-10T15:51:10.747613+00:00	706024.0	300	300	728137.3666666667	691609.4	722299.5666666667	693136.5666666667	695251.3166666667	700574.2125	745133.5	40.98252640958646	95	240
baseline	n03	A	2026-09-10T16:28:02.411891+00:00	2026-09-10T16:33:07.298157+00:00	695695.0	300	300	729970.45	681889.0166666667	687675.35	666879.9166666666	712426.3833333333	687217.6666666666	718691.5	43.435509021649494	98	240
baseline	n04	A	2026-09-10T21:48:54.012785+00:00	2026-09-10T21:53:58.541131+00:00	724412.0	300	300	752724.1833333333	710972.55	712104.9666666667	732648.7	713910.6833333333	717409.225	789590.0	38.90450169190095	98	240
baseline	r01	A	2026-09-10T17:36:10.363968+00:00	2026-09-10T17:41:15.212047+00:00	689933.0	300	300	704348.6333333333	652355.8833333333	720214.5333333333	710619.9833333333	662423.7666666667	686403.5416666666	735655.5	43.85259920317711	98	240
baseline	r02	A	2026-09-10T18:18:33.650603+00:00	2026-09-10T18:23:38.125132+00:00	704052.0	300	300	708413.0666666667	684756.5333333333	726300.8	675640.5166666667	725419.9333333333	703029.4458333333	770297.5	41.85107405462526	100	240
baseline	run3	A	2026-09-10T19:00:15.485089+00:00	2026-09-10T19:05:20.085803+00:00	704837.0	300	300	737908.9333333333	704753.2166666667	707171.9166666666	689060.1166666667	685581.4166666666	696641.6666666666	778075.5	44.32919082060816	105	240
f2load	f01	A	2026-09-11T02:43:36.728701+00:00	2026-09-11T02:48:41.204117+00:00	694449.0	300	300	722534.7333333333	695315.3833333333	701858.0166666667	668121.85	684698.4333333333	687498.4208333333	731883.0	40.49051177931536	91	240
f2load	f02	A	2026-09-11T03:15:45.655174+00:00	2026-09-11T03:20:50.130275+00:00	702653.0	300	300	727145.7	694159.0166666667	677976.55	720425.2666666667	693858.9166666666	696604.9375	780653.0	43.656334692225954	102	240
f2load	f03	A	2026-09-11T03:47:56.630983+00:00	2026-09-11T03:53:01.302673+00:00	681749.0	300	300	719179.95	665023.4666666667	681086.75	698925.7333333333	644859.15	672473.775	723190.0	45.90926616771901	94	240
f2load	f04	A	2026-09-11T04:20:20.668248+00:00	2026-09-11T04:25:25.183606+00:00	695677.0	300	300	732788.1666666666	659632.2833333333	720388.3666666667	674709.9666666667	691194.4666666667	686481.2708333334	752520.0	43.165519438530225	95	240
f2load	f05	A	2026-09-11T04:52:31.080393+00:00	2026-09-11T04:57:35.477172+00:00	693314.0	300	300	717307.1166666667	688196.9333333333	717021.3	679395.65	664926.3166666667	687385.05	730490.0	42.138686208182854	95	240
f2load	f06	A	2026-09-11T21:24:49.431499+00:00	2026-09-11T21:29:53.912083+00:00	706421.0	300	300	745397.9666666667	692772.5166666667	707949.05	685025.5666666667	701236.2333333333	696745.8416666667	779476.5	39.06603931350519	97	240
f2load	f07	A	2026-09-11T21:56:54.184524+00:00	2026-09-11T22:01:58.846190+00:00	681932.0	300	300	728282.45	686568.4333333333	656654.6833333333	686431.8166666667	651996.3	670412.8083333333	722603.5	44.40193849578628	97	240
f2load	f08	A	2026-09-11T22:28:59.943732+00:00	2026-09-11T22:34:04.417480+00:00	699867.0	300	300	731629.9166666666	671504.6	695551.6166666667	711903.4333333333	689080.7333333333	692010.0958333333	767432.5	43.56221699138041	102	240
f2load	f09	A	2026-09-11T23:01:03.561252+00:00	2026-09-11T23:06:08.041440+00:00	699255.0	300	300	728170.1	666486.5166666667	717736.9666666667	683514.1666666666	700626.0333333333	692090.9208333333	758894.0	41.45568065818873	104	240
f2load	f10	A	2026-09-11T23:33:09.418302+00:00	2026-09-11T23:38:13.798404+00:00	695346.0	300	300	712183.8666666667	670868.9833333333	700313.8833333333	729434.5333333333	664233.9833333333	691212.8458333333	772752.5	43.125798046423384	103	240
baseline	b01	B	2026-09-10T19:47:21.710743+00:00	2026-09-10T19:52:26.681013+00:00	1061213.0	300	300	1001755.6333333333	1017279.5833333334	1091661.6166666667	1100145.0333333334	1095731.0666666667	1076204.325	1091296.0	10.139904971730198	29	240
baseline	b02	B	2026-09-10T20:29:09.706855+00:00	2026-09-10T20:34:14.614726+00:00	1030912.0	300	300	984516.9333333333	939607.05	1073844.95	1076399.4666666666	1080652.95	1042626.1041666666	1078761.5	12.840173879107446	53	240
baseline	b03	B	2026-09-10T21:11:10.049670+00:00	2026-09-10T21:16:15.060083+00:00	1019138.0	300	300	989966.7833333333	977264.2166666667	1036416.7666666667	1059203.9166666667	1033298	1026545.725	1052408.0	11.130206553243987	42	240
baseline	n01	B	2026-09-10T15:09:17.759456+00:00	2026-09-10T15:14:22.738339+00:00	1037150.0	300	300	1008846.8	954063.5	1070126.2333333334	1079778.8166666667	1073313.95	1044320.625	1074359.0	10.941498983606762	45	240
baseline	n02	B	2026-09-10T15:51:12.599909+00:00	2026-09-10T15:56:17.519145+00:00	1028822.0	299	299	1011212.7	1032265.1666666666	1047521.2666666667	1031750.3	1020921.7457627119	1033165.6359832636	1072216	12.603655194786988	56	239
baseline	n03	B	2026-09-10T16:33:09.144042+00:00	2026-09-10T16:38:14.166614+00:00	1057433.0	300	300	999652.4166666666	1003667.4	1087044.05	1095261.5833333333	1101986.7333333334	1071989.9416666667	1089416.5	10.34219957517853	35	240
baseline	n04	B	2026-09-10T21:54:00.376907+00:00	2026-09-10T21:59:05.377405+00:00	1065193.0	300	300	1017896.1166666667	1013275.0666666667	1071650.2666666666	1112743.8166666667	1110893.0333333334	1077140.5458333334	1094009.0	9.254267431294885	28	240
baseline	r01	B	2026-09-10T17:41:17.079854+00:00	2026-09-10T17:46:22.085131+00:00	1032260.0	300	300	993357.7333333333	1000131.2666666667	1064166.7833333334	1038520.2333333333	1065517	1042083.8208333333	1070665.0	10.288484073765874	42	240
baseline	r02	B	2026-09-10T18:23:39.967780+00:00	2026-09-10T18:28:44.922499+00:00	1031433.0	299	299	999660.6166666667	1005067.3833333333	1016448	1096098.95	1039792.7627118644	1039349.9288702928	1067532	11.499930200846846	42	239
baseline	run3	B	2026-09-10T19:05:21.926605+00:00	2026-09-10T19:10:26.835073+00:00	1046564.0	300	300	1003341.65	942479.6166666667	1096036.7333333334	1096309.2666666666	1095100.35	1057481.4916666667	1090081.0	11.547235216689927	48	240
f2load	f01	B	2026-09-11T02:48:43.056314+00:00	2026-09-11T02:53:47.823880+00:00	1057056.0	300	300	974587.9	1030480.15	1086554.45	1100081.1666666667	1093978.0833333333	1077773.4625	1087677.0	8.498351359986769	21	240
f2load	f02	B	2026-09-11T03:20:52.042218+00:00	2026-09-11T03:25:56.827775+00:00	1038428.0	300	300	1026503.25	1017409.2166666667	1017791.5833333334	1052275.6666666667	1078634.5666666667	1041527.7583333333	1072017.0	12.373102835018848	44	240
f2load	f03	B	2026-09-11T03:53:03.387599+00:00	2026-09-11T03:58:08.229535+00:00	1044963.0	300	300	1026512.1166666667	1017151.1833333333	1057719.5166666666	1055932.1333333333	1067949.6666666667	1049688.125	1068524.0	11.02092311423955	41	240
f2load	f04	B	2026-09-11T04:25:27.317286+00:00	2026-09-11T04:30:32.207476+00:00	1036490.0	300	300	1007490.35	968396.0833333334	1091915.2333333334	1045385.5833333334	1069728.7666666666	1043856.4166666666	1076911.0	12.933022387231718	49	240
f2load	f05	B	2026-09-11T04:57:37.386621+00:00	2026-09-11T05:02:42.219078+00:00	1052770.0	300	300	1025416.3166666667	1004593.7166666667	1086926	1071990.15	1075351.1333333333	1059715.25	1077055.5	9.904050233118832	45	240
f2load	f06	B	2026-09-11T21:29:55.906800+00:00	2026-09-11T21:35:00.704468+00:00	1039271.0	300	300	985963.6166666667	1030835.4166666666	1053714.5833333333	1101280.8	1024933.8833333333	1052691.1708333334	1076720.0	11.48900208907541	43	240
f2load	f07	B	2026-09-11T22:02:00.805992+00:00	2026-09-11T22:07:05.619885+00:00	1031087.0	299	299	1023618.65	972798.7833333333	1050820.85	1069988.9666666666	1036665.6610169491	1032551.4225941423	1073533	13.629500365590072	48	239
f2load	f08	B	2026-09-11T22:34:06.363382+00:00	2026-09-11T22:39:11.202475+00:00	1050345.0	300	300	1027391.5333333333	976394.7833333333	1085811.0333333334	1091820.2166666666	1070715.2166666666	1056185.3125	1069728.0	9.489066206679924	39	240
f2load	f09	B	2026-09-11T23:06:10.014838+00:00	2026-09-11T23:11:14.791389+00:00	1045066.0	300	300	1013255.6833333333	990559.25	1071339.05	1064593.2333333334	1086019.3166666667	1053127.7125	1075269.5	11.016310514516762	37	240
f2load	f10	B	2026-09-11T23:38:15.690653+00:00	2026-09-11T23:43:20.526612+00:00	1043452.0	300	300	997486.6166666667	1015885.7333333333	1098802.7333333334	1056044.6833333333	1049529.2333333334	1055065.5958333334	1075896.0	9.555620418060254	35	240
