system	workload	n	throughput_ops_s_mean	throughput_ops_s_min	throughput_ops_s_max	nvme_read_await_us_mean	nvme_read_await_us_min	nvme_read_await_us_max	engine_sst_read_mean_us_mean	engine_sst_read_mean_us_min	engine_sst_read_mean_us_max	engine_sst_read_p99_us_mean	engine_sst_read_p99_us_min	engine_sst_read_p99_us_max	process_kernel_cpu_us_per_ycsb_op_mean	process_kernel_cpu_us_per_ycsb_op_min	process_kernel_cpu_us_per_ycsb_op_max
baseline	A	10	699783.2	689211.0	724412.0	88.71867176379708	85.79736672678077	91.83095755353976	93.33147687083284	90.59767687376804	96.34790724945606	523.8728871	489.658206	557.573425	10.717060255579668	10.393646010132965	10.97457999514207
f2load	A	10	695066.3	681749.0	706421.0	89.06281794260086	87.19954805877074	92.0273959611366	93.962455912982	92.20251296275492	96.7700321164163	528.2878749	505.897883	559.413113	10.828976629417237	10.430350845824803	11.076092258398933
baseline	B	10	1041011.8	1019138.0	1065193.0	71.74501092927925	71.2843131568066	72.4288582356582	77.54262419993158	77.11404267210708	78.16058238143985	172.54399999999998	165.568424	180.875082	12.344312947091318	11.451585169515704	13.093903383702944
f2load	B	10	1043892.8	1031087.0	1057056.0	71.98829201949019	71.62027254655887	72.62382384929701	77.9773387866106	77.60801520974653	78.67455035302295	183.2498849	170.112784	209.203474	12.054382297542192	11.525975078396028	12.735925864783985
baseline	C	10	1600855.7	1511066.0	1642937.0	67.77097836841143	67.62033848420768	68.41994965649847	73.13201150990312	72.97092944643265	73.76885700306609	111.1369607	109.179261	128.266924	2.643111762149888	2.390121020838472	3.4631539446690747
f2load	C	10	1470053.3	1143040.0	1644652.0	67.72736132178106	67.58877582212969	68.36248463614893	73.32411616862653	73.08010938535705	74.00760476861392	111.4796116	109.182601	131.930708	4.620147546490736	2.4120031848980115	12.087648081963025
baseline	D	10	2669989.9	2624828.0	2703271.0	66.87993704008574	66.71812618014175	67.28758013073957	72.33569574496538	72.11469832555966	72.77661988401208	111.6080089	109.411542	130.481862	1.307022599840381	1.2423674327925516	1.4598638687322754
f2load	D	10	2657207.1	2611562.0	2731411.0	66.89221951888216	66.7381163348546	67.3325455942821	72.48720934233381	72.29998251983197	72.97079469783317	112.2231218	109.434166	136.853492	1.3759346788062023	1.208034264486875	1.5081405212154522
baseline	E	10	106575.4	105414.0	107067.0	71.7942335306644	71.52594814652642	73.13522980401895	76.38553372225805	76.06632292579535	77.69920599110618	116.0503399	109.684131	154.385393	28.12813158931106	27.419243621993733	28.807735663868524
f2load	E	10	106034.8	103732.0	107058.0	71.72159488724544	71.49556515133341	73.35061712706391	76.39457374923427	76.14853239860615	78.10529139897949	114.2492136	109.678665	155.291672	28.699110682024067	28.128540517196036	29.772740424598606
baseline	F	10	604600.2	599723.0	610443.0	86.44012937617286	84.45067513710818	87.3986665092697	92.20852750205489	90.45433777674876	93.08309407318151	491.2669511	455.880973	508.516723	14.142265603171682	13.550114342210698	14.69331059869548
f2load	F	10	598978.6	594417.0	606675.0	87.26978147323169	86.12188758185039	89.21708037347001	93.1779601174687	92.14852525758458	94.99551628331947	504.6467301	483.588041	534.078459	14.002853480256904	13.021018686130416	14.502020972432682
