kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
1KB	comp	4096	8192	0.00390625	0.0078125	1	1	6784	0.0064697265625	2	1	7.945	7.945	7.945		0.007945	0.182	0.038	0.046	0.0	0.0	0.315	7.364							
1KB	comp	8192	16384	0.0078125	0.015625	1	4	10410.75	0.009928464889526367	2	1	19.22025	16.2455	28.851300000000005	10.138382361928686	0.076881	0.4975	0.03875	0.05425	0.0	0.0	0.32425	18.305500000000002							
1KB	comp	16384	32768	0.015625	0.03125	1	1	29628	0.028255462646484375	2	1	24.957	24.957	24.957		0.024957	0.778	0.046	0.066	0.0	0.0	0.162	23.905							
1KB	comp	524288	1048576	0.5	1.0	1	1	989549	0.9437074661254883	2	1	5.095	5.095	5.095		0.005095	0.487	1.099	1.108	0.0	0.0	1.052	1.349							
1KB	comp	1048576	2097152	1.0	2.0	1	2	2007674	1.9146671295166016	2	1	17.771	17.771	24.1054	11.197742986870166	0.035542000000000004	1.7049999999999998	1.179	2.189	0.0	0.0	1.9104999999999999	10.7875							
1KB	comp	2097152	4194304	2.0	4.0	1	5	3199414.6	3.051199531555176	2	1	23.1448	16.283	36.6086	11.972999757788354	0.11572400000000002	2.317	2.1084	3.4622	0.0	0.0	3.255	12.0022							
1KB	comp	4194304	8388608	4.0	8.0	1	19	6398357.684210527	6.101949390612151	2.0526315789473686	1	27.68315789473684	25.699	38.3672	8.059229879551891	0.52598	3.6396315789473683	3.4442631578947367	6.578473684210526	0.0	0.0	4.604526315789474	9.416263157894736							
1KB	comp	8388608	16777216	8.0	16.0	1	34	13080248.705882354	12.47429724300609	2.0294117647058822	1	46.495558823529414	48.243	58.956199999999995	9.895635506231649	1.580849	5.485352941176471	8.190735294117648	13.627205882352941	0.0	0.0	8.140529411764707	11.051735294117647							
1KB	comp	16777216	33554432	16.0	32.0	1	92	24862754.532608695	23.71097043286199	2.0434782608695654	1	76.74503260869565	77.1055	94.60419999999999	13.896738421556575	7.060543	10.493260869565217	13.858815217391305	25.632739130434782	0.0	0.0	14.421358695652174	12.338858695652174							
1KB	comp	33554432	67108864	32.0	64.0	1	454	54354852.73788546	51.8368270281653	2.037444933920705	1.158590308370044	150.65714977973568	154.05700000000002	183.9723	27.246168977347924	68.39834600000003	21.21757268722467	29.51540308370044	55.593724669603525	0.0	0.0	29.844552863436125	14.485896475770925							
1KB	comp	67108864	134217728	64.0	128.0	1	8405	108330311.50386675	103.31183576952624	2.0981558596073766	2.035930993456276	343.1773243307555	347.447	401.2748	50.109621948066874	2884.405410999997	41.44025437239738	64.57673551457466	109.87401939321832	0.0	0.0	106.87106745984534	20.415247590719808							
1KB	comp	134217728	268435456	128.0	256.0	1	18083	198972708.2674888	189.7551615404976	3.1614223303655367	3.3227340596140023	549.5546752751203	534.361	712.5716000000001	113.83861315425854	9937.597192999978	74.82814621467676	120.38092960238899	201.49231056793673	0.0	0.0	125.23875264060167	27.61453624951612							
1KB	comp	268435456	536870912	256.0	512.0	1	16615	357808372.45055676	341.2326550012176	5.63767679807403	5.527655732771592	958.0919699067108	954.236	1157.5002	149.6008001085031	15918.69807999995	129.98756792055372	213.57756400842612	351.8930435148962	0.0	0.0	221.47170430334035	41.16209015949443							
1KB	comp	536870912	1073741824	512.0	1024.0	1	464	623471585.1594827	594.5888377756908	9.010775862068966	9.517241379310345	1583.010780172414	1566.0320000000002	1806.2838	164.45650649004597	734.5170020000006	217.25816379310345	382.3191034482759	587.4119030172413	0.0	0.0	330.20175	65.81985991379311							
1KB	comp	1073741824	2147483648	1024.0	2048.0	1	4	1123537919.75	1071.4892575740814	9	17	2627.6835	2639.4335	2742.2141	133.16099707371774	10.510734000000001	245.959	538.418	754.281	0.0	0.0	967.69925	121.32625							
1KB	comp	2147483648	4294967296	2048.0	4096.0	1	199	3854614286.155779	3676.0466443593778	19.326633165829147	48.97989949748744	6944.115396984925	6927.964	7218.9426	220.43122467572186	1381.8789639999998	727.029175879397	1767.6447336683418	2272.5858844221107	0.0	0.0	1837.3865025125629	339.46910050251256							
1KB	comp	4294967296	8589934592	4096.0	8192.0	1	76	4650731566.013158	4435.283247006567	21.06578947368421	52.51315789473684	8342.114105263157	8389.0635	8552.260999999999	202.94692865374623	634.0006720000002	884.3191710526315	2063.9821184210527	2778.743210526316	0.0	0.0	2214.7012105263157	400.3683947368421							
1KB	vcomp	524288	1048576	0.5	1.0	1	1	622135	0.5933141708374023	2	1	1.479062	1.479062	1.479062		0.0014790620000000002			0.024678				0.069551	0.001542	0.012461	8.6e-05	0.883527	0.002729	0.055971	0.428517
1KB	vcomp	1048576	2097152	1.0	2.0	1	2	1676170.5	1.5985207557678223	2	1	12.195498	12.195498	14.2639932	3.65661745692956	0.024390996			0.027284000000000003				2.0675615	0.002107	0.0130075	0.006778	4.035078	0.005084	3.347495	2.691103
1KB	vcomp	2097152	4194304	2.0	4.0	1	3	3029052	2.8887290954589844	2	1	6.521494	4.616151	10.710052600000001	5.037288989837986	0.019564482			0.030107333333333333				0.9220723333333334	0.002031666666666667	0.016583333333333332	0.007833333333333335	1.865099	0.0037530000000000003	1.8259383333333332	1.8480756666666667
