kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	start_level	output_level	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
1KB	comp	4096	8192	0.00390625	0.0078125	2	3	1	1	6784	0.0064697265625	2	1	7.945	7.945	7.945		0.007945	0.182	0.038	0.046	0.0	0.0	0.315	7.364							
1KB	comp	8192	16384	0.0078125	0.015625	1	2	1	2	9897	0.009438514709472656	2	1	24.555	24.555	31.980600000000003	13.12673028594707	0.04911	0.6815	0.0375	0.057499999999999996	0.0	0.0	0.279	23.4995							
1KB	comp	8192	16384	0.0078125	0.015625	2	3	1	2	10924.5	0.010418415069580078	2	1	13.8855	13.8855	16.5515	4.712866696608339	0.027771	0.3135	0.039999999999999994	0.051000000000000004	0.0	0.0	0.3695	13.1115							
1KB	comp	16384	32768	0.015625	0.03125	1	2	1	1	29628	0.028255462646484375	2	1	24.957	24.957	24.957		0.024957	0.778	0.046	0.066	0.0	0.0	0.162	23.905							
1KB	comp	524288	1048576	0.5	1.0	2	3	1	1	989549	0.9437074661254883	2	1	5.095	5.095	5.095		0.005095	0.487	1.099	1.108	0.0	0.0	1.052	1.349							
1KB	comp	1048576	2097152	1.0	2.0	1	2	1	1	1971932	1.8805809020996094	2	1	25.689	25.689	25.689		0.025689	2.514	1.565	1.984	0.0	0.0	1.825	17.801							
1KB	comp	1048576	2097152	1.0	2.0	2	3	1	1	2043416	1.9487533569335938	2	1	9.853	9.853	9.853		0.009852999999999999	0.896	0.793	2.394	0.0	0.0	1.996	3.774							
1KB	comp	2097152	4194304	2.0	4.0	2	3	1	5	3199414.6	3.051199531555176	2	1	23.1448	16.283	36.6086	11.972999757788354	0.11572400000000002	2.317	2.1084	3.4622	0.0	0.0	3.255	12.0022							
1KB	comp	4194304	8388608	4.0	8.0	1	2	1	5	5659603.4	5.397418403625489	2	1	30.0366	32.054	39.8762	10.791889375822938	0.15018299999999998	4.76	2.4878	5.5912	0.0	0.0	4.6006	12.597							
1KB	comp	4194304	8388608	4.0	8.0	2	3	1	13	6650627.846153846	6.34253296485314	2.076923076923077	1	27.31776923076923	25.404	37.2512	7.214523998549109	0.35513100000000003	3.352076923076923	3.8596153846153847	7.004615384615385	0.0	0.0	4.62576923076923	8.475692307692308							
1KB	comp	4194304	8388608	4.0	8.0	3	4	1	1	6812617	6.497017860412598	2	1	20.666	20.666	20.666		0.020666	1.776	2.827	5.975	0.0	0.0	4.348	5.74							
1KB	comp	8388608	16777216	8.0	16.0	1	2	1	3	11689382.333333334	11.147863705952963	2	1	44.35333333333333	43.764	48.760000000000005	5.385239672784614	0.13306	5.5023333333333335	6.48	12.528	0.0	0.0	8.691333333333333	11.151666666666666							
1KB	comp	8388608	16777216	8.0	16.0	2	3	1	30	13155318.333333334	12.545889218648275	2.033333333333333	1	46.63836666666667	48.243	59.503	10.429579931645124	1.399151	5.502233333333334	8.395033333333334	13.784666666666666	0.0	0.0	8.0295	10.926933333333332							
1KB	comp	8388608	16777216	8.0	16.0	3	4	1	1	15000759	14.305838584899902	2	1	48.638	48.638	48.638		0.048638	4.928	7.194	12.201	0.0	0.0	9.819	14.496							
1KB	comp	16777216	33554432	16.0	32.0	1	2	1	18	23656025.555555556	22.560144000583225	2.0555555555555554	1	73.44444444444444	69.3015	96.18900000000001	14.646154533336695	1.322	10.77538888888889	12.409055555555556	23.6135	0.0	0.0	14.968277777777777	11.678222222222223							
1KB	comp	16777216	33554432	16.0	32.0	2	3	1	63	25093672.365079366	23.93119083888947	2.0476190476190474	1	77.99777777777778	78.979	94.0884	13.523135977261273	4.913859999999999	10.559142857142858	14.159349206349207	26.305380952380954	0.0	0.0	14.354190476190476	12.619714285714286							
1KB	comp	16777216	33554432	16.0	32.0	3	4	1	11	25514872.545454547	24.33287863297896	2	1	74.97118181818182	69.453	94.609	15.031159162341282	0.824683	9.654272727272726	14.50990909090909	25.084545454545456	0.0	0.0	13.911090909090909	11.811363636363636							
1KB	comp	33554432	67108864	32.0	64.0	1	2	1	148	55495431.027027026	52.924567248370195	2.0472972972972974	1.2702702702702702	154.25597972972972	157.775	183.9687	25.576302460093768	22.829885000000004	21.56664189189189	30.18685135135135	55.649702702702704	0.0	0.0	32.035202702702705	14.817581081081082							
1KB	comp	33554432	67108864	32.0	64.0	2	3	1	197	52677843.7106599	50.237506590518855	2.0406091370558377	1.1472081218274113	148.4962081218274	150.146	185.4358	28.707709318911487	29.25375300000002	21.09177157360406	29.568908629441623	55.378319796954315	0.0	0.0	28.802324873096445	13.654883248730965							
1KB	comp	33554432	67108864	32.0	64.0	3	4	1	106	55601837.47169811	53.02604434175311	2.018867924528302	1.028301886792453	149.94929245283018	151.357	183.2985	26.679900285373375	15.894624999999994	21.024943396226416	28.64588679245283	56.077292452830186	0.0	0.0	28.734103773584906	15.467066037735849							
1KB	comp	33554432	67108864	32.0	64.0	4	5	1	3	64149789.333333336	61.17800649007162	2	1	140.02766666666668	147.787	151.5806	17.70572227652217	0.420083	19.064	23.6	49.891	0.0	0.0	29.448	18.024666666666665							
1KB	comp	67108864	134217728	64.0	128.0	1	2	1	4257	112438990.65092789	107.23017754643239	2.050739957716702	2.1256753582334977	355.9708449612403	355.65	413.839	46.93364482964459	1515.3678869999962	42.80010711768851	68.1213406154569	111.98180197322058	0.0	0.0	110.21955085741132	22.848044397463003							
1KB	comp	67108864	134217728	64.0	128.0	2	3	1	2497	104684375.5835002	99.83480032300969	2.1369643572286745	2.00200240288346	341.1460116139367	346.128	393.875	47.313246088385625	851.8415910000018	41.46417581097317	64.46631918301962	110.53037925510613	0.0	0.0	106.14271726071286	18.54242010412495							
1KB	comp	67108864	134217728	64.0	128.0	3	4	1	1508	103018208.72480106	98.24581978302103	2.173076923076923	1.8507957559681698	315.3259270557029	315.27099999999996	375.824	48.20412544936797	475.5114980000001	38.077850132626	56.638685676392576	104.48766976127321	0.0	0.0	99.78523673740052	16.33648474801061							
1KB	comp	67108864	134217728	64.0	128.0	4	5	1	143	105700282.51748252	100.80364467380764	2.041958041958042	1.9090909090909092	291.49954545454545	292.198	353.4262	51.69042750698928	41.684434999999965	35.99886013986014	44.69495104895105	92.46740559440559	0.0	0.0	94.63071328671329	23.707615384615384							
1KB	comp	134217728	268435456	128.0	256.0	0	1	1	1	267217714	254.83867073059082	5	4	596.639	596.639	596.639		0.596639	50.328	128.184	130.871	0.0	0.0	251.789	35.467							
1KB	comp	134217728	268435456	128.0	256.0	1	2	1	3961	182399058.68821004	173.94929760762219	2.446099469830851	3.304216107043676	489.74542186316586	464.961	655.591	101.30168782151357	1939.8816159999983	67.48680509972229	114.58148548346377	177.6095326937642	0.0	0.0	102.34872380711941	27.718874779096186							
