kv_size	system	kind	start_level	output_level	status	n_jobs	used_in_primary_plot
1KB	comp	compaction	0	0	ok	3616	False
1KB	comp	compaction	0	1	ok	432	True
1KB	comp	compaction	1	2	ok	9190	True
1KB	comp	compaction	2	3	ok	17604	True
1KB	comp	compaction	3	4	ok	15565	True
1KB	comp	compaction	4	5	ok	1668	True
1KB	vcomp	virtual_compaction	0	1	0	671	True
1KB	vcomp	virtual_compaction	1	2	0	11749	True
1KB	vcomp	virtual_compaction	2	3	0	17942	True
1KB	vcomp	virtual_compaction	3	4	0	15962	True
1KB	vcomp	virtual_compaction	4	5	0	1845	True
1KB	vcomp	virtual_trivial_move	1	2	0	2077	False
1KB	vcomp	virtual_trivial_move	2	3	0	400	False
1KB	vcomp	virtual_trivial_move	3	4	0	479	False
1KB	vcomp	virtual_trivial_move	4	5	0	1727	False
91B	comp	compaction	0	0	ok	4662	False
91B	comp	compaction	0	1	ok	732	True
91B	comp	compaction	1	2	ok	11611	True
91B	comp	compaction	2	3	ok	19214	True
91B	comp	compaction	3	4	ok	16770	True
91B	comp	compaction	4	5	ok	2303	True
91B	vcomp	virtual_compaction	0	1	0	707	True
91B	vcomp	virtual_compaction	1	2	0	12094	True
91B	vcomp	virtual_compaction	2	3	0	19206	True
91B	vcomp	virtual_compaction	3	4	0	17206	True
91B	vcomp	virtual_compaction	4	5	0	2713	True
91B	vcomp	virtual_trivial_move	1	2	0	2055	False
91B	vcomp	virtual_trivial_move	2	3	0	469	False
91B	vcomp	virtual_trivial_move	3	4	0	524	False
91B	vcomp	virtual_trivial_move	4	5	0	1739	False
