campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
big4_20260916_ycsbc_base	E1-10KB_baseline__workloadc	workloadc	zipfian	baseline	E1-10KB	1040752	46.120	5.106	1594400345	60.29	312243914	188255786	1394220691	200179654	188255786	146238	1594254107	103.19	169.86	406.58	87898729	0.00	300.0		300.0	313.4		hardlink	False	50	1048576000	130732	/work/vcomp/exp/eval_20260909_night1/E1-10KB_baseline	2026-09-16T06:53:20.302816+00:00
big4_20260916_ycsbc_base	E2-8T_baseline__workloadc	workloadc	zipfian	baseline	E2-8T	1210235	39.659	4.473	1624084713	65.43	363120944	237589259	1375630091	248454622	237589259	106805	1623977908	76.13	166.87	197.72	103593177	0.00	300.0		300.0	311.0		hardlink	False	50	8388608000	102295	/work/vcomp/exp/eval_20260909_night1/E2-8T_baseline	2026-09-16T06:58:37.299268+00:00
big4_20260916_ycsbc_nobitmap	E1-10KB_f2load__workloadc	workloadc	zipfian	f2load	E1-10KB	1174231	40.877	4.504	1586549349	63.81	352292354	224808330	1349821725	236727624	224808330	137115	1586412234	88.66	161.07	247.94	99040978	0.00	300.0		300.0	305.8		hardlink	False	50	1048576000	130232	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E1-10KB_f2load	2026-09-16T07:03:51.223123+00:00
big4_20260916_ycsbc_nobitmap	E2-8T_f2load__workloadc	workloadc	zipfian	f2load	E2-8T	1177148	40.774	5.097	1800194449	63.78	353192857	225259055	1561283159	238911290	225259055	109788	1800084661	69.04	109.37	159.84	101341517	0.00	300.0		300.0	305.8		hardlink	False	50	8388608000	104674	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E2-8T_f2load	2026-09-16T07:09:02.982335+00:00
deepfirst_20260916_ycsbc	u100-deep_f2load__workloadc	workloadc	zipfian	f2load	u100-deep	1011258	47.462	3.988	1210185523	99.40	303424042	301616642	901499812	308685711	301616642	17810	1210167713	71.75	116.43	243.76	113911833	0.00	300.0		300.0	305.0		hardlink	False	50	1048576000	17754	/work/vcomp/exp/deepfirst_20260915/u100-deep_f2load	2026-09-15T16:43:48.837260+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloada	workloada		f2load	E1-100B	1258969	38.125	3.870	730969162	87.99	188861280	166172573	639808349	91160813	84921334	4987	730967572	65.71	157.62	530.49	41902690	115.35				304.0				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:33:33.651644+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloadb	workloadb		f2load	E1-100B	1444387	33.230	2.482	1021819216	84.19	411698283	346621858	836205336	185613880	177461711	2018	1021817618	31.05	94.47	163.67	44231656	14.35				304.6				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:38:38.290505+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloadc	workloadc		f2load	E1-100B	2572120	18.661	2.422	1869435059	67.38	771725971	519959105	1339275018	530160041	519959105	1611	1869433448	69.74	122.13	391.48	71225143	0.00				304.3				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:43:42.649288+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloadd	workloadd		f2load	E1-100B	5530922	8.678	0.668	1053647827	93.41	1576481137	1472664444	505107036	548540791	543608017	1765	1053646253	37.02	108.59	148.69	51370389	1.12				304.4				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:48:47.082151+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloade	workloade		f2load	E1-100B	483443	99.283						0	0	0	44	0	69.89	109.80	294.46	82325115	1.12				304.2				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:53:51.305782+00:00
eval_20260912_f2ycsb	E1-100B_f2load__workloadf	workloadf		f2load	E1-100B	930645	51.575	3.686	1029178082	87.42	279219498	244086538	895308418	133869664	125134697	3995	1029176477	60.02	153.68	547.19	49808890	83.93				304.4				50	1048576000	1399	/work/vcomp/exp/eval_20260909_night1/E1-100B_f2load	2026-09-12T09:58:55.771363+00:00
