Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0             4.71    832.88     0.00   0.00    0.77   176.67    6.97    655.74     0.00   0.00    0.89    94.07    0.01    340.03     0.00   0.00    0.32 23003.63    0.01   0.26
loop0            0.01      0.01     0.00   0.00    0.04     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.01      0.01     0.00   0.00    0.05     1.05    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.01      0.01     0.00   0.00    0.09     1.01    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.01      0.01     0.00   0.00    0.05     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.01      0.01     0.00   0.00    0.04     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.01      0.01     0.00   0.00    0.05     1.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.07     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.04    17.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           6791.52 449520.08     0.00   0.00    0.00    66.19  671.21 286633.00     0.00   0.00    0.00   427.04    1.02  38197.78     0.00   0.00    0.00 37490.83    0.00   0.00
nvme0n1          4.50    832.94     0.58  11.36    1.44   185.11    4.16    655.74     3.35  44.61    2.11   157.65    0.01    341.42     0.00   0.00    0.32 23086.99    0.01   0.26
nvme10n1       214.61  12731.12     4.29   1.96    0.11    59.32   20.33   8834.33     0.95   4.47    0.44   434.58    0.52   1231.96     0.00   0.00    0.25  2389.45    0.00   6.08
nvme11n1       214.09  12685.23     4.31   1.97    0.11    59.25   20.40   8834.20     0.94   4.41    0.44   433.14    0.52   1232.05     0.00   0.00    0.25  2389.82    0.00   6.07
nvme12n1       214.77  12637.26     4.28   1.96    0.12    58.84   20.38   8834.56     0.94   4.41    0.44   433.58    0.52   1232.08     0.00   0.00    0.25  2390.26    0.00   6.06
nvme13n1       214.90  12711.31     4.29   1.96    0.11    59.15   20.35   8834.75     0.95   4.44    0.44   434.09    0.52   1232.02     0.00   0.00    0.25  2390.47    0.00   6.07
nvme14n1       215.59  12752.46     4.30   1.95    0.11    59.15   20.31   8833.64     0.94   4.43    0.44   434.92    0.52   1231.95     0.00   0.00    0.25  2390.46    0.00   6.08
nvme15n1       215.54  12676.35     4.26   1.94    0.11    58.81   20.38   8833.75     0.95   4.47    0.44   433.52    0.52   1232.00     0.00   0.00    0.25  2390.16    0.00   6.08
nvme16n1       214.89  12673.52     4.30   1.96    0.12    58.98   20.41   8832.91     0.96   4.48    0.44   432.71    0.52   1232.04     0.00   0.00    0.26  2390.17    0.00   6.08
nvme17n1       214.74  12658.09     4.28   1.95    0.11    58.95   20.49   8833.38     0.97   4.51    0.44   431.09    0.52   1232.12     0.00   0.00    0.26  2390.26    0.00   6.07
nvme18n1       215.26  12683.69     4.29   1.95    0.11    58.92   20.55   8833.65     0.98   4.56    0.43   429.83    0.52   1232.26     0.00   0.00    0.25  2389.90    0.00   6.08
nvme19n1       215.17  12648.37     4.30   1.96    0.11    58.78   20.41   8833.70     0.97   4.54    0.44   432.87    0.52   1232.32     0.00   0.00    0.25  2389.68    0.00   6.07
nvme1n1        215.14  12680.86     4.29   1.96    0.11    58.94   20.60   8835.55     0.99   4.58    0.44   428.84    0.52   1232.23     0.00   0.00    0.26  2388.82    0.00   6.08
nvme20n1       214.92  12667.26     4.27   1.95    0.11    58.94   20.55   8834.80     0.98   4.54    0.44   429.83    0.52   1232.36     0.00   0.00    0.25  2389.44    0.00   6.10
nvme21n1       214.98  12666.52     4.26   1.94    0.11    58.92   20.55   8833.98     0.97   4.50    0.43   429.96    0.52   1232.38     0.00   0.00    0.25  2389.20    0.00   6.07
nvme22n1       215.02  12727.73     4.25   1.94    0.11    59.19   20.50   8833.97     0.98   4.56    0.44   430.99    0.52   1232.35     0.00   0.00    0.25  2389.34    0.00   6.09
nvme23n1       214.96  12778.33     4.33   1.97    0.11    59.44   20.41   8834.00     0.95   4.45    0.44   432.90    0.52   1232.26     0.00   0.00    0.25  2389.50    0.00   6.06
