Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0             4.72    832.87     0.00   0.00    0.77   176.64    6.97    655.71     0.00   0.00    0.89    94.07    0.01    340.01     0.00   0.00    0.32 23003.63    0.01   0.26
loop0            0.01      0.01     0.00   0.00    0.04     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.01      0.01     0.00   0.00    0.05     1.05    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.01      0.01     0.00   0.00    0.09     1.01    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.01      0.01     0.00   0.00    0.05     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.01      0.01     0.00   0.00    0.04     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.01      0.01     0.00   0.00    0.05     1.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.07     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.04    17.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           6793.62 449562.58     0.00   0.00    0.00    66.17  671.26 286661.18     0.00   0.00    0.00   427.05    1.02  38195.81     0.00   0.00    0.00 37490.83    0.00   0.00
nvme0n1          4.50    832.92     0.58  11.36    1.44   185.10    4.16    655.71     3.35  44.61    2.11   157.64    0.01    341.40     0.00   0.00    0.32 23086.99    0.01   0.26
nvme10n1       214.68  12732.40     4.29   1.96    0.11    59.31   20.33   8835.23     0.95   4.47    0.44   434.58    0.52   1231.89     0.00   0.00    0.25  2389.45    0.00   6.08
nvme11n1       214.15  12686.52     4.31   1.97    0.11    59.24   20.40   8835.10     0.94   4.41    0.44   433.15    0.52   1231.98     0.00   0.00    0.25  2389.82    0.00   6.07
nvme12n1       214.84  12638.54     4.28   1.96    0.12    58.83   20.38   8835.45     0.94   4.41    0.44   433.59    0.52   1232.02     0.00   0.00    0.25  2390.26    0.00   6.06
nvme13n1       214.97  12712.59     4.29   1.96    0.11    59.14   20.35   8835.63     0.95   4.44    0.44   434.10    0.52   1231.96     0.00   0.00    0.25  2390.47    0.00   6.07
nvme14n1       215.66  12753.73     4.30   1.95    0.11    59.14   20.31   8834.52     0.94   4.43    0.44   434.93    0.52   1231.88     0.00   0.00    0.25  2390.46    0.00   6.08
nvme15n1       215.61  12677.63     4.26   1.94    0.11    58.80   20.38   8834.64     0.95   4.47    0.44   433.53    0.52   1231.94     0.00   0.00    0.25  2390.16    0.00   6.08
nvme16n1       214.95  12674.80     4.30   1.96    0.12    58.97   20.41   8833.80     0.96   4.48    0.44   432.72    0.52   1231.98     0.00   0.00    0.26  2390.17    0.00   6.08
nvme17n1       214.81  12659.37     4.28   1.95    0.11    58.93   20.49   8834.27     0.97   4.51    0.44   431.10    0.52   1232.06     0.00   0.00    0.26  2390.26    0.00   6.07
nvme18n1       215.33  12684.97     4.29   1.95    0.11    58.91   20.55   8834.55     0.98   4.56    0.43   429.84    0.52   1232.20     0.00   0.00    0.25  2389.90    0.00   6.08
