Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0             4.71    832.72     0.00   0.00    0.77   176.62    6.97    655.58     0.00   0.00    0.89    94.06    0.01    339.94     0.00   0.00    0.32 23003.63    0.01   0.26
loop0            0.01      0.01     0.00   0.00    0.04     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.01      0.01     0.00   0.00    0.05     1.05    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.01      0.01     0.00   0.00    0.09     1.01    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.01      0.01     0.00   0.00    0.05     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.01      0.01     0.00   0.00    0.04     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.01      0.01     0.00   0.00    0.05     1.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.07     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.04    17.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           6795.23 449519.76     0.00   0.00    0.00    66.15  671.19 286627.68     0.00   0.00    0.00   427.05    1.02  38187.91     0.00   0.00    0.00 37490.83    0.00   0.00
nvme0n1          4.50    832.78     0.58  11.36    1.44   185.09    4.16    655.58     3.35  44.61    2.11   157.62    0.01    341.33     0.00   0.00    0.32 23086.99    0.01   0.26
nvme10n1       214.73  12731.28     4.29   1.96    0.11    59.29   20.33   8834.19     0.95   4.47    0.44   434.58    0.52   1231.64     0.00   0.00    0.25  2389.45    0.00   6.08
nvme11n1       214.21  12685.40     4.31   1.97    0.11    59.22   20.40   8834.06     0.94   4.41    0.44   433.15    0.52   1231.73     0.00   0.00    0.25  2389.82    0.00   6.07
nvme12n1       214.89  12637.44     4.28   1.95    0.12    58.81   20.38   8834.41     0.94   4.41    0.44   433.59    0.52   1231.76     0.00   0.00    0.25  2390.26    0.00   6.06
nvme13n1       215.02  12711.47     4.29   1.95    0.11    59.12   20.35   8834.60     0.95   4.44    0.44   434.10    0.52   1231.71     0.00   0.00    0.25  2390.47    0.00   6.07
nvme14n1       215.71  12752.61     4.30   1.95    0.11    59.12   20.31   8833.49     0.94   4.43    0.44   434.93    0.52   1231.63     0.00   0.00    0.25  2390.46    0.00   6.08
nvme15n1       215.66  12676.52     4.26   1.94    0.11    58.78   20.38   8833.61     0.95   4.47    0.44   433.53    0.52   1231.68     0.00   0.00    0.25  2390.16    0.00   6.08
nvme16n1       215.01  12673.70     4.30   1.96    0.12    58.95   20.41   8832.77     0.96   4.48    0.44   432.72    0.52   1231.72     0.00   0.00    0.26  2390.17    0.00   6.08
nvme17n1       214.86  12658.27     4.28   1.95    0.11    58.91   20.49   8833.24     0.97   4.51    0.44   431.10    0.52   1231.80     0.00   0.00    0.26  2390.26    0.00   6.07
nvme18n1       215.38  12683.87     4.29   1.95    0.11    58.89   20.55   8833.52     0.98   4.56    0.43   429.84    0.52   1231.94     0.00   0.00    0.25  2389.90    0.00   6.08
nvme19n1       215.29  12648.57     4.30   1.96    0.11    58.75   20.41   8833.58     0.97   4.54    0.44   432.88    0.52   1232.00     0.00   0.00    0.25  2389.68    0.00   6.07
nvme1n1        215.26  12681.02     4.29   1.95    0.11    58.91   20.60   8835.41     0.99   4.58    0.44   428.85    0.52   1231.92     0.00   0.00    0.26  2388.82    0.00   6.08
nvme20n1       215.04  12667.45     4.27   1.95    0.11    58.91   20.55   8834.67     0.98   4.54    0.44   429.84    0.52   1232.04     0.00   0.00    0.25  2389.44    0.00   6.10
nvme21n1       215.10  12666.72     4.26   1.94    0.11    58.89   20.55   8833.86     0.97   4.50    0.43   429.97    0.52   1232.06     0.00   0.00    0.25  2389.20    0.00   6.07
nvme22n1       215.14  12727.90     4.25   1.94    0.11    59.16   20.50   8833.84     0.98   4.55    0.44   431.00    0.52   1232.03     0.00   0.00    0.25  2389.34    0.00   6.09
nvme23n1       215.08  12778.50     4.33   1.97    0.11    59.41   20.41   8833.88     0.95   4.45    0.44   432.91    0.52   1231.95     0.00   0.00    0.25  2389.50    0.00   6.06
nvme24n1       214.65  12732.38     4.27   1.95    0.11    59.32   20.45   8834.52     0.94   4.39    0.44   431.92    0.52   1232.00     0.00   0.00    0.25  2389.55    0.00   6.08
nvme25n1       214.72  12748.74     4.30   1.96    0.11    59.37   20.44   8835.13     0.93   4.34    0.44   432.28    0.52   1231.97     0.00   0.00    0.25  2389.62    0.00   6.07
nvme26n1       214.68  12644.13     4.28   1.95    0.11    58.90   20.46   8835.48     0.93   4.36    0.44   431.85    0.52   1232.09     0.00   0.00    0.25  2388.83    0.00   6.07
nvme27n1       214.89  12643.23     4.31   1.97    0.11    58.84   20.51   8835.78     0.95   4.44    0.44   430.83    0.52   1232.07     0.00   0.00    0.25  2389.53    0.00   6.08
nvme28n1       214.48  12581.26     4.27   1.95    0.11    58.66   20.39   8834.71     0.94   4.43    0.44   433.37    0.52   1231.98     0.00   0.00    0.25  2389.53    0.00   6.06
nvme29n1       215.38  12669.12     4.25   1.94    0.11    58.82   20.40   8835.14     0.95   4.44    0.44   433.10    0.52   1232.15     0.00   0.00    0.25  2389.48    0.00   6.06
nvme2n1        214.28  12647.09     4.26   1.95    0.11    59.02   20.78   8835.25     1.01   4.63    0.43   425.24    0.52   1231.93     0.00   0.00    0.26  2388.81    0.00   6.08
nvme30n1       216.20  12666.18     4.27   1.94    0.11    58.59   20.39   8834.64     0.94   4.39    0.44   433.21    0.52   1232.06     0.00   0.00    0.25  2389.37    0.00   6.07
nvme31n1       215.47  12627.86     4.27   1.94    0.11    58.61   20.38   8834.40     0.95   4.43    0.44   433.41    0.52   1231.93     0.00   0.00    0.25  2389.57    0.00   6.06
nvme3n1        214.96  12648.86     4.25   1.94    0.11    58.84   20.74   8834.44     0.99   4.56    0.43   426.04    0.52   1231.82     0.00   0.00    0.26  2389.25    0.00   6.07
nvme4n1        214.44  12624.43     4.29   1.96    0.11    58.87   20.66   8834.18     0.98   4.53    0.43   427.53    0.52   1231.74     0.00   0.00    0.26  2389.68    0.00   6.07
nvme5n1        214.99  12667.70     4.28   1.95    0.11    58.92   20.50   8834.02     0.96   4.49    0.44   431.02    0.52   1231.66     0.00   0.00    0.26  2389.51    0.00   6.08
nvme6n1        213.80  12543.11     4.27   1.96    0.11    58.67   20.59   8835.31     0.99   4.58    0.43   429.05    0.52   1231.68     0.00   0.00    0.26  2389.78    0.00   6.06
nvme7n1        214.03  12618.71     4.26   1.95    0.11    58.96   20.47   8834.72     0.97   4.50    0.44   431.55    0.52   1231.70     0.00   0.00    0.25  2389.46    0.00   6.07
nvme8n1        214.56  12647.75     4.29   1.96    0.11    58.95   20.54   8834.53     0.96   4.47    0.44   430.17    0.52   1231.79     0.00   0.00    0.25  2389.39    0.00   6.07
nvme9n1        214.62  12636.10     4.26   1.95    0.11    58.88   20.44   8835.31     0.96   4.47    0.44   432.18    0.52   1231.74     0.00   0.00    0.25  2389.64    0.00   6.08


Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0           377.80   5836.80     0.00   0.00    0.23    15.45    4.60     18.40     0.00   0.00    0.00     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.09   5.44
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           9041.60 2287529.60     0.00   0.00    0.00   253.00 4552.60 1576092.00     0.00   0.00    0.00   346.20    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1        196.60   5904.80   183.60  48.29    0.09    30.03    0.40     18.40     4.20  91.30    0.00    46.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   5.44
nvme10n1       214.40  66034.40    83.60  28.05    0.21   308.00  133.80  47297.60     5.40   3.88    0.27   353.49    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.12
nvme11n1       221.00  64884.00    82.00  27.06    0.21   293.59  135.80  48494.40     5.40   3.82    0.28   357.10    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.80
nvme12n1       226.40  68328.00    76.40  25.23    0.22   301.80  136.60  48684.00     5.60   3.94    0.30   356.40    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.52
nvme13n1       261.00  67913.60    44.00  14.43    0.20   260.21  137.80  48260.00     5.40   3.77    0.31   350.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00  42.24
nvme14n1       219.60  68498.40    40.80  15.67    0.22   311.92  137.80  48463.20     5.20   3.64    0.28   351.69    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.40
nvme15n1       217.40  67204.00    45.40  17.28    0.22   309.13  139.00  47992.80     5.40   3.74    0.29   345.27    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.48
nvme16n1       218.40  68819.20    39.00  15.15    0.23   315.11  138.20  47907.20     5.40   3.76    0.30   346.65    0.00      0.00     0.00   0.00    0.00     0.00    0.00  41.20
nvme17n1       211.40  66065.60    45.00  17.55    0.23   312.51  138.60  47986.40     5.20   3.62    0.28   346.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00  41.84
nvme18n1       209.20  65715.20    41.20  16.45    0.23   314.13  137.40  47925.60     5.20   3.65    0.31   348.80    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.48
nvme19n1       208.20  64518.40    41.60  16.65    0.22   309.89  135.80  47547.20     5.40   3.82    0.29   350.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.32
nvme1n1        266.80  67672.80    39.80  12.98    0.19   253.65  133.20  46659.20     5.00   3.62    0.30   350.29    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.84
nvme20n1       228.80  66592.80    37.20  13.98    0.22   291.05  136.20  47623.20     5.60   3.95    0.31   349.66    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.68
nvme21n1       311.00  68167.20    40.60  11.55    0.18   219.19  137.20  47828.00     5.60   3.92    0.28   348.60    0.00      0.00     0.00   0.00    0.00     0.00    0.00  41.12
nvme22n1       275.40  68088.80    38.80  12.35    0.19   247.24  137.60  47767.20     5.20   3.64    0.28   347.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.64
nvme23n1       214.80  67395.20    41.40  16.16    0.23   313.76  135.40  47448.80     5.20   3.70    0.29   350.43    0.00      0.00     0.00   0.00    0.00     0.00    0.00  40.16
nvme24n1       213.40  66418.40    38.80  15.38    0.22   311.24  136.00  47493.60     5.20   3.68    0.28   349.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.36
nvme25n1       214.80  65170.40    39.20  15.43    0.22   303.40  134.20  46825.60     5.60   4.01    0.28   348.92    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.20
nvme26n1       247.60  66550.40    40.00  13.91    0.20   268.78  133.80  46273.60     5.40   3.88    0.28   345.84    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.92
nvme27n1       267.60  68127.20    40.80  13.23    0.20   254.59  134.80  46835.20     5.60   3.99    0.16   347.44    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.52
nvme28n1       266.60  67987.20    40.00  13.05    0.20   255.02  135.80  46700.00     5.60   3.96    0.29   343.89    0.00      0.00     0.00   0.00    0.00     0.00    0.00  41.12
nvme29n1       260.00  66572.00    39.60  13.22    0.19   256.05  133.60  45819.20     5.40   3.88    0.28   342.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00  38.64
nvme2n1        251.40  64647.20    41.40  14.14    0.19   257.15  131.60  46299.20     5.20   3.80    0.31   351.82    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.52
nvme30n1       257.80  66752.80    36.80  12.49    0.20   258.93  131.40  46247.20     5.20   3.81    0.27   351.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00  38.08
nvme31n1       259.60  65394.40    40.80  13.58    0.20   251.90  137.60  47795.20     5.00   3.51    0.28   347.35    0.00      0.00     0.00   0.00    0.00     0.00    0.00  39.28
