Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0             4.72    832.73     0.00   0.00    0.77   176.61    6.97    655.57     0.00   0.00    0.89    94.06    0.01    339.93     0.00   0.00    0.32 23003.63    0.01   0.26
loop0            0.01      0.01     0.00   0.00    0.04     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.01      0.01     0.00   0.00    0.05     1.05    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.01      0.01     0.00   0.00    0.09     1.01    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.01      0.01     0.00   0.00    0.05     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.01      0.01     0.00   0.00    0.04     1.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.01      0.01     0.00   0.00    0.05     1.03    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.07     1.06    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.04    17.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           6795.25 449559.76     0.00   0.00    0.00    66.16  671.24 286666.13     0.00   0.00    0.00   427.07    1.02  38187.40     0.00   0.00    0.00 37490.83    0.00   0.00
nvme0n1          4.50    832.79     0.58  11.37    1.43   185.08    4.16    655.57     3.35  44.61    2.11   157.62    0.01    341.32     0.00   0.00    0.32 23086.99    0.01   0.26
nvme10n1       214.73  12732.41     4.29   1.96    0.11    59.29   20.33   8835.39     0.95   4.47    0.44   434.60    0.52   1231.62     0.00   0.00    0.25  2389.45    0.00   6.08
nvme11n1       214.21  12686.53     4.31   1.97    0.11    59.23   20.40   8835.26     0.94   4.41    0.44   433.17    0.52   1231.71     0.00   0.00    0.25  2389.82    0.00   6.08
nvme12n1       214.89  12638.57     4.29   1.96    0.12    58.81   20.38   8835.61     0.94   4.41    0.44   433.61    0.52   1231.75     0.00   0.00    0.25  2390.26    0.00   6.06
nvme13n1       215.02  12712.60     4.29   1.96    0.11    59.12   20.35   8835.80     0.95   4.44    0.44   434.12    0.52   1231.69     0.00   0.00    0.25  2390.47    0.00   6.07
nvme14n1       215.71  12753.74     4.30   1.95    0.11    59.12   20.31   8834.69     0.94   4.43    0.44   434.95    0.52   1231.61     0.00   0.00    0.25  2390.46    0.00   6.08
nvme15n1       215.66  12677.65     4.26   1.94    0.11    58.78   20.38   8834.81     0.95   4.47    0.44   433.55    0.52   1231.66     0.00   0.00    0.25  2390.16    0.00   6.08
nvme16n1       215.01  12674.83     4.30   1.96    0.12    58.95   20.41   8833.97     0.96   4.48    0.44   432.74    0.52   1231.70     0.00   0.00    0.26  2390.17    0.00   6.08
nvme17n1       214.86  12659.40     4.28   1.95    0.11    58.92   20.49   8834.44     0.97   4.51    0.44   431.12    0.52   1231.79     0.00   0.00    0.26  2390.26    0.00   6.07
nvme18n1       215.38  12685.00     4.29   1.95    0.11    58.90   20.55   8834.72     0.98   4.56    0.43   429.86    0.52   1231.93     0.00   0.00    0.25  2389.90    0.00   6.08
nvme19n1       215.29  12649.70     4.30   1.96    0.11    58.76   20.41   8834.78     0.97   4.54    0.44   432.90    0.52   1231.99     0.00   0.00    0.25  2389.68    0.00   6.07
nvme1n1        215.26  12682.16     4.29   1.95    0.11    58.91   20.60   8836.60     0.99   4.58    0.44   428.87    0.52   1231.90     0.00   0.00    0.26  2388.82    0.00   6.08
nvme20n1       215.04  12668.59     4.27   1.95    0.11    58.91   20.55   8835.88     0.98   4.54    0.44   429.87    0.52   1232.02     0.00   0.00    0.25  2389.44    0.00   6.10
nvme21n1       215.10  12667.86     4.26   1.94    0.11    58.89   20.55   8835.06     0.97   4.50    0.43   429.99    0.52   1232.04     0.00   0.00    0.25  2389.20    0.00   6.07
nvme22n1       215.14  12729.03     4.25   1.94    0.11    59.17   20.50   8835.04     0.98   4.55    0.44   431.02    0.52   1232.01     0.00   0.00    0.25  2389.34    0.00   6.09
nvme23n1       215.08  12779.63     4.33   1.97    0.11    59.42   20.41   8835.08     0.95   4.45    0.44   432.94    0.52   1231.93     0.00   0.00    0.25  2389.50    0.00   6.06
nvme24n1       214.65  12733.51     4.27   1.95    0.11    59.32   20.46   8835.71     0.94   4.39    0.44   431.94    0.52   1231.98     0.00   0.00    0.25  2389.55    0.00   6.08
nvme25n1       214.72  12749.87     4.30   1.96    0.11    59.38   20.44   8836.32     0.93   4.34    0.44   432.30    0.52   1231.95     0.00   0.00    0.25  2389.62    0.00   6.08
nvme26n1       214.68  12645.26     4.28   1.95    0.11    58.90   20.46   8836.67     0.93   4.36    0.44   431.87    0.52   1232.07     0.00   0.00    0.25  2388.83    0.00   6.07
nvme27n1       214.89  12644.37     4.32   1.97    0.11    58.84   20.51   8836.98     0.95   4.44    0.44   430.85    0.52   1232.06     0.00   0.00    0.25  2389.53    0.00   6.08
nvme28n1       214.48  12582.39     4.27   1.95    0.11    58.67   20.39   8835.91     0.94   4.43    0.44   433.40    0.52   1231.96     0.00   0.00    0.25  2389.53    0.00   6.06
nvme29n1       215.38  12670.25     4.25   1.94    0.11    58.83   20.40   8836.34     0.95   4.44    0.44   433.12    0.52   1232.13     0.00   0.00    0.25  2389.48    0.00   6.06
nvme2n1        214.28  12648.22     4.26   1.95    0.11    59.03   20.78   8836.45     1.01   4.63    0.43   425.26    0.52   1231.91     0.00   0.00    0.26  2388.81    0.00   6.08
nvme30n1       216.20  12667.31     4.27   1.94    0.11    58.59   20.40   8835.83     0.94   4.39    0.44   433.23    0.52   1232.05     0.00   0.00    0.25  2389.37    0.00   6.07
nvme31n1       215.47  12628.99     4.27   1.94    0.11    58.61   20.39   8835.60     0.95   4.43    0.44   433.43    0.52   1231.91     0.00   0.00    0.25  2389.57    0.00   6.07
nvme3n1        214.96  12650.00     4.25   1.94    0.11    58.85   20.74   8835.64     0.99   4.56    0.43   426.06    0.52   1231.81     0.00   0.00    0.26  2389.25    0.00   6.07
nvme4n1        214.44  12625.57     4.30   1.96    0.11    58.88   20.67   8835.38     0.98   4.53    0.43   427.55    0.52   1231.73     0.00   0.00    0.26  2389.68    0.00   6.07
nvme5n1        214.99  12668.84     4.28   1.95    0.11    58.93   20.50   8835.22     0.96   4.49    0.44   431.04    0.52   1231.64     0.00   0.00    0.26  2389.51    0.00   6.08
nvme6n1        213.80  12544.25     4.27   1.96    0.11    58.67   20.59   8836.51     0.99   4.58    0.43   429.06    0.52   1231.66     0.00   0.00    0.26  2389.78    0.00   6.06
nvme7n1        214.03  12619.84     4.26   1.95    0.11    58.96   20.47   8835.92     0.97   4.50    0.44   431.56    0.52   1231.68     0.00   0.00    0.25  2389.46    0.00   6.07
