phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	fillseq	workloadc	ok	3	48	3.039	4.427577018737793	2563828	843754.0	56.41	2563828	2563828	0	13778288	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/pilot/workloadc/fillseq
pilot	flush_only	workloadc	ok	3	48	3.056	14.918651342391968	4736	1549.0	30679.693	2885	4736	0	42082120	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/pilot/workloadc/flush_only
pilot	fillseq	workloada	ok	5	48	5.028	6.58430290222168	5337173	1061440.0	45.073	2667881	2667881	2669292	15402760	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/pilot/workloada/fillseq
full	flush_only	workloada	timeout	300	48		903.6977305412292								/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloada/flush_only
full	fillseq	workloada	ok	300	48	300.023	306.07323002815247	224295472	747594.0	64.204	112144072	112144072	112151400	54224228	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloada/fillseq
full	flush_only	workloadb	timeout	300	48		903.795812368393								/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadb/flush_only
full	fillseq	workloadb	ok	300	48	300.025	304.72021317481995	293119088	976981.0	49.129	278463543	278463543	14655545	54003100	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadb/fillseq
full	fillseq	workloadc	ok	300	48	300.021	304.5709533691406	369414332	1231296.0	38.982	369414332	369414332	0	53294120	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadc/fillseq
full	flush_only	workloadc	ok	300	48	300.048	305.91586804389954	474381	1581.0	30357.697	286595	474381	0	86758576	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadc/flush_only
full	fillseq	workloadd	ok	300	48	300.02	304.78996658325195	622571436	2075100.0	23.131	591442346	591442346	31129090	53908500	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadd/fillseq
full	flush_only	workloadd	timeout	300	48		903.7332260608673								/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ch3_ycsb_cache50_260911_run2/full/workloadd/flush_only
