run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:35:08.795282,0,1,4,4,0,,263094129,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:09.207024,0,1,8,4,4,,526094224,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:09.645887,0,1,4,4,0,,263085088,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:10.035143,0,1,8,4,4,,715968770,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:10.388013,0,1,4,4,0,,263110885,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:10.804493,0,1,4,4,0,,263094663,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:11.170406,0,1,9,5,4,,959453936,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:11.490202,0,1,4,4,0,,263079103,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:11.888281,0,1,4,4,0,,263114144,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:12.276845,0,1,4,4,0,,263094462,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:12.589114,1,2,2,1,1,,202520729,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:12.589239,1,2,2,1,1,,202520817,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:12.668426,0,1,4,4,0,,263108075,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:13.037517,0,1,14,7,7,,1937334628,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:13.364974,0,1,4,4,0,,263110089,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:13.757907,0,1,4,4,0,,263102962,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:14.146634,0,1,4,4,0,,263103853,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:14.546593,0,1,4,4,0,,263098280,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:14.938153,0,1,4,4,0,,263131800,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:15.336261,0,1,4,4,0,,263105627,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:15.727541,0,1,4,4,0,,263095521,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:15.945055,1,2,4,3,1,,378395696,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:16.116489,0,1,4,4,0,,263090474,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:16.493904,0,1,28,11,17,,3921993171,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:16.831092,0,1,4,4,0,,263097832,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:17.222550,0,1,4,4,0,,263079881,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:17.647016,0,1,4,4,0,,263126297,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:18.115136,0,1,4,4,0,,263110876,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:18.686774,0,1,4,4,0,,263091435,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:19.047745,0,1,6,6,0,,1380764063,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:21.057165,0,1,4,4,0,,263095479,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:21.449352,0,1,4,4,0,,263112196,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:21.917323,0,1,4,4,0,,263089310,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:22.398975,1,2,2,1,1,,202536182,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399021,1,2,5,4,1,,567061006,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399060,1,2,2,1,1,,202536233,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399097,1,2,4,3,1,,392473233,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399214,1,2,4,2,2,,332327121,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399356,1,2,4,2,2,,334772193,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.399376,1,2,6,5,1,,718116934,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:22.478787,0,1,4,4,0,,263101668,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:22.888073,0,1,4,4,0,,263112970,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:23.286112,0,1,4,4,0,,263119395,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:23.651619,0,1,28,10,18,,4983099513,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:23.977841,0,1,4,4,0,,263094792,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:24.411388,0,1,4,4,0,,263103893,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:24.796123,0,1,4,4,0,,263121391,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:25.209671,0,1,4,4,0,,263101107,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:25.684930,0,1,4,4,0,,263093308,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:26.263307,0,1,4,4,0,,263119314,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:26.624860,0,1,7,7,0,,1643812109,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:29.056204,0,1,4,4,0,,263111868,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:29.463113,0,1,4,4,0,,263111984,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:29.860174,0,1,4,4,0,,263091432,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:30.353522,0,1,4,4,0,,263104901,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:30.941200,0,1,4,4,0,,263118374,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:31.282100,1,2,3,2,1,,273027467,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282155,1,2,3,2,1,,316292946,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282243,1,2,2,1,1,,192608614,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282246,1,2,2,1,1,,113870921,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282350,1,2,2,1,1,,5750,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.282498,1,2,8,7,1,,1029840120,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.331741,0,1,6,6,0,,1380799789,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:31.331877,1,2,9,8,1,,1139650437,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:31.670001,0,1,4,4,0,,263115066,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.053227,0,1,4,4,0,,263098552,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.512311,0,1,4,4,0,,263136942,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:32.893165,0,1,4,4,0,,263092717,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:33.320157,0,1,4,4,0,,263100846,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:33.694251,0,1,25,10,15,,5465918130,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.032919,0,1,4,4,0,,263091380,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.439594,0,1,4,4,0,,263126708,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:34.837211,0,1,4,4,0,,263097708,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:35.231491,0,1,4,4,0,,263096533,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:35.699103,0,1,4,4,0,,263104077,LevelL0FilesNum
