arm	dataset_gib	kv_bytes	phase	samples	span_sec	max_rss_bytes	at_max_rss_plr_bytes	at_max_rss_other_live_bytes	at_max_rss_files	max_other_live_bytes	max_other_live_t_sec	is_global_rss_peak	registry_torn_down
1000gib_1024b	1000	1024	init	1	0.0	21884928	0	8672800	0	8672800	0.0	0	0
1000gib_1024b	1000	1024	calibration	57	5.7	615063552	15809920	360943048	771	360943048	5.7	0	0
1000gib_1024b	1000	1024	phase1_end	1165	119.2	1077743616	339705280	203563496	13559	360384496	7.1	0	0
1000gib_1024b	1000	1024	l0_drain	1	0.0	1075417088	346685600	196065248	13796	196065248	124.9	0	0
1000gib_1024b	1000	1024	materialize	176	18.2	1298464768	346696064	271649824	13796	292799488	127.6	1	0
1000gib_1024b	1000	1024	version_edit	3	0.1	982102016	346696064	93334776	13796	93334776	143.2	0	0
2000gib_1024b	2000	1024	init	1	0.0	22032384	0	8672800	0	8672800	0.0	0	0
2000gib_1024b	2000	1024	calibration	112	11.2	859684864	30751072	691775192	1530	691775192	11.2	0	0
2000gib_1024b	2000	1024	phase1_end	2459	259.1	1861464064	685143648	433465528	27672	685938832	15.0	0	0
2000gib_1024b	2000	1024	l0_drain	1	0.0	1826009088	694563872	431939160	27925	431939160	270.5	0	0
2000gib_1024b	2000	1024	materialize	355	37.8	1863114752	694563872	465635768	27925	465635768	270.7	1	0
2000gib_1024b	2000	1024	version_edit	4	0.2	1542189056	694563872	141107712	27925	858580880	308.6	0	1
3000gib_1024b	3000	1024	init	1	0.0	21987328	0	8672800	0	8672800	0.0	0	0
3000gib_1024b	3000	1024	calibration	168	16.9	1255288832	47372864	1016909072	2404	1016909072	16.9	0	0
3000gib_1024b	3000	1024	phase1_end	4033	441.8	2538881024	1038902752	669361928	41256	1025363344	17.0	0	0
3000gib_1024b	3000	1024	l0_drain	1	0.0	2537472000	1041947840	628239704	41329	628239704	458.8	0	0
3000gib_1024b	3000	1024	materialize	523	57.2	2574057472	1041947840	678575880	41329	678575880	459.1	1	0
3000gib_1024b	3000	1024	version_edit	6	0.4	2187112448	1041947840	233369680	41329	524124976	516.4	0	0
4000gib_1024b	4000	1024	init	1	0.0	21983232	0	8672800	0	8672800	0.0	0	0
4000gib_1024b	4000	1024	calibration	224	22.6	1520410624	60702592	1347651184	3070	1351625672	22.5	0	0
4000gib_1024b	4000	1024	phase1_end	5982	684.8	3237957632	1349243168	972855496	53838	1346961464	32.8	1	0
4000gib_1024b	4000	1024	l0_drain	1	0.0	3085086720	1391425312	912073656	55406	912073656	707.5	0	0
4000gib_1024b	4000	1024	materialize	733	82.5	3110543360	1391425312	920605456	55406	972165960	708.2	0	0
4000gib_1024b	4000	1024	version_edit	5	0.5	2800934912	1371589120	306327360	54493	552645728	790.5	0	1
1000gib_100b	1000	100	init	1	0.0	22036480	0	8672960	0	8672960	0.0	0	0
1000gib_100b	1000	100	calibration	738	74.5	2533019648	249058144	2165991304	1264	2175079368	74.3	0	0
1000gib_100b	1000	100	phase1_end	9105	925.5	4597608448	3415465344	566269304	14417	2129864880	74.8	0	0
1000gib_100b	1000	100	l0_drain	1	0.0	4556414976	3482345280	520165040	14643	520165040	1000.1	0	0
1000gib_100b	1000	100	materialize	484	50.5	5058129920	3482345280	698463568	14643	768792528	1007.1	1	0
1000gib_100b	1000	100	version_edit	3	0.1	4354576384	3482345280	399874072	14643	3678848344	1050.8	0	1
2000gib_100b	2000	100	init	1	0.0	21852160	0	8672800	0	8672800	0.0	0	0
2000gib_100b	2000	100	calibration	1471	148.8	4687933440	500524736	4238626688	2682	4238626688	148.8	0	0
2000gib_100b	2000	100	phase1_end	17542	1809.4	8553463808	6922115040	1202851440	29546	4168662296	150.1	0	0
2000gib_100b	2000	100	l0_drain	1	0.0	8496889856	6951532800	1121688704	29632	1121688704	1958.3	0	0
2000gib_100b	2000	100	materialize	936	100.7	8755380224	6951532800	1105116144	29632	1157604712	1959.8	1	0
2000gib_100b	2000	100	version_edit	5	0.3	8182906880	6951532800	840571896	29632	6518562968	2059.2	0	1
3000gib_100b	3000	100	init	1	0.0	21929984	0	8672800	0	8672800	0.0	0	0
3000gib_100b	3000	100	calibration	2199	222.6	6816251904	736663712	6263971096	3826	6292101936	222.0	0	0
3000gib_100b	3000	100	phase1_end	25013	2621.2	12552339456	10329853344	1716014128	44263	6225122112	225.2	0	0
3000gib_100b	3000	100	l0_drain	1	0.0	12553068544	10392021568	1648757392	44485	1648757392	2843.9	0	0
3000gib_100b	3000	100	materialize	1336	149.2	12596981760	10392021568	1441286760	44485	1685943024	2844.4	1	0
3000gib_100b	3000	100	version_edit	5	0.4	12023648256	10392021568	1223005440	44485	6224562904	2993.6	0	1
4000gib_100b	4000	100	init	1	0.0	22036480	0	8672800	0	8672800	0.0	0	0
4000gib_100b	4000	100	calibration	2928	296.5	8990355456	992573600	8345008784	5054	8345008784	296.5	0	0
4000gib_100b	4000	100	phase1_end	32416	3472.3	16601255936	13836814944	2248072920	60229	8321889976	302.3	1	0
4000gib_100b	4000	100	l0_drain	2	0.0	16546820096	13844640608	2221751880	60237	2221751880	3769.0	0	0
4000gib_100b	4000	100	materialize	1815	208.1	16591798272	13844640608	2255461376	60237	2309652872	3769.6	0	0
4000gib_100b	4000	100	version_edit	7	0.5	15891976192	13844640608	1589455440	60237	15435455432	3977.6	0	1
