build	kv_bytes	dataset_gib	kind	records	sst_files	peak_rss_bytes	peak_rss_gb	bytes_per_record	growth_vs_previous_doubling	model_bytes	model_error_pct
a04221e7 (2026-09-14)	1024	1000	measured	1048576000	13796	1299963904	1.3	1.21887		863833218	-32.41
a04221e7 (2026-09-14)	1024	2000	measured	2097152000	27925	1904992256	1.905	0.89787	1.465	1739818242	-7.6
a04221e7 (2026-09-14)	1024	3000	measured	3145728000	41329	2621624320	2.622	0.8264	1.376	2589346631	-0.4
a04221e7 (2026-09-14)	1024	4000	measured	4194304000	53838	3247857664	3.248	0.76911	1.239	3406214761	5.59
a04221e7 (2026-09-14)	100	1000	measured	10737418240	14643	5058170880	5.058	0.46903		4224753095	-16.11
a04221e7 (2026-09-14)	100	2000	measured	21474836480	29632	8756285440	8.756	0.40673	1.731	8462132391	-3.12
a04221e7 (2026-09-14)	100	3000	measured	32212254720	44485	12637892608	12.638	0.39165	1.443	12694548787	0.62
a04221e7 (2026-09-14)	100	4000	measured	42949672960	60229	16701214720	16.701	0.38834	1.322	16959479476	1.68
a04221e7 (2026-09-14)	1024	8000	projected	8388608000	107676			0.3437		6812429521	
a04221e7 (2026-09-14)	1024	16000	projected	16777216000	215352			0.3437		13624859042	
a04221e7 (2026-09-14)	1024	32000	projected	33554432000	430704			0.3437		27249718085	
a04221e7 (2026-09-14)	100	8000	projected	85899345920	120458			0.3437		33918958951	
a04221e7 (2026-09-14)	100	16000	projected	171798691840	240916			0.3437		67837917902	
a04221e7 (2026-09-14)	100	32000	projected	343597383680	481832			0.3437		135675835805	
