arm	dataset_gib	kv_bytes	records	peak_sample_t_sec	peak_phase	peak_rss_bytes	component	bytes	share_of_rss	bytes_per_record
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	PLR segments	346696064	0.267005	0.330635
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	KMV sketches	16761904	0.012909	0.015985
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	registry index + descriptor objects	4740400	0.003651	0.004521
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	other live heap	271655968	0.209213	0.259071
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	allocator + non-heap	636725504	0.490368	0.607229
1000gib_1024b	1000	1024	1048576000	128.7	materialize	1298464768	idle RSS	21884928	0.016854	0.020871
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	PLR segments	694563872	0.372797	0.331194
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	KMV sketches	30137488	0.016176	0.014371
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	registry index + descriptor objects	18216800	0.009778	0.008686
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	other live heap	465641912	0.249927	0.222035
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	allocator + non-heap	632522296	0.339497	0.30161
2000gib_1024b	2000	1024	2097152000	270.7	materialize	1863114752	idle RSS	22032384	0.011826	0.010506
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	PLR segments	1041947840	0.404788	0.331226
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	KMV sketches	39618880	0.015392	0.012595
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	registry index + descriptor objects	31290208	0.012156	0.009947
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	other live heap	678582024	0.263623	0.215715
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	allocator + non-heap	760631192	0.295499	0.241798
3000gib_1024b	3000	1024	3145728000	459.1	materialize	2574057472	idle RSS	21987328	0.008542	0.00699
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	PLR segments	1349243168	0.416696	0.321685
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	KMV sketches	49820152	0.015386	0.011878
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	registry index + descriptor objects	38557456	0.011908	0.009193
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	other live heap	972861640	0.300455	0.231948
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	allocator + non-heap	805491984	0.248765	0.192044
4000gib_1024b	4000	1024	4194304000	674.7	phase1_end	3237957632	idle RSS	21983232	0.006789	0.005241
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	PLR segments	3482345280	0.688465	0.324319
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	KMV sketches	17590632	0.003478	0.001638
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	registry index + descriptor objects	4848816	0.000959	0.000452
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	other live heap	698469712	0.138089	0.06505
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	allocator + non-heap	832839000	0.164654	0.077564
1000gib_100b	1000	100	10737418240	1008.4	materialize	5058129920	idle RSS	22036480	0.004357	0.002052
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	PLR segments	6951532800	0.793973	0.323706
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	KMV sketches	30288032	0.003459	0.00141
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	registry index + descriptor objects	9830816	0.001123	0.000458
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	other live heap	1105122288	0.126222	0.051461
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	allocator + non-heap	636754128	0.072727	0.029651
2000gib_100b	2000	100	21474836480	1961.0	materialize	8755380224	idle RSS	21852160	0.002496	0.001018
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	PLR segments	10392021568	0.824961	0.322611
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	KMV sketches	40133480	0.003186	0.001246
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	registry index + descriptor objects	17953136	0.001425	0.000557
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	other live heap	1441292904	0.114416	0.044744
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	allocator + non-heap	683650688	0.054271	0.021223
3000gib_100b	3000	100	32212254720	2846.8	materialize	12596981760	idle RSS	21929984	0.001741	0.000681
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	PLR segments	13836814944	0.83348	0.322163
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	KMV sketches	54422488	0.003278	0.001267
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	registry index + descriptor objects	41469808	0.002498	0.000966
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	other live heap	2248079064	0.135416	0.052342
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	allocator + non-heap	398433152	0.024	0.009277
4000gib_100b	4000	100	42949672960	3765.7	phase1_end	16601255936	idle RSS	22036480	0.001327	0.000513
