case_id	system	size_gib	key_size	value_size	status	input_operations	expected_unique_keys	stage1_live_descriptor_entries	stage2_live_sst_keys_written	stage2_sst_keys_written	dropped_live_entries	exact_unique_keys	delta	relative_error	fidelity_matches	sst_entry_sum	estimated_pending_compaction_bytes	db_dir	log_dir	error
s100gib_1024B_unique100	baseline	100	24	1000	validated	104857600	104857600					104857600	0	0.0	True	104857600	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_unique100_baseline	
s100gib_1024B_unique100	f2load	100	24	1000	validated	104857600	104857600	101999402	101744338	101744338	255064	84487007	-20370593	-0.1942691135406494	False	101548740	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_unique100_f2load	
s100gib_1024B_uniform50	baseline	100	24	1000	validated	104857600	52428800					52428800	0	0.0	True	61393273	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_uniform50_baseline	
s100gib_1024B_uniform50	f2load	100	24	1000	validated	104857600	52428800	61780317	61752023	61752023	28294	53609965	1181165	0.022528934478759765	False	61752023	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_uniform50_f2load	
s100gib_1024B_zipf99_50	baseline	100	24	1000	validated	104857600	52428800					52428800	0	0.0	True	55703122	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_zipf99_50_baseline	
s100gib_1024B_zipf99_50	f2load	100	24	1000	validated	104857600	52428800	55499455	55471965	55471965	27490	50141610	-2287190	-0.04362468719482422	False	55471965	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_1024B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_1024B_zipf99_50_f2load	
s100gib_91B_unique100	baseline	100	48	43	validated	1179936070	1179936070					1179936070	0	0.0	True	1179936070	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_unique100_baseline	
s100gib_91B_unique100	f2load	100	48	43	validated	1179936070	1179936070	1146031749	1143330268	1143330268	2701481	949616388	-230319682	-0.1951967465491584	False	1131721199	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_unique100_f2load	
s100gib_91B_uniform50	baseline	100	48	43	validated	1179936070	589968035					589968035	0	0.0	True	704818970	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_uniform50_baseline	
s100gib_91B_uniform50	f2load	100	48	43	validated	1179936070	589968035	689632856	689068118	689068118	564738	587580583	-2387452	-0.004046748058138438	False	688895831	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_uniform50_f2load	
s100gib_91B_zipf99_50	baseline	100	48	43	validated	1179936070	589968035					589968035	0	0.0	True	627276376	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_zipf99_50_baseline	
s100gib_91B_zipf99_50	f2load	100	48	43	validated	1179936070	589968035	618297925	617820112	617820112	477813	558329556	-31638479	-0.05362744610392324	False	617820112	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/full/db/s100gib_91B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/full/cases/s100gib_91B_zipf99_50_f2load	
