case_id	system	size_gib	key_size	value_size	status	input_operations	expected_unique_keys	stage1_live_descriptor_entries	stage2_live_sst_keys_written	stage2_sst_keys_written	dropped_live_entries	exact_unique_keys	delta	relative_error	fidelity_matches	sst_entry_sum	estimated_pending_compaction_bytes	db_dir	log_dir	error
s1gib_1024B_unique100	baseline	1	24	1000	validated	1048576	1048576					1048576	0	0.0	True	1048576	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_unique100_baseline	
s1gib_1024B_unique100	f2load	1	24	1000	validated	1048576	1048576	1048576	1048563	1048563	13	1048563	-13	-1.239776611328125e-05	False	1048563	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_unique100_f2load	
s1gib_1024B_uniform50	baseline	1	24	1000	validated	1048576	524288					524288	0	0.0	True	544412	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_uniform50_baseline	
s1gib_1024B_uniform50	f2load	1	24	1000	validated	1048576	524288	553451	553312	553312	139	553312	29024	0.05535888671875	False	553312	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_uniform50_f2load	
s1gib_1024B_zipf99_50	baseline	1	24	1000	validated	1048576	524288					524288	0	0.0	True	533737	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_zipf99_50_baseline	
s1gib_1024B_zipf99_50	f2load	1	24	1000	validated	1048576	524288	549222	549222	549222	0	549222	24934	0.047557830810546875	False	549222	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_1024B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_1024B_zipf99_50_f2load	
s1gib_91B_unique100	baseline	1	48	43	validated	11799360	11799360					11799360	0	0.0	True	11799360	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_unique100_baseline	
s1gib_91B_unique100	f2load	1	48	43	validated	11799360	11799360	11785207	11785200	11785200	7	11785200	-14160	-0.0012000650882759744	False	11785200	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_unique100_f2load	
s1gib_91B_uniform50	baseline	1	48	43	validated	11799360	5899680					5899680	0	0.0	True	6895340	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_uniform50_baseline	
s1gib_91B_uniform50	f2load	1	48	43	validated	11799360	5899680	5967638	5967212	5967212	426	5967212	67532	0.011446722534103544	False	5967212	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_uniform50_f2load	
s1gib_91B_zipf99_50	baseline	1	48	43	validated	11799360	5899680					5899680	0	0.0	True	6325104	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_zipf99_50_baseline	
s1gib_91B_zipf99_50	f2load	1	48	43	validated	11799360	5899680	5967289	5967269	5967269	20	5967269	67589	0.011456384075068477	False	5967269	0	/work/vcomp/exp/fidelity_100gib_20260908_seqfix_run3/pilot/db/s1gib_91B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_20260908_seqfix_run3/pilot/cases/s1gib_91B_zipf99_50_f2load	
