case_id	system	size_gib	key_size	value_size	status	input_operations	expected_unique_keys	stage1_live_descriptor_entries	stage2_live_sst_keys_written	stage2_sst_keys_written	dropped_live_entries	exact_unique_keys	delta	relative_error	fidelity_matches	sst_entry_sum	estimated_pending_compaction_bytes	db_dir	log_dir	error
s100gib_1024B_unique100	baseline	100	24	1000	validated	104857600	104857600					104857600	0	0.0	True	104857600	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_unique100_baseline	
s100gib_1024B_unique100	f2load	100	24	1000	validated	104857600	104857600	104834295	103807652	103807652	1026643	103807652	-1049948	-0.010013084411621093	False	103807652	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_unique100_f2load	
s100gib_1024B_uniform50	baseline	100	24	1000	validated	104857600	52428800					52428800	0	0.0	True	61254797	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_uniform50_baseline	
s100gib_1024B_uniform50	f2load	100	24	1000	validated	104857600	52428800	62431744	62431744	62431744	0	54053710	1624910	0.030992698669433594	False	62431744	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_uniform50_f2load	
s100gib_1024B_zipf99_50	baseline	100	24	1000	validated	104857600	52428800					52428800	0	0.0	True	55513538	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_zipf99_50_baseline	
s100gib_1024B_zipf99_50	f2load	100	24	1000	validated	104857600	52428800	55709263	55709263	55709263	0	50207714	-2221086	-0.042363853454589845	False	55709263	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_1024B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_1024B_zipf99_50_f2load	
s100gib_91B_unique100	baseline	100	48	43	validated	1179936070	1179936070					1179936070	0	0.0	True	1179936070	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_unique100_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_unique100_baseline	
s100gib_91B_unique100	f2load	100	48	43	validated	1179936070	1179936070	1179624894	1167764660	1167764660	11860234	1167764660	-12171410	-0.010315313099971595	False	1167764660	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_unique100_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_unique100_f2load	
s100gib_91B_uniform50	baseline	100	48	43	validated	1179936070	589968035					589968035	0	0.0	True	705135605	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_uniform50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_uniform50_baseline	
s100gib_91B_uniform50	f2load	100	48	43	validated	1179936070	589968035	709690377	709690377	709690377	0	610339435	20371400	0.03452966735731708	False	709690377	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_uniform50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_uniform50_f2load	
s100gib_91B_zipf99_50	baseline	100	48	43	validated	1179936070	589968035					589968035	0	0.0	True	626363549	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_zipf99_50_baseline	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_zipf99_50_baseline	
s100gib_91B_zipf99_50	f2load	100	48	43	validated	1179936070	589968035	625094190	625094190	625094190	0	559547993	-30420042	-0.05156218675474511	False	625094190	0	/work/vcomp/exp/fidelity_100gib_260909_ratio_run2/full/db/s100gib_91B_zipf99_50_f2load	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/fidelity_100gib_260909_ratio_run2/full/cases/s100gib_91B_zipf99_50_f2load	
