system	arm	workload	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_gb
baseline	b02	A	697434.0	8.99854	86.7766	787.058
baseline	b03	A	689211.0	8.93328	86.7547	771.1683
baseline	n01	A	695604.0	8.97792	86.7717	786.6086
baseline	r01	A	689933.0	8.87028	86.7567	777.0332
baseline	r02	A	704052.0	8.9405	86.794	787.2516
f2load	f01	A	694449.0	8.94602	86.7501	794.9216
f2load	f03	A	681749.0	8.88454	86.7068	782.4259
f2load	f04	A	695677.0	8.86162	86.7518	791.8192
f2load	f08	A	699867.0	8.94263	86.7807	800.6267
f2load	f10	A	695346.0	8.92003	86.755	784.6709
baseline	n01	B	1037150.0	4.1091	83.5123	157.6203
baseline	n02	B	1028822.0	4.15336	83.4988	159.7229
baseline	r01	B	1032260.0	4.17963	83.5043	158.4168
baseline	r02	B	1031433.0	4.17009	83.503	160.585
baseline	run3	B	1046564.0	4.11633	83.5273	160.2334
f2load	f02	B	1038428.0	4.15769	83.4833	166.4613
f2load	f04	B	1036490.0	4.15898	83.4908	163.2886
f2load	f06	B	1039271.0	4.14482	83.5015	165.7965
f2load	f07	B	1031087.0	4.18242	83.4858	164.7763
f2load	f10	B	1043452.0	4.10024	83.5031	162.3578
baseline	b02	C	1642937.0	3.37783	60.2926	0.0
baseline	b03	C	1585459.0	3.73146	60.2921	0.0
baseline	n03	C	1627399.0	3.4637	60.2927	0.0
baseline	r01	C	1599628.0	3.64603	60.2921	0.0
baseline	run3	C	1511066.0	4.02532	60.292	0.0
f2load	f02	C	1510456.0	4.1207	62.292	0.0
f2load	f03	C	1547810.0	3.86128	62.2241	0.0
f2load	f05	C	1544004.0	3.95158	61.8452	0.0
f2load	f06	C	1451516.0	3.85374	66.9385	0.0
f2load	f07	C	1497025.0	3.91792	65.0286	0.0
baseline	b01	D	2660567.0	1.06923	92.0685	0.0
baseline	b02	D	2675412.0	1.05493	92.0775	0.0
baseline	b03	D	2674435.0	1.07909	92.0755	0.2666
baseline	n02	D	2684119.0	1.05535	92.0837	0.2584
baseline	r01	D	2666014.0	1.10964	92.0725	0.1241
f2load	f01	D	2643045.0	1.13781	91.9941	0.1258
f2load	f03	D	2646143.0	1.08419	91.9969	0.0
f2load	f05	D	2653919.0	1.10828	91.9747	0.8816
f2load	f06	D	2659436.0	1.08177	91.9861	0.0
f2load	f07	D	2644866.0	1.11114	91.9879	0.0
baseline	b03	E	106714.0	0.0	0.0	0.0
baseline	n03	E	106797.0	0.0	0.0	0.6861
baseline	n04	E	106682.0	0.0	0.0	0.0
baseline	r01	E	106573.0	0.0	0.0	0.0
baseline	run3	E	106557.0	0.0	0.0	0.0
f2load	f04	E	106747.0	0.0	0.0	0.0
f2load	f06	E	107058.0	0.0	0.0	0.0
f2load	f07	E	106373.0	0.0	0.0	0.0
f2load	f08	E	106195.0	0.0	0.0	0.754
f2load	f10	E	106840.0	0.0	0.0	0.5083
baseline	b01	F	600723.0	6.99357	86.5087	755.5981
baseline	b02	F	603846.0	7.03873	86.5177	759.7643
baseline	n01	F	607633.0	7.02581	86.5288	768.1531
baseline	n02	F	603694.0	6.95306	86.5173	762.968
baseline	run3	F	606455.0	6.96898	86.5253	759.212
f2load	f01	F	601883.0	6.90989	86.4887	770.7559
f2load	f03	F	599211.0	7.1089	86.472	760.6084
f2load	f05	F	594417.0	6.92742	86.4637	762.7024
f2load	f09	F	606675.0	6.96482	86.4924	771.7964
f2load	f10	F	597476.0	7.01082	86.4813	757.0895
baseline	b01	mix	646996.0	4.06696	79.4824	17.8633
baseline	b03	mix	658289.0	4.07392	79.596	18.3985
baseline	n01	mix	655971.0	4.09163	79.5727	17.8369
baseline	r02	mix	649130.0	4.18232	79.5042	18.2008
baseline	run3	mix	646727.0	4.11571	79.4797	18.3545
f2load	g03	mix	603659.0	4.06904	82.531	17.9167
f2load	g05	mix	612415.0	3.98783	82.6377	18.5808
f2load	g07	mix	607375.0	4.03071	82.826	18.8146
f2load	g09	mix	596509.0	4.053	82.8872	18.6083
f2load	g10	mix	604077.0	3.9799	82.8235	17.8428
