phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
pilot	baseline	workloadc	ok	3	48	3.019	3.1739540100097656	7828378	2592625.0	18.446	5378619	7828378	0	956956	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloadc/baseline
pilot	baseline	workloada	ok	5	48	5.025	5.478802919387817	7012517	1395532.0	34.311	3185948	3506036	3506481	5182900	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.022	5.2778542041778564	3245332	646169.0	74.132	0	0	162626	1233500	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloade/baseline
pilot	fillseq_sparse	workloadc	ok	3	48	3.02	3.2238306999206543	10070775	3334947.0	14.335	6919343	10070775	0	956392	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloadc/fillseq_sparse
pilot	fillseq_sparse	workloada	ok	5	48	5.02	5.628622531890869	6904053	1375345.0	34.81	3133343	3451720	3452333	4761844	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloada/fillseq_sparse
pilot	fillseq_sparse	workloade	ok	5	48	5.02	5.277113914489746	3163936	630284.0	75.993	0	0	158509	1241456	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/pilot/workloade/fillseq_sparse
full	baseline	workloada	ok	3	48	3.024	3.37442946434021	4300839	1422244.0	33.594	1889750	2149890	2150949	3201200	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloada/baseline
full	fillseq_sparse	workloada	ok	3	48	3.02	3.3732659816741943	4537427	1502703.0	31.818	2001004	2268296	2269131	3258892	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloada/fillseq_sparse
full	fillseq_sparse	workloadb	ok	3	48	3.02	3.2237980365753174	5160330	1708923.0	27.997	3852551	4900929	259401	1253344	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadb/fillseq_sparse
full	baseline	workloadb	ok	3	48	3.019	3.2240147590637207	4563054	1511346.0	31.689	3392093	4333859	229195	1201616	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadb/baseline
full	baseline	workloadc	ok	3	48	3.018	3.2235374450683594	7795738	2583252.0	18.543	5356103	7795738	0	956124	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadc/baseline
full	fillseq_sparse	workloadc	ok	3	48	3.02	3.2233054637908936	9609432	3182132.0	15.019	6602180	9609432	0	956748	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadc/fillseq_sparse
full	baseline	workloadd	ok	3	48	3.021	3.323662281036377	23525241	7788056.0	6.137	21586094	22348839	1176402	2545112	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadd/baseline
full	fillseq_sparse	workloadd	ok	3	48	3.02	3.324796676635742	23358226	7734350.0	6.187	21430993	22190090	1168136	2536988	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadd/fillseq_sparse
full	baseline	workloade	ok	3	48	3.018	3.2711710929870605	1907052	631814.0	75.744	0	0	95316	1139204	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloade/baseline
full	fillseq_sparse	workloade	ok	3	48	3.02	3.27339506149292	1939760	642227.0	74.518	0	0	96915	1143332	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloade/fillseq_sparse
full	baseline	workloadf	ok	3	48	3.022	3.3740394115448	3091397	1022809.0	46.744	2658165	3091397	1546002	3334808	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadf/baseline
full	fillseq_sparse	workloadf	ok	3	48	3.021	3.374727964401245	2772547	917814.0	52.081	2367508	2772547	1385997	2998864	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/fillseq_sparse_260913_run1_pilot_measure/full/workloadf/fillseq_sparse
