config	side	L1	L2	L3	L4	L5	L6	total	L1_L2	L3plus
P0	baseline	0.1357	0.7218	0.8732	0.9431	0.7348	0.0000	3.4086	0.8575	2.5511
P0	f2load	0.0313	0.6252	0.8915	0.9243	0.7265	0.0000	3.1988	0.6565	2.5423
E1-100B	baseline	0.0088	0.4841	0.8858	0.7432	0.0000	0.0000	2.1220	0.4929	1.6291
E1-100B	f2load	0.1236	0.6853	0.8855	0.7378	0.0000	0.0000	2.4323	0.8090	1.6233
E1-10KB	baseline	0.8106	0.7617	0.9040	0.9140	0.9415	0.7311	5.0629	1.5723	3.4906
E1-10KB	f2load	0.4873	0.8559	0.9028	0.9150	0.9315	0.7229	4.8153	1.3432	3.4722
E2-2T	baseline	0.6934	0.7281	0.8881	0.9300	0.8648	0.0000	4.1043	1.4214	2.6829
E2-2T	f2load	0.9659	0.6945	0.8890	0.9085	0.8635	0.0000	4.3213	1.6604	2.6610
E2-4T	baseline	0.7165	0.7606	0.8982	0.9176	0.9320	0.0000	4.2248	1.4770	2.7478
E2-4T	f2load	0.4464	0.8970	0.8923	0.9141	0.9320	0.0000	4.0818	1.3434	2.7383
E2-8T	baseline	0.2092	0.8414	0.9091	0.9252	0.9622	0.6401	4.4873	1.0506	3.4366
E2-8T	f2load	0.1170	0.7189	0.8950	0.9167	0.9631	0.6338	4.2445	0.8359	3.4086
E3-u25	baseline	0.0749	0.6147	0.8723	0.9730	0.0000	0.0000	2.5351	0.6897	1.8454
E3-u25	f2load	0.4270	0.7845	0.8706	0.9712	0.0037	0.0000	3.0570	1.2115	1.8456
E3-u50	baseline	0.2927	0.8232	0.8627	0.9696	0.6838	0.0000	3.6320	1.1158	2.5162
E3-u50	f2load	0.1756	0.8017	0.8813	0.9695	0.6814	0.0000	3.5095	0.9773	2.5323
E3-u75	baseline	0.1318	0.7915	0.8612	0.9342	0.7292	0.0000	3.4479	0.9233	2.5246
E3-u75	f2load	0.1865	0.7598	0.8719	0.9244	0.7273	0.0000	3.4699	0.9462	2.5236
E3-u100	baseline	0.2661	0.8161	0.8635	0.9275	0.7265	0.0000	3.5997	1.0822	2.5174
E3-u100	f2load	0.1794	0.8295	0.8713	0.9082	0.7271	0.0000	3.5155	1.0090	2.5066
E7-lz4	baseline	0.0615	0.6226	0.8673	0.9468	0.3040	0.0000	2.8022	0.6841	2.1182
E7-lz4	f2load	0.1239	0.5859	0.8993	0.9456	0.3051	0.0000	2.8599	0.7099	2.1500
E4-256m4	baseline	0.7615	0.4449	0.6606	0.7747	0.8253	0.9178	4.3848	1.2063	3.1784
E4-256m4	f2load	0.4172	0.6961	0.7525	0.8169	0.8268	0.9163	4.4259	1.1133	3.3125
E4-1024m10	baseline	0.2413	0.5879	0.7850	0.9543	0.0294	0.0000	2.5979	0.8292	1.7687
E4-1024m10	f2load	0.6700	0.5083	0.7368	0.9292	0.0674	0.0000	2.9116	1.1783	1.7334
E5-sst16	baseline	0.2025	0.7391	0.8708	0.9414	0.7345	0.0000	3.4883	0.9416	2.5468
E5-sst16	f2load	0.6365	0.8973	0.8701	0.8986	0.7269	0.0000	4.0294	1.5338	2.4957
E5-sst256	baseline	0.0000	0.8534	0.8707	0.9439	0.7344	0.0000	3.4024	0.8534	2.5489
E5-sst256	f2load	0.0000	0.3618	0.8446	0.9222	0.7274	0.0000	2.8559	0.3618	2.4941
