arm	system	final_sst_count	load_sec	entries	reference_keys	f2load_keys	intersection_keys	missing_keys	extra_keys	recall_pct	missing_pct	extra_pct	jaccard	duplicate_entries
i01	f2load_bitmap	13762	147.5	817236694	662840067	660311297	660311297	2528770	0	99.618495	0.381505	0.0	0.99618495	156925397
i02	f2load_bitmap	13736	147.2	816340135	662840067	660471997	660471997	2368070	0	99.642739	0.357261	0.0	0.99642739	155868138
i03	f2load_bitmap	13699	147.4	816354849	662840067	660008472	660008472	2831595	0	99.572809	0.427191	0.0	0.99572809	156346377
i04	f2load_bitmap	13723	146.4	817380132	662840067	660326466	660326466	2513601	0	99.620783	0.379217	0.0	0.99620783	157053666
i05	f2load_bitmap	13700	147.5	817664347	662840067	660199612	660199612	2640455	0	99.601645	0.398355	0.0	0.99601645	157464735
i06	f2load_bitmap	13762	147.4	818575866	662840067	660415492	660415492	2424575	0	99.634214	0.365786	0.0	0.99634214	158160374
i07	f2load_bitmap	13736	146.0	817191893	662840067	660177355	660177355	2662712	0	99.598287	0.401713	0.0	0.99598287	157014538
i08	f2load_bitmap	13810	145.1	819362126	662840067	660395441	660395441	2444626	0	99.631189	0.368811	0.0	0.99631189	158966685
i09	f2load_bitmap	13770	146.9	817362596	662840067	660181112	660181112	2658955	0	99.598854	0.401146	0.0	0.99598854	157181484
i10	f2load_bitmap	13717	147.7	818526030	662840067	660325127	660325127	2514940	0	99.620581	0.379419	0.0	0.99620581	158200903
