metric	n	mean	sd	min	max
f2load_keys	10	660281237.1	139128.959275	660008472.0	660471997.0
intersection_keys	10	660281237.1	139128.959275	660008472.0	660471997.0
missing_keys	10	2558829.9	139128.959275	2368070.0	2831595.0
extra_keys	10	0.0	0.0	0.0	0.0
recall_pct	10	99.61396	0.02099	99.572809	99.642739
missing_pct	10	0.38604	0.02099	0.357261	0.427191
extra_pct	10	0.0	0.0	0.0	0.0
jaccard	10	0.99614	0.00021	0.995728	0.996427
final_sst_count	10	13741.5	34.763487	13699.0	13810.0
baseline_reference_keys	10	662840067	0	662840067	662840067
