target_gib	mode	point	elapsed_sec	db_tb	campaign	db_dir
10	baseline	dbg-e4	33.4	0.008	dbg_20260913_load	/work/vcomp/exp/dbg_20260913/dbg-e4_baseline
10	baseline	dbg-def	34.1	0.008	dbg_20260913_load	/work/vcomp/exp/dbg_20260913/dbg-def_baseline
10	f2load	dbg-def	5.7	0.008	dbg_20260913_load	/work/vcomp/exp/dbg_20260913/dbg-def_f2load
10	f2load	dbg-e4	5.7	0.008	dbg_20260913_load	/work/vcomp/exp/dbg_20260913/dbg-e4_f2load
100	baseline	d100-e4	302.1	0.081	dbg100_20260913_load	/work/vcomp/exp/dbg100_20260913/d100-e4_baseline
100	baseline	d100-def	308.9	0.082	dbg100_20260913_load	/work/vcomp/exp/dbg100_20260913/d100-def_baseline
100	f2load	d100-e4	9.2	0.081	dbg100_20260913_load	/work/vcomp/exp/dbg100_20260913/d100-e4_f2load
100	f2load	d100-def	9.5	0.082	dbg100_20260913_load	/work/vcomp/exp/dbg100_20260913/d100-def_f2load
100	f2load	plr-smoke	14.2	0.082	plr_20260915_smoke	/work/vcomp/exp/plr_20260915/plr-smoke_f2load
1000	baseline	E3-u25	3148.0	0.295	eval_20260910_e3	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline
1000	baseline	E3-u50	3253.5	0.647	eval_20260910_e3	/work/vcomp/exp/eval_20260909_night1/E3-u50_baseline
1000	baseline	P0-r2	3334.4	0.825	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r2_baseline
1000	baseline	E3-u75	3343.0	0.878	eval_20260910_e3	/work/vcomp/exp/eval_20260909_night1/E3-u75_baseline
1000	baseline	P0-r3	3346.6	0.824	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r3_baseline
1000	baseline	P0-r1	3424.0	0.825	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r1_baseline
1000	baseline	E3-u100	3447.4	1.091	eval_20260910_e3	/work/vcomp/exp/eval_20260909_night1/E3-u100_baseline
1000	baseline	E4-256m4	3484.1	0.744	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E4-256m4_baseline
1000	baseline	E4-64m10	3526.9	0.734	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E4-64m10_baseline
1000	baseline	E4-64m4	3540.8	0.705	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline
1000	baseline	t1k-e4	3592.4	0.705	dbg1t_20260913_load	/work/vcomp/exp/dbg1t_20260913/t1k-e4_baseline
1000	baseline	E8-bloom0	3655.8	0.823	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E8-bloom0_baseline
1000	baseline	E5-256-r2	3670.9	0.824	fix_20260913_load_E5-256-r2	/work/vcomp/exp/fix_20260913/E5-256-r2_baseline
1000	baseline	E8-bloom16	3697.9	0.825	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E8-bloom16_baseline
1000	baseline	E4-1024m4	3765.7	0.851	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E4-1024m4_baseline
1000	baseline	E6-OldestSmallestSeq	3816.6	0.826	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E6-OldestSmallestSeq_baseline
1000	baseline	E8-partitioned	3897.7	0.824	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E8-partitioned_baseline
1000	baseline	E5-256	3909.4	0.824	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E5-256_baseline
1000	baseline	E6-OldestLargestSeq	3945.3	0.815	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E6-OldestLargestSeq_baseline
1000	baseline	E5-sst256	3949.6	0.824	fix_20260913_load_E5sst_baseline	/work/vcomp/exp/fix_20260913/E5-sst256_baseline
1000	baseline	E8-ribbon	3950.9	0.824	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E8-ribbon_baseline
1000	baseline	E4-1024m10	4000.8	0.758	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_baseline
1000	baseline	E6-ByCompensatedSize	4083.9	0.766	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E6-ByCompensatedSize_baseline
1000	baseline	E5-sst16	4257.0	0.826	fix_20260913_load_E5sst_baseline	/work/vcomp/exp/fix_20260913/E5-sst16_baseline
1000	baseline	E7-lz4	4624.5	0.421	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E7-lz4_baseline
1000	baseline	E5-16	4771.9	0.827	eval_20260909_batch2	/work/vcomp/exp/eval_20260909_night1/E5-16_baseline
