arm	system	run_id	prepare_kind	prepare_sec	source_sst_count	status	measured_sec	drain_sec	process_elapsed_sec	throughput_ops_sec	avg_latency_us	operations	gets	puts	seeks	scan_entries_per_seek	get_found_fraction	positive_lookup_pct	filter_checks_per_lookup	bloom_filter_useful	bloom_filter_full_positive	bloom_filter_full_true_positive	bloom_false_positive_rate	bloom_filter_prefix_checked	memtable_hits	l0_hits	l1_hits	l2_and_up_hits	data_cache_hit_fraction	filter_cache_hit_fraction	index_cache_hit_fraction	engine_keys_read	engine_keys_written	engine_iterator_bytes_read	compaction_write_bytes	compaction_read_bytes	flush_write_bytes	compaction_write_bytes_per_put	pending_bytes_end	peak_rss_kb	stall_micros	source_db_dir	log_dir
b01	baseline	mg_base_b01_260914	deep_copy	122.5	13460	ok	300.037	9.64	309.68	646996.0	74.184	194122612	161116570	27179870	5826172	569.135	0.794824	79.4824	4.06696	532910839	122343785	117092077	0.00975859	0	10967235	13967151	3523307	99601619	0.704536	0.999965	0.999817	161116570	27179870	2763645084825	17863294976	15164791109	1672653364	657.23	0	55150016	0	/work/vcomp/exp/mgcopy_260914/b01	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b01_260914/full/mixgraph/baseline
g01	f2load	mg_nb_g01_260914	fresh_load	146.7	13765	ok	300.028	12.19	312.22	594619.0	80.721	178402218	148070986	24977482	5353750	569.276	0.830602	83.0602	4.1227	492869994	117582673	112952698	0.00930648	0	10035313	12941906	8924948	91085844	0.647738	0.999967	0.999801	148070986	24977482	2619637946522	18562011136	15949444043	1541601217	743.15	0	54943996	0	/work/vcomp/exp/f2band_260914_nb/g01	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_nb_g01_260914/full/mixgraph/f2load
b02	baseline	mg_base_b02_260914	deep_copy	122.4	13496	ok	300.036	9.6	309.63	655895.0	73.178	196792183	163332123	27554048	5906012	569.045	0.795721	79.5721	4.03198	534841628	123709842	118345480	0.00993022	0	11621307	14724183	3218301	100402996	0.704397	0.999965	0.999811	163332123	27554048	2796109335607	16415936512	13556890093	1701546204	595.77	0	55323208	0	/work/vcomp/exp/mgcopy_260914/b02	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b02_260914/full/mixgraph/baseline
g02	f2load	mg_nb_g02_260914	fresh_load	148.1	13702	ok	300.034	9.91	309.94	607271.0	79.037	182201981	151224744	25509591	5467646	569.261	0.825676	82.5676	4.05514	493978677	119258791	114552227	0.00943795	0	10310352	13160328	6561083	94830816	0.655196	0.999966	0.999801	151224744	25509591	2660707947111	19657957376	16972871497	1552734138	770.61	0	55068632	0	/work/vcomp/exp/f2band_260914_nb/g02	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_nb_g02_260914/full/mixgraph/f2load
b03	baseline	mg_base_b03_260914	deep_copy	122.5	13520	ok	300.043	9.91	309.96	658289.0	72.911	197514943	163931839	27655298	5927806	569.007	0.79596	79.596	4.07392	543591861	124252783	118777957	0.00997115	0	11705219	14741469	5742110	98294378	0.704016	0.999964	0.999809	163931839	27655298	2804920374955	18398457856	15319487875	1667373104	665.28	0	55261220	0	/work/vcomp/exp/mgcopy_260914/b03	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_b03_260914/full/mixgraph/baseline
g03	f2load	mg_nb_g03_260914	fresh_load	148.1	13723	ok	300.034	9.72	309.75	603659.0	79.511	181118215	150324970	25357977	5435268	569.203	0.82531	82.531	4.06904	493388652	118289715	113376505	0.00985991	0	10688126	13320402	7885335	92170768	0.655854	0.999967	0.999806	150324970	25357977	2647548067796	17916723200	15576890508	1533601215	706.55	0	55084256	0	/work/vcomp/exp/f2band_260914_nb/g03	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_nb_g03_260914/full/mixgraph/f2load
n01	baseline	mg_base_n01_260914	deep_copy	123.1	13483	ok	300.036	9.67	309.71	655971.0	73.169	196814722	163351459	27556627	5906636	569.047	0.795727	79.5727	4.09163	544342113	124032358	118773673	0.00956819	0	11209545	14209766	4599043	99964864	0.704072	0.999965	0.999813	163351459	27556627	2796359210794	17836875776	15205468718	1693047348	647.28	0	55142596	0	/work/vcomp/exp/mgcopy_260914/n01	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_n01_260914/full/mixgraph/baseline
g04	f2load	mg_nb_g04_260914	fresh_load	147.5	13779	ok	300.035	9.72	309.75	603988.0	79.467	181217330	150407517	25371613	5438200	569.165	0.828733	82.8733	4.17756	509103333	119233474	114127809	0.00992916	0	10519934	13326313	11839943	88961553	0.651045	0.999967	0.999802	150407517	25371613	2650794853458	19367268352	17474637350	1527965288	763.34	0	55124624	0	/work/vcomp/exp/f2band_260914_nb/g04	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_nb_g04_260914/full/mixgraph/f2load
n02	baseline	mg_base_n02_260914	deep_copy	122.8	13480	ok	300.039	12.94	312.98	647706.0	74.102	194337072	161294920	27209445	5832707	569.113	0.794898	79.4898	4.01782	526154814	121899532	116659518	0.00986087	0	11553425	14604013	6567346	95488159	0.703909	0.999964	0.999809	161294920	27209445	2766223725631	20875153408	17757560245	1679779888	767.2	0	55133916	0	/work/vcomp/exp/mgcopy_260914/n02	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_base_n02_260914/full/mixgraph/baseline
g05	f2load	mg_nb_g05_260914	fresh_load	147.1	13771	ok	300.04	9.48	309.52	612415.0	78.372	183748980	152507223	25727612	5514145	569.284	0.826377	82.6377	3.98783	488388632	119784572	115130782	0.00943892	0	10897707	13618460	7861974	93650348	0.653933	0.999966	0.999798	152507223	25727612	2681766420230	18580799488	16407835675	1588147816	722.21	0	55125500	0	/work/vcomp/exp/f2band_260914_nb/g05	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/mg_nb_g05_260914/full/mixgraph/f2load
