metric	baseline_n	baseline_mean	baseline_sd	baseline_min	baseline_max	f2load_n	f2load_mean	f2load_sd	f2load_min	f2load_max	f2load_vs_baseline_pct
throughput_ops_sec	10	651957.0	5141.527961	645512.0	658289.0	10	603590.0	5209.401586	594619.0	612415.0	-7.419
avg_latency_us	10	73.6235	0.580673	72.911	74.353	10	79.5239	0.688147	78.372	80.721	8.014
get_found_fraction	10	0.795325	0.000517	0.794679	0.79596	10	0.827772	0.001632	0.82531	0.830602	4.08
filter_checks_per_lookup	10	4.079077	0.062026	4.01655	4.18232	10	4.072646	0.074822	3.9799	4.20613	-0.158
bloom_false_positive_rate	10	0.009704	0.000207	0.009356	0.009971	10	0.009645	0.000264	0.009306	0.010104	-0.609
bloom_filter_useful	10	539162621.5	8495315.25915	526154814	553595703	10	493412715	10576350.449308	480009227	514172725	-8.485
bloom_filter_full_positive	10	123049941	959286.135444	121899532	124252783	10	118721383.9	823005.613824	117513156	119784572	-3.518
memtable_hits	10	11356720.5	306350.688353	10913466	11705219	10	10505386.5	248781.764699	10035313	10897707	-7.496
l0_hits	10	14403816.4	353045.762127	13931986	14774157	10	13222481.9	196495.755339	12941906	13618460	-8.202
l1_hits	10	6013796.2	1960831.639818	3218301	8795648	10	7633154	2047607.538532	4573885	11839943	26.927
l2_and_up_hits	10	97349615.6	2545792.704582	93666720	100402996	10	93060201.7	2068931.658477	88961553	96507641	-4.406
data_cache_hit_fraction	10	0.704364	0.000282	0.703909	0.704728	10	0.652087	0.002634	0.647738	0.655854	-7.422
filter_cache_hit_fraction	10	0.999964	1e-06	0.999962	0.999965	10	0.999966	1e-06	0.999965	0.999968	0.0
index_cache_hit_fraction	10	0.999811	4e-06	0.999804	0.999817	10	0.9998	3e-06	0.999796	0.999806	-0.001
gets	10	162352947.2	1281160.317416	160749662	163931839	10	150310210.9	1297197.661327	148070986	152507223	-7.418
puts	10	27388430.1	216378.798411	27118217	27655298	10	25355517.8	219199.694292	24977482	25727612	-7.423
seeks	10	5870701	46202.037237	5812746	5927806	10	5434655	46883.494558	5353750	5514145	-7.427
engine_iterator_bytes_read	10	2781674048914	18802333186.088726	2758131567727	2804920374955	10	2649581485739.8	18082162676.688263	2619637946522	2681766420230	-4.749
compaction_write_bytes	10	17887635046.4	1261332585.8598	16415936512	20875153408	10	18551558963.2	984429646.50808	16437305344	19727843328	3.712
compaction_read_bytes	10	15040005546.6	1183576749.225006	13556890093	17757560245	10	16222813479.1	979623689.207144	14237610420	17474637350	7.864
flush_write_bytes	10	1678068018.7	12296618.701504	1662782004	1701546204	10	1543708725	17487776.076208	1527965288	1588147816	-8.007
compaction_write_bytes_per_put	10	653.283	48.526812	595.77	767.2	10	731.633	37.811825	650.89	776.45	11.993
drain_sec	10	10.078	1.017052	9.59	12.94	10	9.934	0.800905	9.48	12.19	-1.429
prepare_sec	10	122.9	0.374166	122.4	123.6	10	148.16	1.208488	146.7	150.0	20.553
