metric	baseline_n	baseline_mean	baseline_sd	f2load_nobitmap_n	f2load_nobitmap_mean	f2load_nobitmap_sd	f2load_bitmap_n	f2load_bitmap_mean	f2load_bitmap_sd	f2load_nobitmap_vs_baseline_pct	f2load_bitmap_vs_baseline_pct
throughput_ops_sec	10	651957.0	5141.527961	10	603590.0	5209.401586	10	603823.8	5693.45019	-7.419	-7.383
avg_latency_us	10	73.6235	0.580673	10	79.5239	0.688147	10	79.4932	0.749762	8.014	7.973
get_found_fraction	10	0.795325	0.000517	10	0.827772	0.001632	10	0.789805	0.000657	4.08	-0.694
filter_checks_per_lookup	10	4.079077	0.062026	10	4.072646	0.074822	10	4.02641	0.093659	-0.158	-1.291
bloom_false_positive_rate	10	0.009704	0.000207	10	0.009645	0.000264	10	0.009824	0.000371	-0.609	1.241
bloom_filter_useful	10	539162621.5	8495315.25915	10	493412715	10576350.449308	10	492286090.3	10664244.200369	-8.485	-8.694
bloom_filter_full_positive	10	123049941	959286.135444	10	118721383.9	823005.613824	10	113069195.4	1060338.390307	-3.518	-8.111
memtable_hits	10	11356720.5	306350.688353	10	10505386.5	248781.764699	10	10577030.4	258064.168882	-7.496	-6.865
l0_hits	10	14403816.4	353045.762127	10	13222481.9	196495.755339	10	13199222.3	207860.378991	-8.202	-8.363
l1_hits	10	6013796.2	1960831.639818	10	7633154	2047607.538532	10	5026308.8	1853591.757169	26.927	-16.42
l2_and_up_hits	10	97349615.6	2545792.704582	10	93060201.7	2068931.658477	10	89961466.6	2434119.976053	-4.406	-7.589
data_cache_hit_fraction	10	0.704364	0.000282	10	0.652087	0.002634	10	0.671315	0.001752	-7.422	-4.692
filter_cache_hit_fraction	10	0.999964	1e-06	10	0.999966	1e-06	10	0.999965	1e-06	0.0	0.0
index_cache_hit_fraction	10	0.999811	4e-06	10	0.9998	3e-06	10	0.99976	7e-06	-0.001	-0.005
gets	10	162352947.2	1281160.317416	10	150310210.9	1297197.661327	10	150370213.5	1418929.72344	-7.418	-7.381
puts	10	27388430.1	216378.798411	10	25355517.8	219199.694292	10	25365655.8	239649.196631	-7.423	-7.386
seeks	10	5870701	46202.037237	10	5434655	46883.494558	10	5436789.1	51256.808321	-7.427	-7.391
engine_iterator_bytes_read	10	2781674048914	18802333186.088726	10	2649581485739.8	18082162676.688263	10	2603097967089.3	21342352902.31611	-4.749	-6.42
compaction_write_bytes	10	17887635046.4	1261332585.8598	10	18551558963.2	984429646.50808	10	19537919180.8	1208213375.060742	3.712	9.226
compaction_read_bytes	10	15040005546.6	1183576749.225006	10	16222813479.1	979623689.207144	10	16907371558.4	1096331227.997792	7.864	12.416
flush_write_bytes	10	1678068018.7	12296618.701504	10	1543708725	17487776.076208	10	1545934832.7	16844224.566843	-8.007	-7.874
compaction_write_bytes_per_put	10	653.283	48.526812	10	731.633	37.811825	10	770.277	47.657977	11.993	17.909
drain_sec	10	10.078	1.017052	10	9.934	0.800905	10	10.115	1.105745	-1.429	0.367
prepare_sec	10	122.9	0.374166	10	148.16	1.208488	10	143.38	0.594045	20.553	16.664
