rep	point	ops_per_sec	filter_probes_per_read	positive_lookup_pct	p50_us	p99_us	p999_us	source_identity_ssts	load_seconds	ycsb_seconds	db_bytes	load_rc	ycsb_rc	finished_at
1	E1-100B	2277817	2.937128	63.3394	70.74	126.37	441.73	1372	70.3	305.1	84536043198	0	0	2026-09-17T12:42:29+0900
1	E1-10KB	1182793	4.258122	58.9968	84.68	158.57	917.95	129473	5012.0	315.9	8175952524972	0	0	2026-09-17T16:34:03+0900
1	E2-2T	1423165	3.937117	62.3913	69.51	109.6	167.13	26094	263.2	306.9	1545389969699	0	0	2026-09-17T13:40:58+0900
1	E2-4T	1371112	4.053738	64.6606	69.9	109.76	169.15	47357	868.6	308.8	2950736055137	0	0	2026-09-17T14:00:36+0900
1	E2-8T	1234226	4.422041	62.4807	69.27	109.63	257.89	103636	3556.2	314.0	6686210342181	0	0	2026-09-17T15:05:09+0900
1	E3-u100	1063449	3.509543	99.5403	70.29	109.85	595.66	17526	80.1	306.2	1084032264329	0	0	2026-09-17T13:31:27+0900
1	E3-u25	3212126	2.581154	28.5534	69.5	109.66	276.39	4828	80.8	305.3	297484800232	0	0	2026-09-17T12:48:55+0900
1	E3-u50	1343382	4.181800	50.3338	70.74	109.55	168.45	10049	75.2	305.7	649264655355	0	0	2026-09-17T13:03:22+0900
1	E4-1024m10	1583328	2.153210	61.7579	93.17	573.95	1141.44	12627	165.6	305.9	760412471620	0	0	2026-09-17T13:18:07+0900
1	E4-256m4	1423334	4.476343	62.2237	68.21	109.52	167.95	12149	106.7	305.8	748006224142	0	0	2026-09-17T13:10:15+0900
1	E7-lz4	1685345	2.759248	67.2939	66.68	135.29	571.24	6751	180.4	305.1	422447296009	0	0	2026-09-17T12:57:01+0900
1	P0fix-r1	1331704	4.078953	65.1314	69.89	109.73	206.07	13088	106.4	305.8	824748080906	0	0	2026-09-17T13:25:00+0900
2	E1-100B	1757981	2.948129	66.7816	70.01	117.13	326.99	1377	71.0	305.0	84567916894	0	0	2026-09-17T16:40:26+0900
2	E1-10KB	1133550	4.914953	65.8888	83.99	161.9	859.32	129205	5677.2	316.0	8173106304388	0	0	2026-09-17T20:45:44+0900
2	E2-2T	1298707	4.328923	62.4075	71.32	109.81	169.61	26071	264.8	306.9	1545514485742	0	0	2026-09-17T17:38:51+0900
2	E2-4T	1385705	3.958373	64.0150	70.25	109.59	165.1	47421	905.0	308.7	2952565941686	0	0	2026-09-17T17:59:06+0900
2	E2-8T	1229328	4.332566	64.6253	70.12	109.55	229.89	103536	3682.5	314.0	6685362896792	0	0	2026-09-17T19:05:45+0900
2	E3-u100	1064260	3.366254	99.4990	66.39	109.83	442.2	17564	74.1	306.2	1084065154170	0	0	2026-09-17T17:29:18+0900
2	E3-u25	3263148	2.531508	25.2413	69.51	109.63	321.58	4811	81.8	305.2	297683903436	0	0	2026-09-17T16:46:53+0900
2	E3-u50	1840557	3.432818	49.7054	70.21	109.49	163.99	10053	75.0	305.7	649617409138	0	0	2026-09-17T17:01:19+0900
2	E4-1024m10	1569377	2.321832	58.4507	92.93	612.86	1216.49	12632	165.5	305.9	761212829081	0	0	2026-09-17T17:16:02+0900
2	E4-256m4	1404461	4.342554	61.1005	70.37	109.59	215.65	12166	104.6	305.8	747334193117	0	0	2026-09-17T17:08:10+0900
2	E7-lz4	1703503	2.886576	60.2881	66.71	124.18	257.58	6755	179.9	305.1	422233579854	0	0	2026-09-17T16:54:58+0900
2	P0fix-r1	1407173	4.106087	65.0443	68.86	109.43	163.26	13032	109.1	305.9	824181715005	0	0	2026-09-17T17:22:57+0900
3	E1-100B	2180766	2.926438	61.8657	69.44	110.0	404.94	1368	70.4	305.0	84299572273	0	0	2026-09-17T20:52:06+0900
3	E1-10KB	1103093	5.176967	66.5205	85.51	158.95	817.08	129178	5197.9	315.9	8174476237085	0	0	2026-09-18T00:48:51+0900
