phase	system	workload	status	duration_sec	threads	measured_seconds	process_elapsed_sec	operations	throughput_ops_sec	avg_latency_us	successful_gets	engine_keys_read	engine_keys_written	peak_rss_kb	log_dir
full	baseline	workloada	ok	300	48	300.023	300.95398354530334	11052590	36839.0	1302.9	4522494	5526542	5526048	514352	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_run1/full/workloada/baseline
pilot	baseline	workloadc	ok	3	48	3.019	3.9266128540039062	85322	28260.0	1693.266	51609	85322	0	299104	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloadc/baseline
pilot	last_comp	workloadc	ok	3	48	3.027	3.6275522708892822	133017	43944.0	1087.8	80337	133017	0	390624	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloadc/last_comp
pilot	fillseq	workloadc	ok	3	48	3.019	3.827932357788086	360718	119465.0	400.339	360718	360718	0	280092	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloadc/fillseq
pilot	fillseq_ow	workloadc	ok	3	48	3.021	3.8765015602111816	198615	65736.0	727.11	198615	198615	0	314296	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloadc/fillseq_ow
pilot	f2load	workloadc	ok	3	48	3.019	3.7264068126678467	234664	77718.0	615.939	146869	234664	0	304348	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloadc/f2load
pilot	baseline	workloada	ok	5	48	5.02	5.977916717529297	189104	37666.0	1272.465	71603	94684	94420	349436	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloada/baseline
pilot	baseline	workloade	ok	5	48	5.023	5.981480598449707	99327	19774.0	2422.692	0	0	5026	404340	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/pilot/workloade/baseline
full	last_comp	workloada	ok	300	48	300.021	300.6432342529297	8635626	28783.0	1667.583	3516134	4317379	4318247	608200	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/full/workloada/last_comp
full	fillseq	workloada	ok	300	48	300.026	300.8840045928955	8531756	28436.0	1687.889	4265420	4265420	4266336	708712	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/full/workloada/fillseq
full	fillseq_ow	workloada	ok	300	48	300.029	300.9964928627014	12298967	40992.0	1170.899	6150583	6150583	6148384	591932	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/full/workloada/fillseq_ow
full	f2load	workloada	ok	300	48	300.022	300.83823108673096	12478256	41591.0	1154.044	5076662	6240386	6237870	583796	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/paper_alternatives_ycsb_cached0_260908_no_flush_run2/full/workloada/f2load
