arm	workload	operations	throughput_ops_sec	filter_checks_per_lookup	found_keys_per_lookup	compaction_read_per_op_bytes	compaction_write_per_op_bytes
b01	A	207205522	690630.0	4.4749	0.86759	3971.9	3706.8
b02	A	209244517	697434.0	4.4992	0.86777	4030.5	3761.4
b03	A	206781828	689211.0	4.4665	0.86755	3996.4	3729.4
n01	A	208699627	695604.0	4.4889	0.86772	4038.4	3769.1
n02	A	211829248	706024.0	4.4556	0.86799	4043.3	3774.4
n03	A	208730594	695695.0	4.5009	0.86772	3918.3	3653.4
n04	A	217344971	724412.0	4.4292	0.86847	4064.5	3796.7
r01	A	206999313	689933.0	4.435	0.86757	4022.2	3753.8
r02	A	211231939	704052.0	4.4701	0.86794	3993.3	3727.0
run3	A	211468685	704837.0	4.436	0.86796	4042.6	3772.5
b01	B	318395530	1061213.0	3.8788	0.8355	531.0	508.0
b02	B	309303353	1030912.0	3.9788	0.83502	536.3	513.4
b03	B	305770547	1019138.0	3.9947	0.83484	545.2	522.0
n01	B	311167813	1037150.0	3.9037	0.83512	529.2	506.5
n02	B	308668054	1028822.0	3.9457	0.83499	540.5	517.5
n03	B	317259774	1057433.0	3.9089	0.83544	531.7	508.9
n04	B	319588943	1065193.0	3.8781	0.83556	536.6	513.5
r01	B	309701640	1032260.0	3.9707	0.83504	534.6	511.5
r02	B	309451373	1031433.0	3.9616	0.83503	542.3	518.9
run3	B	313997005	1046564.0	3.9105	0.83527	533.3	510.3
b01	C	479123996	1596912.0	3.6244	0.60292		
b02	C	492920647	1642937.0	3.3778	0.60293		
b03	C	475682943	1585459.0	3.7315	0.60292		
n01	C	478276874	1594123.0	3.6498	0.60292		
n02	C	486042790	1619969.0	3.5872	0.60293		
n03	C	488270131	1627399.0	3.4637	0.60293		
n04	C	490623562	1635289.0	3.3177	0.60293		
r01	C	479933669	1599628.0	3.646	0.60292		
r02	C	478767704	1595775.0	3.6741	0.60292		
run3	C	453369970	1511066.0	4.0253	0.60292		
b01	D	798227074	2660567.0	1.0158	0.92068		
b02	D	802696614	2675412.0	1.0022	0.92077		
b03	D	802390319	2674435.0	1.0251	0.92075		
n01	D	797763397	2658994.0	1.054	0.92066		
n02	D	805314184	2684119.0	1.0026	0.92084		
n03	D	808139703	2693518.0	0.9595	0.9209		
n04	D	811072452	2703271.0	0.9414	0.92096		
r01	D	799877256	2666014.0	1.0542	0.92072		
r02	D	797699700	2658741.0	1.0675	0.92065		
run3	D	787546034	2624828.0	1.1172	0.92043		
b01	E	31627456	105414.0				
b02	E	32122695	107067.0				
b03	E	32016641	106714.0				
n01	E	31813670	106037.0				
n02	E	32120692	107057.0				
n03	E	32042260	106797.0				
n04	E	32007520	106682.0				
r01	E	31974851	106573.0				
r02	E	32059713	106856.0				
run3	E	31969538	106557.0				
b01	F	180228954	600723.0	6.9936	0.86509	4461.8	4192.4
b02	F	181167125	603846.0	7.0388	0.86518	4464.2	4193.7
b03	F	180586211	601894.0	7.1972	0.86512	4440.9	4170.4
n01	F	182303027	607633.0	7.0259	0.86529	4484.1	4213.6
n02	F	181121530	603694.0	6.9531	0.86517	4483.5	4212.5
n03	F	182141082	607068.0	6.9767	0.86527	4494.0	4221.9
n04	F	183151960	610443.0	7.1214	0.86537	4419.5	4150.3
r01	F	181378015	604523.0	7.244	0.8652	4407.3	4137.0
r02	F	179934627	599723.0	7.0866	0.86506	4413.5	4143.8
run3	F	181950739	606455.0	6.9691	0.86525	4442.0	4172.6
