workload	metric	n	mean	min	max	spread_pct
A	throughput_ops_sec	10	699783.2	689211.0	724412.0	5.03
A	filter_checks_per_lookup	10	4.4656	4.4292	4.5009	1.61
A	found_keys_per_lookup	10	0.8678	0.8676	0.8685	0.11
A	compaction_read_per_op_bytes	10	4012.14	3918.3	4064.5	3.64
A	compaction_write_per_op_bytes	10	3744.45	3653.4	3796.7	3.83
B	throughput_ops_sec	10	1041011.8	1019138.0	1065193.0	4.42
B	filter_checks_per_lookup	10	3.9331	3.8781	3.9947	2.96
B	found_keys_per_lookup	10	0.8352	0.8348	0.8356	0.09
B	compaction_read_per_op_bytes	10	536.07	529.2	545.2	2.98
B	compaction_write_per_op_bytes	10	513.05	506.5	522.0	3.02
C	throughput_ops_sec	10	1600855.7	1511066.0	1642937.0	8.24
C	filter_checks_per_lookup	10	3.6098	3.3177	4.0253	19.6
C	found_keys_per_lookup	10	0.6029	0.6029	0.6029	0.0
D	throughput_ops_sec	10	2669989.9	2624828.0	2703271.0	2.94
D	filter_checks_per_lookup	10	1.0239	0.9414	1.1172	17.17
D	found_keys_per_lookup	10	0.9207	0.9204	0.921	0.06
E	throughput_ops_sec	10	106575.4	105414.0	107067.0	1.55
F	throughput_ops_sec	10	604600.2	599723.0	610443.0	1.77
F	filter_checks_per_lookup	10	7.0606	6.9531	7.244	4.12
F	found_keys_per_lookup	10	0.8652	0.8651	0.8654	0.04
F	compaction_read_per_op_bytes	10	4451.08	4407.3	4494.0	1.95
F	compaction_write_per_op_bytes	10	4180.82	4137.0	4221.9	2.03
