metric	workload	config	value	p0_value	ratio_to_p0	pct_change
Throughput (ops/s)	A	P0-r1	691689.0	691689.0	1.0	0.0
Throughput (ops/s)	A	E2-4T	570362.0	691689.0	0.8246	-17.54
Throughput (ops/s)	A	E3-u25	678290.0	691689.0	0.9806	-1.94
Throughput (ops/s)	A	E4-64m4	747409.0	691689.0	1.0806	8.06
Throughput (ops/s)	A	E5-256	694246.0	691689.0	1.0037	0.37
Throughput (ops/s)	A	E7-lz4	691291.0	691689.0	0.9994	-0.06
Throughput (ops/s)	B	P0-r1	1002901.0	1002901.0	1.0	0.0
Throughput (ops/s)	B	E2-4T	984408.0	1002901.0	0.9816	-1.84
Throughput (ops/s)	B	E3-u25	1143085.0	1002901.0	1.1398	13.98
Throughput (ops/s)	B	E4-64m4	1034847.0	1002901.0	1.0319	3.19
Throughput (ops/s)	B	E5-256	998977.0	1002901.0	0.9961	-0.39
Throughput (ops/s)	B	E7-lz4	1029137.0	1002901.0	1.0262	2.62
Throughput (ops/s)	C	P0-r1	1474872.0	1474872.0	1.0	0.0
Throughput (ops/s)	C	E2-4T	1279469.0	1474872.0	0.8675	-13.25
Throughput (ops/s)	C	E3-u25	3186181.0	1474872.0	2.1603	116.03
Throughput (ops/s)	C	E4-64m4	1388852.0	1474872.0	0.9417	-5.83
Throughput (ops/s)	C	E5-256	949432.0	1474872.0	0.6437	-35.63
Throughput (ops/s)	C	E7-lz4	1691141.0	1474872.0	1.1466	14.66
Throughput (ops/s)	D	P0-r1	2511581.0	2511581.0	1.0	0.0
Throughput (ops/s)	D	E2-4T	2585993.0	2511581.0	1.0296	2.96
Throughput (ops/s)	D	E3-u25	4196075.0	2511581.0	1.6707	67.07
Throughput (ops/s)	D	E4-64m4	2548029.0	2511581.0	1.0145	1.45
Throughput (ops/s)	D	E5-256	2504426.0	2511581.0	0.9972	-0.28
Throughput (ops/s)	D	E7-lz4	2662390.0	2511581.0	1.06	6.0
Throughput (ops/s)	E	P0-r1	90887.0	90887.0	1.0	0.0
Throughput (ops/s)	E	E2-4T	107477.0	90887.0	1.1825	18.25
Throughput (ops/s)	E	E3-u25	129260.0	90887.0	1.4222	42.22
Throughput (ops/s)	E	E4-64m4	123855.0	90887.0	1.3627	36.27
Throughput (ops/s)	E	E5-256	91358.0	90887.0	1.0052	0.52
Throughput (ops/s)	E	E7-lz4	115679.0	90887.0	1.2728	27.28
Throughput (ops/s)	F	P0-r1	567233.0	567233.0	1.0	0.0
Throughput (ops/s)	F	E2-4T	485702.0	567233.0	0.8563	-14.37
Throughput (ops/s)	F	E3-u25	618146.0	567233.0	1.0898	8.98
Throughput (ops/s)	F	E4-64m4	598641.0	567233.0	1.0554	5.54
Throughput (ops/s)	F	E5-256	574240.0	567233.0	1.0124	1.24
Throughput (ops/s)	F	E7-lz4	567741.0	567233.0	1.0009	0.09
Filter checks per lookup	A	P0-r1	8.9688	8.9688	1.0	0.0
Filter checks per lookup	A	E2-4T	8.0313	8.9688	0.8955	-10.45
Filter checks per lookup	A	E3-u25	9.0773	8.9688	1.0121	1.21
Filter checks per lookup	A	E4-64m4	9.75	8.9688	1.0871	8.71
Filter checks per lookup	A	E5-256	9.059	8.9688	1.0101	1.01
Filter checks per lookup	A	E7-lz4	8.8786	8.9688	0.9899	-1.01
Filter checks per lookup	B	P0-r1	4.2565	4.2565	1.0	0.0
Filter checks per lookup	B	E2-4T	4.1108	4.2565	0.9658	-3.42
Filter checks per lookup	B	E3-u25	3.9708	4.2565	0.9329	-6.71
Filter checks per lookup	B	E4-64m4	4.1456	4.2565	0.9739	-2.61
Filter checks per lookup	B	E5-256	4.2709	4.2565	1.0034	0.34
Filter checks per lookup	B	E7-lz4	3.9112	4.2565	0.9189	-8.11
Filter checks per lookup	C	P0-r1	3.4268	3.4268	1.0	0.0
Filter checks per lookup	C	E2-4T	4.1392	3.4268	1.2079	20.79
