config	workload	ops_per_sec	micros_per_op	p50_us	p99_us	p999_us	filter_checks_per_read	positive_lookup_pct	queries	found	keys_written	compaction_write_gb	compaction_read_gb	flush_write_gb	user_bytes_read_gb	sst_block_reads
P0-r1	A	691689	69.3920	74.3700	503.8500	834.7700	8.9688	86.7288	2159340	1872769	103767698	774.7504	830.2388	73.6410	90.0226	47305150
P0-r1	B	1002901	47.8590	65.3200	166.6200	590.2000	4.2565	83.4393	5953870	4967867	15044635	152.7935	159.6879	10.7319	238.5694	76413167
P0-r1	C	1474872	32.5440	73.1300	166.5600	241.3300	3.4268	60.2917	9227175	5563219	0	0.0000	0.0000	0.0000	266.7878	99967066
P0-r1	D	2511581	19.1110	34.8000	109.0400	167.8600	1.0497	91.9682	14894622	13698313	37678994	0.1209	0.1499	39.1673	658.3191	106595525
P0-r1	E	90887	528.1010	76.5200	555.2000	592.0000			0	0	1365172	0.0000	0.0000	1.3561	0.0000	117349796
P0-r1	F	567233	84.6150	72.9500	525.7700	857.9200	7.6588	86.3776	1773967	1532310	85100192	678.5630	723.4987	60.3950	147.0566	73003366
E2-4T	A	570362	84.1560	75.0900	505.9400	825.0900	8.0313	85.6686	1784755	1528974	85568039	824.0685	872.7793	60.7637	73.3025	38763611
E2-4T	B	984408	48.7570	68.6500	164.4600	553.0300	4.1108	82.7034	5858229	4844956	14766914	181.9024	189.3805	10.4788	232.0901	78470814
E2-4T	C	1279469	37.5130	73.5400	166.8100	249.9100	4.1392	62.6133	7952032	4979033	0	0.0000	0.0000	0.0000	240.2737	93221597
E2-4T	D	2585993	18.5610	51.1700	109.3300	232.9100	0.9629	83.8455	15342545	12864036	38795835	0.4969	0.2578	40.3184	618.0067	109362340
E2-4T	E	107477	446.5970	84.9000	704.7000	826.0000			0	0	1613605	0.0000	0.0000	1.6564	0.0000	114713612
E2-4T	F	485702	98.8210	73.9500	505.8000	852.4700	6.7576	85.3828	1523568	1300865	72867288	759.5925	801.5456	51.7077	124.4518	62850189
E3-u25	A	678290	70.7640	73.2900	459.9800	794.5400	9.0773	72.9043	2122381	1547307	101756791	680.1878	735.1118	72.2163	74.2181	32965704
E3-u25	B	1143085	41.9880	64.3800	163.3500	525.1000	3.9708	66.7018	6787031	4527075	17147343	162.2232	171.8216	12.1714	217.4069	39793950
E3-u25	C	3186181	15.0650	73.4800	165.8100	245.6900	2.5499	24.0646	19913416	4792084	0	0.0000	0.0000	0.0000	230.0502	68366125
E3-u25	D	4196075	11.4390	44.3900	108.9700	181.1600	0.7782	85.4893	24883888	21273064	62947163	0.6285	0.2337	65.4255	1022.3402	80762814
E3-u25	E	129260	371.3290	73.3300	499.0000	817.5100			0	0	1941486	0.1290	0.1297	2.0073	0.0000	109291597
E3-u25	F	618146	77.6510	74.9900	490.7100	782.5700	7.9789	72.5740	1933317	1403085	92731783	678.2418	729.1184	65.8175	134.6448	54401278
E4-64m4	A	747409	64.2190	71.0300	375.2400	761.0700	9.7500	86.8712	2339086	2031993	112125775	446.7248	483.5383	79.5741	97.4366	51179854
E4-64m4	B	1034847	46.3820	51.9900	119.6500	491.0500	4.1456	83.4895	6140477	5126654	15523382	72.7606	76.1886	11.0607	246.3130	78594430
E4-64m4	C	1388852	34.5600	72.6100	165.3100	207.7800	4.0310	60.2942	8683210	5235474	0	0.0000	0.0000	0.0000	251.2276	93120879
