system	arm	db_loaded	status	measured_sec	operations	throughput_ops_sec	avg_latency_us	positive_lookup_pct	filter_checks_per_lookup	data_cache_hit_fraction	iostat_samples	io_read_rps	io_read_mbps	io_r_await_ms	io_r_await_p90_ms	io_write_wps	dev_read_count	dev_read_bytes	dev_read_bytes_per_op	dev_read_ms_per_req	dev_write_count	dev_write_bytes
f2load	e01	2026-09-13 10:33	ok	60.021	4875986	81237.0	590.773	62.932	3.2808	0.0	12	391512.1	38141.8	0.1004	0.1004	0.6	23719129	2422938243072	496912.5	0.1009	34	1572864
f2load	e02	2026-09-13 11:05	ok	60.021	4222233	70345.0	682.198	62.931	3.5704	0.0	12	365373.0	34245.9	0.1143	0.1146	0.7	22132692	2175189594112	515175.2	0.1145	41	1613824
f2load	e03	2026-09-13 11:37	ok	60.021	1084591	18070.0	2655.833	62.995	4.0548	0.0	12	103287.4	10349.3	0.4474	0.4516	0.6	6253652	657025425408	605781.7	0.4475	33	1568768
f2load	e04	2026-09-13 12:09	ok	60.019	1114237	18564.0	2585.335	62.991	4.2772	0.0	12	109426.2	10477.5	0.4224	0.425	0.6	6629677	665612935168	597371.1	0.4213	33	1581056
f2load	e05	2026-09-13 12:41	ok	60.018	4447191	74097.0	647.688	62.917	3.218	0.0	12	353256.7	34852.0	0.118	0.1182	0.6	21405903	2214463606784	497946.6	0.1178	33	1585152
f2load	e06	2026-09-13 13:14	ok	60.02	4124753	68723.0	698.326	62.942	3.4219	0.0	12	350395.9	33540.1	0.1222	0.1225	0.6	21214396	2129319825408	516229.7	0.122	35	1593344
f2load	e07	2026-09-13 13:46	ok	60.02	4766099	79408.0	604.378	62.947	3.4314	0.0	12	396791.8	38197.2	0.1005	0.1008	0.6	24042856	2426911494144	509202.9	0.1008	34	1593344
f2load	e08	2026-09-13 14:18	ok	60.019	4615199	76895.0	624.133	62.897	3.5417	0.0	12	391828.1	38116.2	0.1021	0.102	0.6	23740564	2421600550912	524701.2	0.1019	33	1572864
f2load	e09	2026-09-13 14:50	ok	60.021	4717601	78598.0	610.595	62.968	3.4576	0.0	12	394634.9	38124.0	0.1012	0.1013	0.6	23909031	2421948137472	513385.5	0.101	34	1581056
f2load	e10	2026-09-13 15:22	ok	60.021	2776948	46266.0	1037.259	62.982	3.9529	0.0	12	256551.3	24119.6	0.1714	0.1719	0.6	15539980	1531947175936	551665.8	0.1708	33	1581056
