system	target_gib	configured_cap	actual_subcompactions	status	elapsed_sec	fill_sec	compact_sec	peak_rss_kb	swap_in_delta	swap_out_delta	pending_bytes	final_db_bytes	read_found	read_requested
no_comp	100	1	0	ok	124	123.790		863748	0	0	109096073571	68877624271	10000	10000
baseline_sub1	100	1	0	ok	306	294.850		1292656	0	0	0	82259965152	10000	10000
lastcomp_sub1	100	1	0	ok	313	126.427	186.314	4143856	0	0	0	68960655487	10000	10000
lastcomp_sub4	100	4	3	ok	207	123.902	83.217	10893648	0	0	0	68960673963	10000	10000
baseline_sub4	100	4	120	ok	188	178.505		1388300	0	0	0	82426554044	10000	10000
baseline_sub8	100	8	249	ok	161	151.486		1621048	0	0	0	82309186627	10000	10000
lastcomp_sub8	100	8	6	ok	203	126.223	75.852	20986904	0	0	0	68960685766	10000	10000
lastcomp_sub16	100	16	12	ok	177	126.265	50.619	41216340	0	0	0	68960690001	10000	10000
baseline_sub16	100	16	476	ok	158	147.085		1880352	0	0	0	82344236564	10000	10000
baseline_sub32	100	32	899	ok	154	144.434		2592720	0	0	0	82256930812	10000	10000
lastcomp_sub32	100	32	24	ok	165	126.942	38.193	79890744	0	0	0	68960744327	10000	10000
