merge_path	plr_error_bound	segments	phase1_s	bg_s	phase2_s	total_s	materialized_entries	distinct_keys	baseline_distinct	missing	invented	jaccard
discrete_cdf	8	4628029	39.853	0.484	5.624	46.432	286971006	279915328	262144000	191683559	209454887	0.149408
discrete_cdf	16	1193316	33.552	0.407	5.641	40.111	287000460	279926067	262144000	191728601	209510668	0.149294
discrete_cdf	32	307496	32.100	0.525	5.438	38.542	286479332	279453984	262144000	191826402	209136386	0.149205
discrete_cdf	64	84850	32.117	0.420	5.417	38.467	286692605	279615566	262144000	191726028	209197594	0.149399
discrete_cdf	128	28575	31.152	0.399	5.518	37.572	286631371	279578841	262144000	191848018	209282859	0.149113
discrete_cdf	256	16230	31.705	0.453	5.480	38.135	286647827	279619406	262144000	191814611	209290017	0.149182
plr_only	8	4628029	27.883	42.083	5.502	75.953	286316080					
plr_only	16	1193316	27.531	3.045	5.417	36.464	286456005					
plr_only	32	307496	27.597	0.334	5.519	33.917	286764301					
plr_only	64	84850	27.488	0.395	5.449	33.776	286979939					
plr_only	128	28575	27.751	0.236	5.813	34.262	286331569					
plr_only	256	16230	27.614	0.255	5.814	34.141	286287863					
