mode,run_id,ops_per_s,filter_per_get,index_per_get,data_per_get,l1_hit,l2_hit,l3_hit,l4_hit,sst_per_get,get_p50,get_p99
baseline,baseline_run1,1867,2.559288,0.650323,0.650864,851,9778,97562,524079,3.866498,536.50512,964.030892
baseline,baseline_run2,2345,2.500864,0.649631,0.650136,803,9758,97637,524072,3.806858,422.281881,851.943437
baseline,baseline_run3,1864,2.54144,0.650079,0.650623,958,9790,97258,524264,3.848198,540.742968,933.48396
baseline,baseline_run4,2331,2.684656,0.651646,0.652271,980,9794,97778,523718,3.994373,425.78492,838.031586
baseline,baseline_run5,1939,2.393574,0.649153,0.649577,997,9625,97311,524337,3.698565,513.769672,959.40113
baseline,baseline_run6,1983,2.285764,0.648227,0.648601,512,9825,97422,524511,3.588826,502.647983,869.486192
baseline,baseline_run7,2323,2.507984,0.649942,0.650483,822,9846,97281,524321,3.814458,424.339085,855.099214
baseline,baseline_run8,1603,3.119704,0.656736,0.657219,910,9808,97626,523926,4.436165,637.034226,1240.779208
baseline,baseline_run9,1835,2.634093,0.651071,0.651666,874,9768,98141,523487,3.942732,547.18306,1105.035455
baseline,baseline_run10,1889,2.455157,0.649163,0.64968,964,9832,97875,523599,3.760174,530.916602,1066.230727
baseline,baseline_run11,2031,2.67916,0.653008,0.65372,939,9939,97550,523842,3.991584,489.419407,866.800091
baseline,baseline_run12,1513,3.318896,0.65789,0.658569,838,9831,97663,523938,4.639358,668.193033,1266.612036
baseline,baseline_run13,1927,2.513873,0.65031,0.650827,972,9740,97344,524214,3.821124,515.09044,940.120951
baseline,baseline_run14,2315,2.501026,0.650235,0.650818,852,9821,97513,524084,3.808187,428.359771,853.269231
baseline,baseline_run15,1850,2.82949,0.654118,0.654846,771,9724,97988,523787,4.143233,547.090982,1016.122408
baseline,baseline_run16,1933,2.44387,0.648938,0.649375,958,9514,97479,524319,3.748343,518.779303,928.450606
baseline,baseline_run17,1934,3.26003,0.657597,0.658235,830,9691,97964,523785,4.579948,518.518897,868.140001
baseline,baseline_run18,1803,2.754091,0.652702,0.653405,845,9622,97407,524396,4.066124,556.512222,1154.785871
baseline,baseline_run19,2029,2.414653,0.649194,0.649677,972,9689,97764,523845,3.719754,499.398227,886.342341
baseline,baseline_run20,2070,2.475877,0.649739,0.650225,831,9689,97672,524078,3.781971,479.555827,869.765379
baseline,baseline_run21,2311,2.352118,0.649287,0.649743,945,9584,97141,524600,3.65742,437.70511,856.447921
baseline,baseline_run22,2064,2.621636,0.651233,0.651854,965,9647,97404,524254,3.930797,481.614169,866.727696
baseline,baseline_run23,2189,2.803681,0.653961,0.65467,861,9501,97987,523921,4.11795,447.629857,859.298144
baseline,baseline_run24,2272,2.392883,0.648744,0.649178,855,9859,97335,524221,3.697076,443.552466,858.525272
baseline,baseline_run25,2060,2.474984,0.649599,0.650092,851,9771,97510,524138,3.780699,497.969598,866.638505
baseline,baseline_run26,1985,2.615559,0.651389,0.652051,969,9814,97769,523718,3.924964,503.980983,868.876828
baseline,baseline_run27,2469,2.456082,0.649392,0.649876,937,9527,98049,523757,3.761677,409.33252,803.944086
baseline,baseline_run28,2219,2.464609,0.649473,0.649967,956,9733,97787,523794,3.770255,453.335282,860.617784
baseline,baseline_run29,2127,3.010479,0.653395,0.653992,882,9779,97904,523705,4.323363,463.428413,860.506923
baseline,baseline_run30,2468,2.392619,0.649302,0.649781,816,9801,97548,524105,3.697934,409.674366,834.711476
vcomp,vcomp_run1,2011,3.334807,0.658208,0.65887,899,9845,98779,524456,4.657776,502.689602,865.104916
vcomp,vcomp_run2,2046,3.327014,0.661815,0.662682,914,9903,98608,523759,4.656166,494.174303,863.917986
vcomp,vcomp_run3,2016,3.358122,0.658337,0.65908,881,9979,98911,523427,4.679445,502.103741,865.037344
vcomp,vcomp_run4,2057,3.295634,0.658964,0.659722,878,9608,98785,523909,4.619682,492.088715,862.971399
vcomp,vcomp_run5,2071,3.251567,0.656766,0.657515,806,9897,98968,522800,4.571447,486.399666,862.463254
vcomp,vcomp_run6,2175,3.00598,0.654596,0.655305,779,10070,98806,522742,4.321626,457.596114,856.755897
vcomp,vcomp_run7,2228,2.915213,0.654525,0.655262,902,9956,98459,523924,4.230775,446.356585,849.464001
vcomp,vcomp_run8,2144,3.066138,0.655908,0.656622,982,9755,98623,524235,4.384437,466.206549,858.596362
vcomp,vcomp_run9,2137,3.100392,0.656218,0.656921,949,10098,98964,523235,4.418886,466.845796,858.967162
vcomp,vcomp_run10,2226,2.873393,0.654802,0.655552,940,10040,98606,523726,4.189267,444.778615,852.681581
vcomp,vcomp_run11,1981,3.446607,0.660734,0.661609,999,9873,98787,523195,4.77335,516.711169,866.255149
vcomp,vcomp_run12,2044,3.296568,0.656569,0.657287,771,9727,98387,524250,4.615836,490.394683,863.475106
vcomp,vcomp_run13,2077,3.240491,0.660291,0.66116,898,9716,98634,523690,4.567001,485.519551,862.799167
vcomp,vcomp_run14,2225,2.905127,0.653735,0.654435,776,9852,98137,523195,4.218945,444.991471,849.580345
vcomp,vcomp_run15,2135,3.091674,0.65855,0.659456,1051,9693,99277,523219,4.414841,466.83832,859.626979
vcomp,vcomp_run16,2042,3.255452,0.656933,0.657595,885,10048,98843,523450,4.575312,487.298012,864.176598
vcomp,vcomp_run17,2052,3.291611,0.658412,0.659171,981,9784,98871,522816,4.614316,491.003589,863.441946
vcomp,vcomp_run18,2097,3.194114,0.656876,0.657584,823,10067,99238,522915,4.514095,479.273401,861.574693
vcomp,vcomp_run19,2238,2.89422,0.655079,0.65583,882,9809,99185,523463,4.210559,443.097673,847.948632
vcomp,vcomp_run20,2129,3.10319,0.65633,0.657044,902,9910,98350,524337,4.422304,469.844981,859.815247
vcomp,vcomp_run21,2136,3.061179,0.656638,0.657439,939,9913,98506,523940,4.380799,464.408011,858.747827
vcomp,vcomp_run22,2130,3.082508,0.655507,0.656213,969,9793,98554,523695,4.399741,464.476689,858.49827
vcomp,vcomp_run23,2158,3.00807,0.655658,0.656433,781,9813,98552,523896,4.325737,457.264803,856.673552
vcomp,vcomp_run24,2073,3.25355,0.659977,0.66078,854,9809,99019,523618,4.578924,483.982837,862.053563
vcomp,vcomp_run25,2122,3.172366,0.657209,0.657965,810,9551,97221,525552,4.492987,472.432218,859.084522
vcomp,vcomp_run26,2206,2.926833,0.655252,0.65595,623,9871,98275,524606,4.243466,450.739552,854.362254
vcomp,vcomp_run27,2055,3.265104,0.657875,0.658594,801,9903,98708,524358,4.587248,490.632758,864.436346
vcomp,vcomp_run28,2222,2.908948,0.655238,0.656012,865,9907,99196,523466,4.225803,445.548433,849.792286
vcomp,vcomp_run29,2217,2.902717,0.655235,0.655929,972,9940,99026,523852,4.219611,446.945723,851.430488
vcomp,vcomp_run30,2196,2.986181,0.655812,0.656527,877,9721,96831,525627,4.303897,454.056666,853.902321
