db,mode,db_size_gb,workload,threads,cache_pct,timestamp,result_dir,elapsed_s,throughput_ops_s,micros_per_op,found_count,total_ops,found_ratio,get_p50_us,get_p95_us,get_p99_us,get_p100_us,get_count,get_sum_us,sst_read_p50_us,sst_read_p95_us,sst_read_p99_us,sst_read_count,sst_read_sum_us,filter_miss,filter_hit,filter_per_get,index_miss,index_hit,index_per_get,data_miss,data_hit,data_per_get,bloom_useful,bloom_full_positive,bloom_true_positive,bloom_fpr,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,disk_read_kb,disk_write_kb,rocks_user_read_bytes,rocks_compact_read_bytes,rocks_compact_write_bytes,rocks_flush_write_bytes,raf,waf,cpu_user_pct,cpu_sys_pct,cpu_iowait_pct,cpu_idle_pct,cpu_util_pct,ctx_switches_per_sec
baseline_1000gb,baseline,1000,readrandom,1,0,260409_1403,log_runs/baseline_1000gb/readrandom_1t_0p_260409_1403,540.35,1852,539.764,631738,1000000,0.6317,532.3378,841.645214,1000.330457,3153.0,1000000,539357712,95.997159,163.367508,224.587673,4818387,488678340,3486687,372,3.4871,658677,0,0.6587,659528,0,0.6595,2828382,658677,631738,0.0409,0,191,2398,24527,238074,366548,0,535138584,1868,631738000,0,0,0,867.42,,0.28,0.29,1.69,97.74,2.26,19733.6
baseline_1000gb,baseline,1000,readrandom,1,0,260414_1221,log_runs/baseline_1000gb/readrandom_1t_0p_260414_1221,650.91,1537,650.29,631738,1000000,0.6317,644.710937,1073.005157,1256.272429,2515.0,1000000,649871078,124.525235,200.519918,243.976524,4818387,598038766,3486687,372,3.4871,658677,0,0.6587,659528,0,0.6595,2828382,658677,631738,0.0409,0,191,2398,24527,238074,366548,0,535263408,1960,631738000,0,0,0,867.622,,0.26,0.25,1.75,97.74,2.26,17029.5
baseline_1000gb,baseline,1000,readrandom,1,0,260414_1257,log_runs/baseline_1000gb/readrandom_1t_0p_260414_1257,65.73,1540,649.197,63247,100000,0.6325,643.601989,1066.660105,1254.761592,2193.0,100000,64878744,126.939777,220.551882,280.361384,507818,65194124,348898,42,3.4894,65920,0,0.6592,66010,0,0.6601,283020,65920,63247,0.0405,0,26,243,2366,23682,36930,0,63794360,0,63247000,0,0,0,1032.862,,0.27,0.3,1.89,97.54,2.46,17847.0
baseline_1000gb,baseline,1000,readrandom,1,0,260414_1411,log_runs/baseline_1000gb/readrandom_1t_0p_260414_1411,649.11,1542,648.304,631738,1000000,0.6317,642.270068,1064.861096,1254.626978,2051.0,1000000,647876421,124.65461,201.724858,244.386833,4831882,600692061,3486687,372,3.4871,658677,0,0.6587,659528,0,0.6595,2828382,658677,631738,0.0409,0,191,2398,24527,238074,366548,0,540638452,0,631738000,0,0,0,876.334,,0.29,0.27,1.77,97.67,2.33,17344.3
baseline_250gb,baseline,250,readrandom,1,0,260409_1346,log_runs/baseline_250gb/readrandom_1t_0p_260409_1346,479.18,2087,478.952,632270,1000000,0.6323,474.28414,813.808766,862.780362,2196.0,1000000,478575414,95.154708,160.159773,211.218327,4379240,433367404,3065524,2067,3.0676,654905,0,0.6549,655515,0,0.6555,2412686,654905,632270,0.0346,0,918,9823,97534,523995,0,0,464907600,644,632270000,0,0,0,752.946,,0.31,0.29,1.69,97.71,2.29,20329.4
baseline_250gb,baseline,250,readrandom,1,0,260414_1202,log_runs/baseline_250gb/readrandom_1t_0p_260414_1202,601.46,1663,601.225,632270,1000000,0.6323,611.516441,868.938278,1212.512999,1964.0,1000000,600825028,130.039172,199.457426,240.668227,4379240,555117554,3065524,2067,3.0676,654905,0,0.6549,655515,0,0.6555,2412686,654905,632270,0.0346,0,918,9823,97534,523995,0,0,464907596,636,632270000,0,0,0,752.946,,0.25,0.24,1.77,97.74,2.26,16713.3
baseline_250gb,baseline,250,readrandom,1,0,260414_1243,log_runs/baseline_250gb/readrandom_1t_0p_260414_1243,,,,,,,,,,,0,,,,,,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,
baseline_250gb,baseline,250,readrandom,1,0,260414_1255,log_runs/baseline_250gb/readrandom_1t_0p_260414_1255,60.28,1667,599.85,63174,100000,0.6317,609.645365,868.481495,1211.731546,1643.0,100000,59948783,130.575433,205.785269,243.152791,443751,56709889,306253,214,3.0647,65424,0,0.6542,65482,0,0.6548,241043,65424,63174,0.0344,0,94,942,9865,52273,0,0,48790056,0,63174000,0,0,0,790.848,,0.25,0.25,1.81,97.69,2.31,17186.0
baseline_250gb,baseline,250,readrandom,1,0,260414_1356,log_runs/baseline_250gb/readrandom_1t_0p_260414_1356,400.0,2502,399.65,632270,1000000,0.6323,409.236893,575.708726,798.160627,1571.0,1000000,399252328,93.762935,152.139067,166.996939,3743670,359272954,2437881,297,2.4382,649336,0,0.6493,649847,0,0.6498,1788842,649336,632270,0.0263,0,849,9561,97672,524188,0,0,421139820,0,632270000,0,0,0,682.062,,0.32,0.3,1.67,97.71,2.29,21035.3
baseline_250gb,baseline,250,readrandom,1,0,260414_1435,log_runs/baseline_250gb/readrandom_1t_0p_260414_1435,40.33,2500,399.923,63174,100000,0.6317,408.829129,575.514316,797.013684,1424.0,100000,39952544,94.097368,154.384369,168.61028,379980,36864705,243549,25,2.4357,64888,0,0.6489,64937,0,0.6494,178686,64888,63174,0.0264,0,96,951,9826,52301,0,0,44221700,0,63174000,0,0,0,716.798,,0.33,0.31,1.72,97.63,2.37,21777.6
baseline_250gb,baseline,250,readrandom,1,0,260414_1444,log_runs/baseline_250gb/readrandom_1t_0p_260414_1444,40.3,2501,399.718,63174,100000,0.6317,409.020843,575.764706,797.919516,1493.0,100000,39935580,94.096899,154.341242,168.548536,379980,36839686,243549,25,2.4357,64888,0,0.6489,64937,0,0.6494,178686,64888,63174,0.0264,0,96,951,9826,52301,0,0,44221704,0,63174000,0,0,0,716.798,,0.37,0.32,1.73,97.57,2.43,22949.7
