carried_state,case,grandparent_boundaries,initial_plr_error,input_descriptor_entries,input_descriptor_files,input_global_empty_sketches,input_global_incomplete_sketches,input_global_sample_distinct_union,input_global_sample_entries,input_original_keys_covered_by_any_descriptor_range,input_original_keys_outside_all_descriptor_ranges,input_range_empty_sketches,input_range_estimated_entry_sum,input_range_incomplete_sketches,input_range_sample_entries,input_range_sketches,isolated_union_estimate,kmv_samples,merged_target,original_input_entry_sum,output_descriptor_entries,output_descriptor_files,output_global_empty_sketches,output_global_incomplete_sketches,output_global_sample_distinct_union,output_global_sample_entries,output_original_keys_covered_by_any_descriptor_range,output_original_keys_outside_all_descriptor_ranges,output_range_empty_sketches,output_range_estimated_entry_sum,output_range_incomplete_sketches,output_range_sample_entries,output_range_sketches,range_buckets,raw_outputs_capacity_violations,raw_outputs_crossfile_duplicate_rows,raw_outputs_files,raw_outputs_invalid_ranges,raw_outputs_invented_keys,raw_outputs_library_distinct_union,raw_outputs_library_invented_keys,raw_outputs_library_missing_original_keys,raw_outputs_library_perfile_distinct_sum,raw_outputs_library_raw_vector_rows,raw_outputs_library_unique_vs_stream_disagree_files,raw_outputs_library_within_file_duplicates,raw_outputs_missing_original_keys,raw_outputs_overlapping_range_pairs,raw_outputs_planned_entries,raw_outputs_stream_distinct_union,raw_outputs_stream_reference_drop,raw_outputs_stream_reference_rows,record_type,round,sst_target_entries,target_minus_true_union,this_round_entry_drop,trimmed_outputs_diagnostic_only_capacity_violations,trimmed_outputs_diagnostic_only_crossfile_duplicate_rows,trimmed_outputs_diagnostic_only_files,trimmed_outputs_diagnostic_only_invalid_ranges,trimmed_outputs_diagnostic_only_invented_keys,trimmed_outputs_diagnostic_only_library_distinct_union,trimmed_outputs_diagnostic_only_library_invented_keys,trimmed_outputs_diagnostic_only_library_missing_original_keys,trimmed_outputs_diagnostic_only_library_perfile_distinct_sum,trimmed_outputs_diagnostic_only_library_raw_vector_rows,trimmed_outputs_diagnostic_only_library_unique_vs_stream_disagree_files,trimmed_outputs_diagnostic_only_library_within_file_duplicates,trimmed_outputs_diagnostic_only_missing_original_keys,trimmed_outputs_diagnostic_only_overlapping_range_pairs,trimmed_outputs_diagnostic_only_planned_entries,trimmed_outputs_diagnostic_only_stream_distinct_union,trimmed_outputs_diagnostic_only_stream_reference_drop,trimmed_outputs_diagnostic_only_stream_reference_rows,true_original_union
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,4,0,4,2048,2048,16384,0,0,16384,32,2048,32,16384,512,16384,16384,16384,32,0,32,1800,1800,16383,1,0,16725,256,1800,256,8,2,0,32,0,0,16381,0,3,16381,16384,0,3,3,0,16384,16381,3,16381,fixed_original_set_remerge,1,512,0,0,2,0,32,0,0,16381,0,3,16381,16384,0,3,3,0,16384,16381,3,16381,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,32,0,32,1800,1800,16383,1,0,16725,256,1800,256,16384,512,16384,16384,16384,32,0,32,1780,1780,16383,1,0,16729,256,1799,256,8,17,1,32,0,0,15655,0,729,15656,16384,0,728,729,1,16384,15655,728,15656,fixed_original_set_remerge,2,512,0,0,17,0,32,0,0,15656,0,728,15656,16384,0,728,728,0,16384,15656,728,15656,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,32,0,32,1780,1780,16383,1,0,16729,256,1799,256,16384,512,16384,16384,16384,32,0,32,1773,1776,16381,3,0,16769,256,1801,256,8,17,7,32,0,0,15472,0,912,15479,16384,0,905,912,7,16384,15472,905,15479,fixed_original_set_remerge,3,512,0,0,17,0,32,0,0,15475,0,909,15475,16384,0,909,909,0,16384,15475,909,15475,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,32,0,32,1773,1776,16381,3,0,16769,256,1801,256,16384,512,16384,16384,16384,32,0,32,1773,1775,16381,3,0,16757,256,1799,256,8,19,10,32,0,0,15443,0,941,15453,16384,0,931,941,10,16384,15443,931,15453,fixed_original_set_remerge,4,512,0,0,19,0,32,0,0,15451,0,933,15451,16384,0,933,933,0,16384,15451,933,15451,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,4,0,4,8192,8192,16384,0,0,16384,32,8192,32,16384,2048,16384,16384,16384,32,0,32,7808,7808,16384,0,0,16493,256,7815,256,8,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,0,16384,16379,5,16379,fixed_original_set_remerge,1,512,0,0,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,0,16384,16379,5,16379,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,32,0,32,7808,7808,16384,0,0,16493,256,7815,256,16359,2048,16359,16384,16359,32,0,32,7778,7780,16384,0,0,16495,256,7812,256,8,18,2,32,0,0,16068,0,316,16070,16359,0,289,316,2,16359,16068,289,16070,fixed_original_set_remerge,2,512,-25,25,18,0,32,0,0,16068,0,316,16068,16359,0,291,316,0,16359,16068,291,16068,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16359,32,0,32,7778,7780,16384,0,0,16495,256,7812,256,16359,2048,16359,16384,16359,32,0,32,7778,7779,16384,0,0,16497,256,7809,256,8,19,2,32,0,0,16015,0,369,16017,16359,0,342,369,2,16359,16015,342,16017,fixed_original_set_remerge,3,512,-25,0,19,0,32,0,0,16015,0,369,16015,16359,0,344,369,0,16359,16015,344,16015,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16359,32,0,32,7778,7779,16384,0,0,16497,256,7809,256,16359,2048,16359,16384,16359,32,0,32,7764,7768,16384,0,0,16508,256,7810,256,8,18,10,32,0,0,15995,0,389,16005,16359,0,354,389,10,16359,15995,354,16005,fixed_original_set_remerge,4,512,-25,0,18,0,32,0,0,16000,0,384,16000,16359,0,359,384,0,16359,16000,359,16000,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,4,0,0,16384,16384,16384,0,0,16384,0,16384,32,16384,16384,16384,16384,16384,32,0,0,16383,16383,16383,1,0,16383,0,16383,256,8,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,0,16384,16382,2,16382,fixed_original_set_remerge,1,512,0,0,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,0,16384,16382,2,16382,16384
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",disjoint_interleaved,0,8,16384,32,0,0,16383,16383,16383,1,0,16383,0,16383,256,16383,16384,16383,16384,16383,32,0,0,16382,16382,16382,2,0,16382,0,16382,256,8,1,0,32,0,0,16382,0,2,16382,16383,0,1,2,0,16383,16382,1,16382,fixed_original_set_remerge,2,512,-1,1,1,0,32,0,0,16382,0,2,16382,16383,0,1,2,0,16383,16382,1,16382,16384
