case,kmv_samples,round,true_original_union,input_descriptor_entries,merged_target,output_descriptor_entries,output_global_sample_entries,output_global_sample_distinct_union,output_global_empty_sketches,output_global_incomplete_sketches,output_range_sample_entries,output_range_estimated_entry_sum,output_range_empty_sketches,output_range_incomplete_sketches,output_original_keys_outside_all_descriptor_ranges,raw_outputs_capacity_violations,trimmed_outputs_diagnostic_only_library_perfile_distinct_sum,trimmed_outputs_diagnostic_only_library_distinct_union,trimmed_outputs_diagnostic_only_library_missing_original_keys,trimmed_outputs_diagnostic_only_library_invented_keys
disjoint_interleaved,512,1,16384,16384,16384,16384,1800,1800,0,32,1800,16725,0,256,1,2,16381,16381,3,0
disjoint_interleaved,512,2,16384,16384,16384,16384,1780,1780,0,32,1799,16729,0,256,1,17,15656,15656,728,0
disjoint_interleaved,512,3,16384,16384,16384,16384,1776,1773,0,32,1801,16769,0,256,3,17,15475,15475,909,0
disjoint_interleaved,512,4,16384,16384,16384,16384,1775,1773,0,32,1799,16757,0,256,3,19,15451,15451,933,0
disjoint_interleaved,2048,1,16384,16384,16384,16384,7808,7808,0,32,7815,16493,0,256,0,2,16379,16379,5,0
disjoint_interleaved,2048,2,16384,16384,16359,16359,7780,7778,0,32,7812,16495,0,256,0,18,16068,16068,316,0
disjoint_interleaved,2048,3,16384,16359,16359,16359,7779,7778,0,32,7809,16497,0,256,0,19,16015,16015,369,0
disjoint_interleaved,2048,4,16384,16359,16359,16359,7768,7764,0,32,7810,16508,0,256,0,18,16000,16000,384,0
disjoint_interleaved,16384,1,16384,16384,16384,16384,16383,16383,0,0,16383,16383,0,0,1,1,16382,16382,2,0
disjoint_interleaved,16384,2,16384,16384,16383,16383,16382,16382,0,0,16382,16382,0,0,2,1,16382,16382,2,0
disjoint_interleaved,16384,3,16384,16383,16382,16382,16383,16382,0,0,16383,16383,0,0,0,6,16372,16372,12,0
disjoint_interleaved,16384,4,16384,16382,16382,16382,16387,16381,0,0,16387,16387,0,0,1,3,16349,16349,35,0
hot_shared_core,512,1,8192,16384,8537,8537,938,938,0,17,961,8736,0,136,10,4,8307,8307,5504,5619
hot_shared_core,512,2,8192,8537,8537,8537,925,925,0,17,956,8712,0,136,10,2,8401,8401,5553,5762
hot_shared_core,512,3,8192,8537,8537,8537,920,920,0,17,955,8723,0,136,11,2,8349,8349,5582,5739
hot_shared_core,512,4,8192,8537,8537,8537,912,911,0,17,952,8742,0,136,6,2,8356,8356,5579,5743
hot_shared_core,2048,1,8192,16384,8315,8315,3911,3911,0,17,3921,8366,0,136,11,4,8277,8277,5492,5577
hot_shared_core,2048,2,8192,8315,8287,8287,3885,3885,0,17,3913,8350,0,136,9,3,8240,8240,5522,5570
hot_shared_core,2048,3,8192,8287,8276,8276,3882,3882,0,17,3908,8349,0,136,9,3,8217,8217,5506,5531
hot_shared_core,2048,4,8192,8276,8267,8267,3876,3875,0,17,3901,8339,0,136,12,3,8204,8204,5492,5504
hot_shared_core,16384,1,8192,16384,8192,8192,8182,8182,0,0,8182,8182,0,0,10,0,8192,8192,5528,5528
hot_shared_core,16384,2,8192,8192,8182,8182,8173,8173,0,0,8173,8173,0,0,10,1,8181,8181,5341,5330
hot_shared_core,16384,3,8192,8182,8173,8173,8164,8164,0,0,8164,8164,0,0,9,2,8170,8170,5380,5358
hot_shared_core,16384,4,8192,8173,8164,8164,8154,8153,0,0,8154,8154,0,0,12,2,8158,8158,5320,5286
gapped_50,512,1,8192,16384,8184,8184,913,913,0,16,934,10765,21,128,11,0,8180,8180,5561,5549
gapped_50,512,2,8192,8184,7986,7986,899,899,0,16,926,11803,47,128,12,0,7986,7986,6762,6556
gapped_50,512,3,8192,7986,7963,7963,896,896,0,16,916,11741,44,128,12,0,7963,7963,6822,6593
gapped_50,512,4,8192,7963,7941,7941,884,884,0,16,910,11692,45,128,14,0,7941,7941,6848,6597
gapped_50,2048,1,8192,16384,8148,8148,3914,3914,0,16,3973,9476,10,128,10,0,8148,8148,5420,5376
gapped_50,2048,2,8192,8148,8148,8148,3928,3928,0,16,3958,10541,33,128,12,0,8148,8148,6095,6051
gapped_50,2048,3,8192,8148,8138,8138,3916,3916,0,16,3943,10704,35,128,11,0,8138,8138,6156,6102
gapped_50,2048,4,8192,8138,8124,8124,3895,3895,0,16,3926,11667,48,128,12,0,8124,8124,6198,6130
gapped_50,16384,1,8192,16384,8192,8192,8191,8191,0,0,8191,8191,0,0,1,0,8192,8192,5841,5841
gapped_50,16384,2,8192,8192,8191,8191,8191,8191,0,0,8191,8191,0,0,0,0,8191,8191,5496,5495
gapped_50,16384,3,8192,8191,8191,8191,8184,8184,0,0,8184,8184,0,0,7,0,8191,8191,5497,5496
gapped_50,16384,4,8192,8191,8184,8184,8178,8178,0,0,8178,8178,0,0,7,0,8184,8184,5507,5499
