case,error,estimate,input_entry_sum,key_offset,kmv_samples,offset_index,record_type,relative_error,true_union
disjoint_interleaved,0,16384,16384,0,512,0,single_merge_hash_offset,0,16384
disjoint_interleaved,-392,15992,16384,10000019,512,1,single_merge_hash_offset,-0.02392578125,16384
disjoint_interleaved,-605,15779,16384,20000038,512,2,single_merge_hash_offset,-0.03692626953125,16384
disjoint_interleaved,-154,16230,16384,30000057,512,3,single_merge_hash_offset,-0.0093994140625,16384
disjoint_interleaved,0,16384,16384,40000076,512,4,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,50000095,512,5,single_merge_hash_offset,0,16384
disjoint_interleaved,-128,16256,16384,60000114,512,6,single_merge_hash_offset,-0.0078125,16384
disjoint_interleaved,0,16384,16384,70000133,512,7,single_merge_hash_offset,0,16384
disjoint_interleaved,-105,16279,16384,80000152,512,8,single_merge_hash_offset,-0.00640869140625,16384
disjoint_interleaved,0,16384,16384,90000171,512,9,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,100000190,512,10,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,110000209,512,11,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,120000228,512,12,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,130000247,512,13,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,140000266,512,14,single_merge_hash_offset,0,16384
disjoint_interleaved,-247,16137,16384,150000285,512,15,single_merge_hash_offset,-0.01507568359375,16384
disjoint_interleaved,-615,15769,16384,160000304,512,16,single_merge_hash_offset,-0.03753662109375,16384
disjoint_interleaved,0,16384,16384,170000323,512,17,single_merge_hash_offset,0,16384
disjoint_interleaved,-508,15876,16384,180000342,512,18,single_merge_hash_offset,-0.031005859375,16384
disjoint_interleaved,-63,16321,16384,190000361,512,19,single_merge_hash_offset,-0.00384521484375,16384
disjoint_interleaved,0,16384,16384,200000380,512,20,single_merge_hash_offset,0,16384
disjoint_interleaved,-793,15591,16384,210000399,512,21,single_merge_hash_offset,-0.04840087890625,16384
disjoint_interleaved,0,16384,16384,220000418,512,22,single_merge_hash_offset,0,16384
disjoint_interleaved,-316,16068,16384,230000437,512,23,single_merge_hash_offset,-0.019287109375,16384
disjoint_interleaved,0,16384,16384,240000456,512,24,single_merge_hash_offset,0,16384
disjoint_interleaved,-238,16146,16384,250000475,512,25,single_merge_hash_offset,-0.0145263671875,16384
disjoint_interleaved,0,16384,16384,260000494,512,26,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,270000513,512,27,single_merge_hash_offset,0,16384
disjoint_interleaved,-339,16045,16384,280000532,512,28,single_merge_hash_offset,-0.02069091796875,16384
disjoint_interleaved,0,16384,16384,290000551,512,29,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,300000570,512,30,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,310000589,512,31,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,0,2048,0,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,10000019,2048,1,single_merge_hash_offset,0,16384
disjoint_interleaved,-297,16087,16384,20000038,2048,2,single_merge_hash_offset,-0.01812744140625,16384
disjoint_interleaved,0,16384,16384,30000057,2048,3,single_merge_hash_offset,0,16384
disjoint_interleaved,0,16384,16384,40000076,2048,4,single_merge_hash_offset,0,16384
disjoint_interleaved,-138,16246,16384,50000095,2048,5,single_merge_hash_offset,-0.0084228515625,16384
