dataset	plr_error	target_entries	file	min	max	entries	capacity	materialized_unique	range_entries_sum	bucket_overlap_pairs
dense_1	0	2	0	0	0	1	1	1	1	0
dense_1	0	7	0	0	0	1	1	1	1	0
dense_1	0	16	0	0	0	1	1	1	1	0
dense_1	8	2	0	0	0	1	1	1	1	0
dense_1	8	7	0	0	0	1	1	1	1	0
dense_1	8	16	0	0	0	1	1	1	1	0
dense_3	0	2	0	0	1	2	2	2	2	0
dense_3	0	2	1	2	2	1	1	1	1	0
dense_3	0	7	0	0	2	3	3	3	3	0
dense_3	0	16	0	0	2	3	3	3	3	0
dense_3	8	2	0	0	1	2	2	2	2	0
dense_3	8	2	1	2	2	1	1	1	1	0
dense_3	8	7	0	0	2	3	3	3	3	0
dense_3	8	16	0	0	2	3	3	3	3	0
dense_5	0	2	0	0	1	2	2	2	2	0
dense_5	0	2	1	2	3	2	2	2	2	0
dense_5	0	2	2	4	4	1	1	1	1	0
dense_5	0	7	0	0	4	5	5	5	5	0
dense_5	0	16	0	0	4	5	5	5	5	0
dense_5	8	2	0	0	1	2	2	2	2	0
dense_5	8	2	1	2	3	2	2	2	2	0
dense_5	8	2	2	4	4	1	1	1	1	0
dense_5	8	7	0	0	4	5	5	5	5	0
dense_5	8	16	0	0	4	5	5	5	5	0
singleton_fallback	0	2	0	0	100	2	101	2	2	0
singleton_fallback	0	2	1	200	200	1	1	1	1	0
singleton_fallback	0	7	0	0	200	3	201	3	3	0
singleton_fallback	0	16	0	0	200	3	201	3	3	0
singleton_fallback	8	2	0	0	100	2	101	2	2	0
singleton_fallback	8	2	1	200	200	1	1	1	1	0
singleton_fallback	8	7	0	0	200	3	201	3	3	0
singleton_fallback	8	16	0	0	200	3	201	3	3	0
random_0	0	2	0	0	1	2	2	2	2	0
random_0	0	2	1	3	4	2	2	2	2	0
random_0	0	2	2	5	7	2	3	2	2	0
random_0	0	2	3	8	9	2	2	2	2	0
random_0	0	2	4	14	16	2	3	2	2	0
random_0	0	2	5	19	20	2	2	2	1	0
random_0	0	2	6	21	22	2	2	2	2	0
random_0	0	2	7	23	24	2	2	2	2	0
random_0	0	2	8	26	27	2	2	2	1	0
random_0	0	2	9	28	29	2	2	2	2	0
random_0	0	2	10	31	41	2	11	2	3	0
random_0	0	2	11	44	46	2	3	2	1	0
random_0	0	2	12	48	58	2	11	2	3	0
random_0	0	2	13	62	67	2	6	2	1	0
random_0	0	2	14	68	71	2	4	2	2	0
random_0	0	2	15	72	75	2	4	2	2	0
random_0	0	2	16	77	78	2	2	2	1	0
random_0	0	2	17	79	80	2	2	2	2	0
random_0	0	2	18	81	81	2	1	1	2	1
random_0	0	2	19	82	84	2	3	2	3	0
