dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
dense_1	0	2	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	0	7	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	0	16	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	2	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	7	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	16	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_3	0	2	1	3	3	0	2	2	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	0	7	1	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	0	16	1	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	8	2	1	3	3	0	2	2	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	8	7	1	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	8	16	1	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_5	0	2	1	5	5	0	4	3	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	0	7	1	5	5	0	4	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	0	16	1	5	5	0	4	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	8	2	1	5	5	0	4	3	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	8	7	1	5	5	0	4	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	8	16	1	5	5	0	4	1	5	0	0	5	0	0	0	0	0	5	0	5
singleton_fallback	0	2	3	3	3	0	2	2	3	0	0	3	0	0	0	0	0	3	0	3
singleton_fallback	0	7	3	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
singleton_fallback	0	16	3	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
singleton_fallback	8	2	3	3	3	0	2	2	3	0	0	3	0	0	0	0	0	3	0	3
singleton_fallback	8	7	3	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
singleton_fallback	8	16	3	3	3	0	2	1	3	0	0	3	0	0	0	0	0	3	0	3
random_0	0	2	3	49	49	0	48	25	49	1	1	47	1	15	13	6	10	45	1	43
random_0	0	7	3	49	49	0	48	7	49	0	0	48	1	14	13	3	4	46	0	46
random_0	0	16	3	49	49	0	48	4	49	0	0	48	1	14	13	1	2	48	0	48
random_0	8	2	3	49	49	0	48	25	49	1	0	48	1	22	21	12	14	38	1	37
random_0	8	7	3	49	49	0	48	7	49	0	0	48	1	22	21	5	7	44	0	44
random_0	8	16	3	49	49	0	48	4	49	0	0	48	1	22	21	0	3	49	0	49
gapped_0	0	2	3	49	49	0	48	25	49	2	2	45	2	4	0	3	1	50	2	46
gapped_0	0	7	3	49	49	0	48	7	49	1	0	48	1	3	2	1	2	49	1	48
gapped_0	0	16	3	49	49	0	48	4	49	0	0	48	1	3	2	0	2	49	0	49
gapped_0	8	2	3	49	49	0	48	25	49	1	0	48	1	37	36	17	22	33	1	32
gapped_0	8	7	3	49	49	0	48	7	49	0	0	48	1	37	36	0	7	49	0	49
gapped_0	8	16	3	49	49	0	48	4	49	0	0	48	1	37	36	4	3	45	0	45
random_1	0	2	3	50	50	0	49	25	50	0	5	45	0	12	7	4	7	51	0	46
random_1	0	7	3	50	50	0	49	8	50	1	0	48	2	10	8	2	5	50	2	48
random_1	0	16	3	50	50	0	49	4	50	0	1	49	0	10	9	0	4	51	0	50
random_1	8	2	3	50	50	0	49	25	50	0	0	50	0	23	23	12	16	38	0	38
random_1	8	7	3	50	50	0	49	8	50	0	0	50	0	23	23	4	6	46	0	46
random_1	8	16	3	50	50	0	49	4	50	0	0	50	0	23	23	1	3	49	0	49
gapped_1	0	2	3	50	50	0	49	25	50	1	3	46	1	4	0	3	1	51	1	47
gapped_1	0	7	3	50	50	0	49	8	50	1	0	49	1	4	3	1	2	50	1	49
gapped_1	0	16	3	50	50	0	49	4	50	0	1	49	0	4	3	0	1	51	0	50
gapped_1	8	2	3	50	50	0	49	25	50	0	1	49	0	38	37	11	22	40	0	39
gapped_1	8	7	3	50	50	0	49	8	50	0	0	49	1	38	37	0	7	50	0	50
gapped_1	8	16	3	50	50	0	49	4	50	0	1	49	0	38	37	5	3	46	0	45
random_2	0	2	3	51	51	0	50	26	51	1	1	49	1	14	12	8	9	45	1	43
random_2	0	7	3	51	51	0	50	8	51	0	0	51	0	12	12	4	4	47	0	47
