dataset	plr_error	target_entries	file	min	max	entries	capacity	materialized_unique	range_entries_sum	bucket_overlap_pairs
dense_1	0	2	0	0	0	1	1	1	1	0
dense_1	0	7	0	0	0	1	1	1	1	0
dense_1	0	16	0	0	0	1	1	1	1	0
dense_1	8	2	0	0	0	1	1	1	1	0
dense_1	8	7	0	0	0	1	1	1	1	0
dense_1	8	16	0	0	0	1	1	1	1	0
dense_3	0	2	0	0	1	2	2	2	2	0
dense_3	0	2	1	1	2	1	2	1	2	0
dense_3	0	7	0	0	2	3	3	3	3	0
dense_3	0	16	0	0	2	3	3	3	3	0
dense_3	8	2	0	0	1	2	2	2	2	0
dense_3	8	2	1	1	2	1	2	1	2	0
dense_3	8	7	0	0	2	3	3	3	3	0
dense_3	8	16	0	0	2	3	3	3	3	0
dense_5	0	2	0	0	1	2	2	2	2	0
dense_5	0	2	1	2	2	2	1	1	2	1
dense_5	0	2	2	3	4	1	2	1	2	0
dense_5	0	7	0	0	4	5	5	5	5	0
dense_5	0	16	0	0	4	5	5	5	5	0
dense_5	8	2	0	0	1	2	2	2	2	0
dense_5	8	2	1	2	2	2	1	1	2	1
dense_5	8	2	2	3	4	1	2	1	2	0
dense_5	8	7	0	0	4	5	5	5	5	0
dense_5	8	16	0	0	4	5	5	5	5	0
singleton_fallback	0	2	0	0	67	2	68	2	1	0
singleton_fallback	0	2	1	133	200	1	68	1	1	0
singleton_fallback	0	7	0	0	200	3	201	3	3	0
singleton_fallback	0	16	0	0	200	3	201	3	3	0
singleton_fallback	8	2	0	0	67	2	68	2	1	0
singleton_fallback	8	2	1	133	200	1	68	1	1	0
singleton_fallback	8	7	0	0	200	3	201	3	3	0
singleton_fallback	8	16	0	0	200	3	201	3	3	0
random_0	0	2	0	0	1	2	2	2	2	0
random_0	0	2	1	3	4	2	2	2	2	0
random_0	0	2	2	5	6	2	2	2	2	0
random_0	0	2	3	8	9	2	2	2	2	0
random_0	0	2	4	14	15	2	2	2	2	0
random_0	0	2	5	18	20	2	3	2	1	0
random_0	0	2	6	21	21	2	1	1	2	1
random_0	0	2	7	22	23	2	2	2	2	0
random_0	0	2	8	25	27	2	3	2	1	0
random_0	0	2	9	28	29	2	2	2	2	0
random_0	0	2	10	30	40	2	11	2	2	0
random_0	0	2	11	43	45	2	3	2	1	0
random_0	0	2	12	47	52	2	6	2	1	0
random_0	0	2	13	59	66	2	8	2	2	0
random_0	0	2	14	67	70	2	4	2	1	0
random_0	0	2	15	71	72	2	2	2	2	0
random_0	0	2	16	76	77	2	2	2	2	0
random_0	0	2	17	79	79	2	1	1	2	1
random_0	0	2	18	80	81	2	2	2	2	0
random_0	0	2	19	82	83	2	2	2	2	0
