dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
dense_1	0	2	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	0	7	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	0	16	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	2	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	7	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_1	8	16	1	1	1	0.5	0.5	1	1	0	0	1	0	0	0	0	0	1	0	1
dense_3	0	2	1	3	3	0	3	2	3	0	1	2	0	1	0	0	1	4	0	3
dense_3	0	7	1	3	3	0	3	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	0	16	1	3	3	0	3	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	8	2	1	3	3	0	3	2	3	0	1	2	0	1	0	0	1	4	0	3
dense_3	8	7	1	3	3	0	3	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_3	8	16	1	3	3	0	3	1	3	0	0	3	0	0	0	0	0	3	0	3
dense_5	0	2	1	5	5	0	5	3	5	1	0	4	1	1	0	0	1	6	1	5
dense_5	0	7	1	5	5	0	5	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	0	16	1	5	5	0	5	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	8	2	1	5	5	0	5	3	5	1	0	4	1	1	0	0	1	6	1	5
dense_5	8	7	1	5	5	0	5	1	5	0	0	5	0	0	0	0	0	5	0	5
dense_5	8	16	1	5	5	0	5	1	5	0	0	5	0	0	0	0	0	5	0	5
singleton_fallback	0	2	3	3	3	0	3	2	3	0	0	3	0	2	2	1	1	2	0	2
singleton_fallback	0	7	3	3	3	0	3	1	3	0	0	3	0	2	2	0	0	3	0	3
singleton_fallback	0	16	3	3	3	0	3	1	3	0	0	3	0	2	2	0	0	3	0	3
singleton_fallback	8	2	3	3	3	0	3	2	3	0	0	3	0	2	2	1	1	2	0	2
singleton_fallback	8	7	3	3	3	0	3	1	3	0	0	3	0	2	2	0	0	3	0	3
singleton_fallback	8	16	3	3	3	0	3	1	3	0	0	3	0	2	2	0	0	3	0	3
random_0	0	2	3	49	49	0	49	25	49	3	0	46	3	17	14	9	8	43	3	40
random_0	0	7	3	49	49	0	49	7	49	0	1	47	1	16	14	3	4	47	0	46
random_0	0	16	3	49	49	0	49	4	49	0	0	47	2	16	14	2	3	47	0	47
random_0	8	2	3	49	49	0	49	25	49	0	2	47	0	24	22	9	12	42	0	40
random_0	8	7	3	49	49	0	49	7	49	0	0	48	1	23	22	3	6	46	0	46
random_0	8	16	3	49	49	0	49	4	49	0	1	47	1	24	22	0	4	50	0	49
gapped_0	0	2	3	49	49	0	49	25	49	1	5	43	1	6	0	3	3	52	1	46
gapped_0	0	7	3	49	49	0	49	7	49	1	0	48	1	4	3	1	2	49	1	48
gapped_0	0	16	3	49	49	0	49	4	49	0	1	47	1	5	3	0	3	50	0	49
gapped_0	8	2	3	49	49	0	49	25	49	0	1	48	0	38	37	13	23	37	0	36
gapped_0	8	7	3	49	49	0	49	7	49	0	0	49	0	37	37	0	7	49	0	49
gapped_0	8	16	3	49	49	0	49	4	49	0	1	48	0	38	37	6	4	44	0	43
random_1	0	2	3	50	50	0	50	25	50	1	3	46	1	14	10	5	8	49	1	45
random_1	0	7	3	50	50	0	50	8	50	1	0	47	3	14	11	4	6	48	2	46
random_1	0	16	3	50	50	0	50	4	50	0	0	50	0	13	13	0	3	50	0	50
random_1	8	2	3	50	50	0	50	25	50	0	0	50	0	22	22	11	16	39	0	39
random_1	8	7	3	50	50	0	50	8	50	0	0	50	0	22	22	2	7	48	0	48
random_1	8	16	3	50	50	0	50	4	50	0	0	50	0	22	22	1	4	49	0	49
gapped_1	0	2	3	50	50	0	50	25	50	1	3	46	1	4	0	1	3	53	1	49
gapped_1	0	7	3	50	50	0	50	8	50	0	1	49	0	4	3	0	5	51	0	50
gapped_1	0	16	3	50	50	0	50	4	50	0	0	50	0	3	3	0	2	50	0	50
gapped_1	8	2	3	50	50	0	50	25	50	0	0	50	0	39	39	21	21	29	0	29
gapped_1	8	7	3	50	50	0	50	8	50	0	1	49	0	40	39	0	8	51	0	50
gapped_1	8	16	3	50	50	0	50	4	50	0	0	50	0	39	39	7	3	43	0	43
random_2	0	2	3	51	51	0	51	26	51	1	0	50	1	15	14	10	13	42	1	41
random_2	0	7	3	51	51	0	51	8	51	0	0	50	1	15	14	3	6	48	0	48
random_2	0	16	3	51	51	0	51	4	51	0	0	51	0	15	15	1	3	50	0	50
random_2	8	2	3	51	51	0	51	26	51	0	1	50	0	24	23	10	14	42	0	41
random_2	8	7	3	51	51	0	51	8	51	0	0	51	0	23	23	6	5	45	0	45
random_2	8	16	3	51	51	0	51	4	51	0	0	51	0	23	23	2	2	49	0	49
gapped_2	0	2	3	51	51	0	51	26	51	2	4	45	2	6	0	3	3	54	2	48
gapped_2	0	7	3	51	51	0	51	8	51	0	0	51	0	2	2	0	2	51	0	51
gapped_2	0	16	3	51	51	0	51	4	51	0	0	51	0	2	2	0	0	51	0	51
gapped_2	8	2	3	51	51	0	51	26	51	0	1	50	0	42	41	15	24	37	0	36
