system	bitmap	workload	arm	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
baseline	n/a	A	b01	207205522.0	690630.0	4.4749	86.759	3706.8
baseline	n/a	A	b02	209244517.0	697434.0	4.4992	86.777	3761.4
baseline	n/a	A	b03	206781828.0	689211.0	4.4665	86.755	3729.4
baseline	n/a	A	n01	208699627.0	695604.0	4.4889	86.772	3769.1
baseline	n/a	A	n02	211829248.0	706024.0	4.4556	86.799	3774.4
baseline	n/a	A	n03	208730594.0	695695.0	4.5009	86.772	3653.4
baseline	n/a	A	n04	217344971.0	724412.0	4.4292	86.847	3796.7
baseline	n/a	A	r01	206999313.0	689933.0	4.435	86.757	3753.8
baseline	n/a	A	r02	211231939.0	704052.0	4.4701	86.794	3727.0
baseline	n/a	A	run3	211468685.0	704837.0	4.436	86.796	3772.5
F2Load PLR	off	A	f01	208354192.0	694449.0	4.4729	86.75	3815.2
F2Load PLR	off	A	f02	210814666.0	702653.0	4.4029	86.768	3870.3
F2Load PLR	off	A	f03	204547263.0	681749.0	4.4421	86.707	3825.2
F2Load PLR	off	A	f04	208726440.0	695677.0	4.4307	86.752	3793.6
F2Load PLR	off	A	f05	208011797.0	693314.0	4.4391	86.744	3881.0
F2Load PLR	off	A	f06	211942980.0	706421.0	4.3795	86.788	3884.7
F2Load PLR	off	A	f07	204597360.0	681932.0	4.4777	86.722	3761.3
F2Load PLR	off	A	f08	209985782.0	699867.0	4.4713	86.781	3812.8
F2Load PLR	off	A	f09	209792149.0	699255.0	4.4147	86.751	3830.3
F2Load PLR	off	A	f10	208624239.0	695346.0	4.4599	86.755	3761.2
F2Load PLR	off	A	f11	207694001.0	692260.0	4.489	86.749	3792.7
F2Load PLR	off	A	f12	208252703.0	694110.0	4.4501	86.761	3744.4
F2Load PLR	off	A	f13	211998794.0	706600.0	4.439	86.777	3866.2
F2Load PLR	off	A	f14	208568820.0	695170.0	4.4373	86.759	3793.7
F2Load PLR	off	A	f15	207368026.0	691173.0	4.4284	86.753	3773.4
F2Load exact membership	on	A	e01	211893819.0	706230.0	4.4069	86.689	3851.3
F2Load exact membership	on	A	e02	208811581.0	695976.0	4.4342	86.659	3833.0
F2Load exact membership	on	A	e03	204963877.0	683156.0	4.4539	86.63	3898.2
F2Load exact membership	on	A	e04	210014381.0	699998.0	4.4536	86.668	3879.9
F2Load exact membership	on	A	e05	212054204.0	706782.0	4.3946	86.684	3881.7
F2Load exact membership	on	A	e06	208082638.0	693524.0	4.441	86.653	3813.5
F2Load exact membership	on	A	e07	207165007.0	690490.0	4.4418	86.653	3844.7
F2Load exact membership	on	A	e08	207107984.0	690294.0	4.4464	86.636	3882.2
F2Load exact membership	on	A	e09	213310328.0	710973.0	4.4584	86.716	3834.1
F2Load exact membership	on	A	e10	203131750.0	677058.0	4.4664	86.612	3779.9
baseline	n/a	B	b01	318395530.0	1061213.0	3.8788	83.55	508.0
baseline	n/a	B	b02	309303353.0	1030912.0	3.9788	83.502	513.4
baseline	n/a	B	b03	305770547.0	1019138.0	3.9947	83.484	522.0
baseline	n/a	B	n01	311167813.0	1037150.0	3.9037	83.512	506.5
baseline	n/a	B	n02	308668054.0	1028822.0	3.9457	83.499	517.5
baseline	n/a	B	n03	317259774.0	1057433.0	3.9089	83.544	508.9
baseline	n/a	B	n04	319588943.0	1065193.0	3.8781	83.556	513.5
baseline	n/a	B	r01	309701640.0	1032260.0	3.9707	83.504	511.5
baseline	n/a	B	r02	309451373.0	1031433.0	3.9616	83.503	518.9
baseline	n/a	B	run3	313997005.0	1046564.0	3.9105	83.527	510.3
F2Load PLR	off	B	f01	317141064.0	1057056.0	3.8928	83.52	536.4
F2Load PLR	off	B	f02	311560247.0	1038428.0	3.9498	83.483	534.3
F2Load PLR	off	B	f03	313516547.0	1044963.0	3.9164	83.49	544.1
F2Load PLR	off	B	f04	310984323.0	1036490.0	3.9511	83.491	525.1
F2Load PLR	off	B	f05	315856825.0	1052770.0	3.9779	83.51	537.1
F2Load PLR	off	B	f06	311803698.0	1039271.0	3.9376	83.501	531.7
F2Load PLR	off	B	f07	309346964.0	1031087.0	3.9733	83.486	532.7
F2Load PLR	off	B	f08	315128076.0	1050345.0	4.0422	83.538	539.7
F2Load PLR	off	B	f09	313547846.0	1045066.0	3.9028	83.485	528.2
F2Load PLR	off	B	f10	313069629.0	1043452.0	3.8953	83.503	518.6
F2Load PLR	off	B	f11	313615565.0	1045281.0	3.9103	83.506	533.0
F2Load PLR	off	B	f12	307958887.0	1026435.0	3.9692	83.487	534.4
F2Load PLR	off	B	f13	317814721.0	1059288.0	3.9759	83.524	544.5
F2Load PLR	off	B	f14	314681219.0	1048810.0	3.8846	83.52	550.8
F2Load PLR	off	B	f15	312109169.0	1040266.0	3.9508	83.512	541.8
F2Load exact membership	on	B	e01	314075874.0	1046838.0	3.8921	83.39	546.0
F2Load exact membership	on	B	e02	314492428.0	1048196.0	3.9357	83.388	547.0
F2Load exact membership	on	B	e03	307041527.0	1023376.0	4.0066	83.355	558.6
F2Load exact membership	on	B	e04	311668176.0	1038804.0	3.9959	83.371	557.6
F2Load exact membership	on	B	e05	310573205.0	1035158.0	3.9473	83.363	536.7
F2Load exact membership	on	B	e06	316583301.0	1055157.0	3.9104	83.4	545.6
F2Load exact membership	on	B	e07	314760408.0	1049106.0	3.9374	83.401	547.7
F2Load exact membership	on	B	e08	312896339.0	1042913.0	3.9404	83.369	549.4
F2Load exact membership	on	B	e09	312082839.0	1040146.0	3.9253	83.396	552.4
F2Load exact membership	on	B	e10	319451570.0	1064727.0	3.9295	83.42	550.3
baseline	n/a	C	b01	479123996.0	1596912.0	3.6244	60.292	
baseline	n/a	C	b02	492920647.0	1642937.0	3.3778	60.293	
baseline	n/a	C	b03	475682943.0	1585459.0	3.7315	60.292	
baseline	n/a	C	n01	478276874.0	1594123.0	3.6498	60.292	
baseline	n/a	C	n02	486042790.0	1619969.0	3.5872	60.293	
baseline	n/a	C	n03	488270131.0	1627399.0	3.4637	60.293	
baseline	n/a	C	n04	490623562.0	1635289.0	3.3177	60.293	
baseline	n/a	C	r01	479933669.0	1599628.0	3.646	60.292	
baseline	n/a	C	r02	478767704.0	1595775.0	3.6741	60.292	
baseline	n/a	C	run3	453369970.0	1511066.0	4.0253	60.292	
F2Load PLR	off	C	f01	342940990.0	1143040.0	4.2468	61.9	
F2Load PLR	off	C	f02	453174009.0	1510456.0	4.1207	62.292	
F2Load PLR	off	C	f03	464385742.0	1547810.0	3.8613	62.224	
F2Load PLR	off	C	f04	493448768.0	1644652.0	3.2485	62.578	
F2Load PLR	off	C	f05	463246231.0	1544004.0	3.9516	61.845	
F2Load PLR	off	C	f06	435483685.0	1451516.0	3.8537	66.938	
F2Load PLR	off	C	f07	449155374.0	1497025.0	3.9179	65.029	
F2Load PLR	off	C	f08	423991216.0	1413181.0	4.171	64.572	
F2Load PLR	off	C	f09	393600129.0	1311868.0	4.1085	61.686	
F2Load PLR	off	C	f10	491140282.0	1636981.0	3.2447	66.473	
F2Load PLR	off	C	f11	465521361.0	1551609.0	3.9745	61.791	
F2Load PLR	off	C	f12	413639531.0	1378685.0	3.932	61.064	
F2Load PLR	off	C	f13	420293078.0	1400885.0	4.1632	61.306	
F2Load PLR	off	C	f14	450195467.0	1500540.0	4.0561	65.095	
F2Load PLR	off	C	f15	370417913.0	1234628.0	4.1341	63.4	
F2Load exact membership	on	C	e01	494820570.0	1649273.0	3.3317	60.051	
F2Load exact membership	on	C	e02	482085261.0	1606787.0	3.5853	59.609	
F2Load exact membership	on	C	e03	426326309.0	1420955.0	4.0359	60.048	
F2Load exact membership	on	C	e04	422670845.0	1408777.0	4.2591	60.053	
F2Load exact membership	on	C	e05	492279369.0	1640783.0	3.2744	60.038	
F2Load exact membership	on	C	e06	487392366.0	1624481.0	3.4827	60.07	
F2Load exact membership	on	C	e07	490024184.0	1633189.0	3.4436	60.064	
F2Load exact membership	on	C	e08	490236711.0	1634011.0	3.4713	60.007	
F2Load exact membership	on	C	e09	489668080.0	1632107.0	3.4173	59.997	
F2Load exact membership	on	C	e10	456361005.0	1521093.0	3.8827	60.09	
baseline	n/a	D	b01	798227074.0	2660567.0	1.0158	92.068	
baseline	n/a	D	b02	802696614.0	2675412.0	1.0022	92.077	
baseline	n/a	D	b03	802390319.0	2674435.0	1.0251	92.075	
baseline	n/a	D	n01	797763397.0	2658994.0	1.054	92.066	
baseline	n/a	D	n02	805314184.0	2684119.0	1.0026	92.084	
baseline	n/a	D	n03	808139703.0	2693518.0	0.9595	92.09	
baseline	n/a	D	n04	811072452.0	2703271.0	0.9414	92.096	
baseline	n/a	D	r01	799877256.0	2666014.0	1.0542	92.072	
baseline	n/a	D	r02	797699700.0	2658741.0	1.0675	92.065	
baseline	n/a	D	run3	787546034.0	2624828.0	1.1172	92.043	
F2Load PLR	off	D	f01	792991361.0	2643045.0	1.0809	91.994	
F2Load PLR	off	D	f02	794879160.0	2649383.0	1.0874	91.984	
F2Load PLR	off	D	f03	793906341.0	2646143.0	1.03	91.997	
F2Load PLR	off	D	f04	809853130.0	2699250.0	0.9258	92.039	
F2Load PLR	off	D	f05	796242383.0	2653919.0	1.0529	91.975	
F2Load PLR	off	D	f06	797897972.0	2659436.0	1.0277	91.986	
F2Load PLR	off	D	f07	793518750.0	2644866.0	1.0556	91.988	
F2Load PLR	off	D	f08	789988316.0	2633056.0	1.0829	92.003	
F2Load PLR	off	D	f09	783541045.0	2611562.0	1.12	91.942	
F2Load PLR	off	D	f10	819480067.0	2731411.0	0.8591	92.022	
F2Load PLR	off	D	f11	793064528.0	2643344.0	1.087	92.004	
F2Load PLR	off	D	f12	800830815.0	2669259.0	1.023	92.043	
F2Load PLR	off	D	f13	794391998.0	2647713.0	1.0666	91.967	
F2Load PLR	off	D	f14	798399160.0	2661090.0	1.0442	91.987	
F2Load PLR	off	D	f15	786452225.0	2621278.0	1.0483	91.968	
F2Load exact membership	on	D	e01	804247471.0	2680608.0	0.9864	92.055	
F2Load exact membership	on	D	e02	801261178.0	2670627.0	1.0092	92.041	
F2Load exact membership	on	D	e03	793086056.0	2643326.0	1.0965	92.017	
F2Load exact membership	on	D	e04	781157802.0	2603625.0	1.189	91.996	
F2Load exact membership	on	D	e05	814514181.0	2714738.0	0.8442	92.072	
F2Load exact membership	on	D	e06	815351640.0	2717593.0	0.9127	92.074	
F2Load exact membership	on	D	e07	805086988.0	2683407.0	0.9821	92.052	
F2Load exact membership	on	D	e08	810615258.0	2701753.0	0.9394	92.062	
F2Load exact membership	on	D	e09	808678424.0	2695369.0	0.955	92.067	
F2Load exact membership	on	D	e10	794666194.0	2648670.0	1.0323	92.032	
baseline	n/a	E	b01	31627456.0	105414.0			
baseline	n/a	E	b02	32122695.0	107067.0			
baseline	n/a	E	b03	32016641.0	106714.0			
baseline	n/a	E	n01	31813670.0	106037.0			
baseline	n/a	E	n02	32120692.0	107057.0			
baseline	n/a	E	n03	32042260.0	106797.0			
baseline	n/a	E	n04	32007520.0	106682.0			
baseline	n/a	E	r01	31974851.0	106573.0			
baseline	n/a	E	r02	32059713.0	106856.0			
baseline	n/a	E	run3	31969538.0	106557.0			
F2Load PLR	off	E	f01	31122429.0	103732.0			
F2Load PLR	off	E	f02	31689781.0	105622.0			
F2Load PLR	off	E	f03	31792536.0	105963.0			
F2Load PLR	off	E	f04	32027543.0	106747.0			
F2Load PLR	off	E	f05	31761800.0	105864.0			
F2Load PLR	off	E	f06	32119981.0	107058.0			
F2Load PLR	off	E	f07	31914453.0	106373.0			
